Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Mongolia,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6772.66287355
Mongolia,2019,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,291.09222815
Mongolia,2019,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,154.580629
Mongolia,2019,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,74.9863432
Mongolia,2019,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,68.0933011
Mongolia,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2036.80506696
Mongolia,2019,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1729.8637068
Mongolia,2019,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,585.477274439999
Mongolia,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,289.626805518
Mongolia,2019,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,266.96519458
Mongolia,2019,World,Animal,Export,Export(US$ Mil),97.61045248
Mongolia,2019,World,Vegetable,Export,Export(US$ Mil),13.11815876
Mongolia,2019,World,Food Products,Export,Export(US$ Mil),61.85636433
Mongolia,2019,World,Minerals,Export,Export(US$ Mil),2892.364707184
Mongolia,2019,World,Fuels,Export,Export(US$ Mil),3485.10400514
Mongolia,2019,World,Chemicals,Export,Export(US$ Mil),2.26419715
Mongolia,2019,World,Plastic or Rubber,Export,Export(US$ Mil),1.2813727
Mongolia,2019,World,Hides and Skins,Export,Export(US$ Mil),14.11981089
Mongolia,2019,World,Wood,Export,Export(US$ Mil),0.64723966
Mongolia,2019,World,Textiles and Clothing,Export,Export(US$ Mil),434.67230356
Mongolia,2019,World,Footwear,Export,Export(US$ Mil),2.54385916
Mongolia,2019,World,Stone and Glass,Export,Export(US$ Mil),419.21453646
Mongolia,2019,World,Metals,Export,Export(US$ Mil),77.892900044
Mongolia,2019,World,Mach and Elec,Export,Export(US$ Mil),34.789946653
