Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Montenegro,2018,"Serbia, FR(Serbia/Montenegro)",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,110.086077927252
Montenegro,2018,Hungary,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,54.5760480435532
Montenegro,2018,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,40.1754835375129
Montenegro,2018,Bosnia and Herzegovina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,36.5523573077938
Montenegro,2018,Slovenia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,33.3146318451228
Montenegro,2018,"Serbia, FR(Serbia/Montenegro)",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,579.448714947605
Montenegro,2018,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,302.217400995468
Montenegro,2018,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,276.261928392895
Montenegro,2018,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,223.730247443237
Montenegro,2018,Greece,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,193.693824779591
Montenegro,2018,World,Animal,Export,Export(US$ Mil),9.61766288253356
Montenegro,2018,World,Vegetable,Export,Export(US$ Mil),11.7205402015569
Montenegro,2018,World,Food Products,Export,Export(US$ Mil),33.8412037863847
Montenegro,2018,World,Minerals,Export,Export(US$ Mil),36.4719041317479
Montenegro,2018,World,Fuels,Export,Export(US$ Mil),96.9581501695818
Montenegro,2018,World,Chemicals,Export,Export(US$ Mil),35.8507243352534
Montenegro,2018,World,Plastic or Rubber,Export,Export(US$ Mil),3.34243188467443
Montenegro,2018,World,Hides and Skins,Export,Export(US$ Mil),3.90287470046594
Montenegro,2018,World,Wood,Export,Export(US$ Mil),40.3816743061107
Montenegro,2018,World,Textiles and Clothing,Export,Export(US$ Mil),1.87627793606717
Montenegro,2018,World,Footwear,Export,Export(US$ Mil),0.678717599101793
Montenegro,2018,World,Stone and Glass,Export,Export(US$ Mil),4.84923435989188
Montenegro,2018,World,Metals,Export,Export(US$ Mil),140.319451315058
Montenegro,2018,World,Mach and Elec,Export,Export(US$ Mil),23.2548201964942
Montenegro,2018,World,Transportation,Export,Export(US$ Mil),16.4245188424114
Montenegro,2018,World,Miscellaneous,Export,Export(US$ Mil),6.50717089531937
Montenegro,2018,World,Raw materials,Export,Export(US$ Mil),82.1078184668982
Montenegro,2018,World,Intermediate goods,Export,Export(US$ Mil),225.134501109483
Montenegro,2018,World,Consumer goods,Export,Export(US$ Mil),125.634121957946
Montenegro,2018,World,Capital goods,Export,Export(US$ Mil),33.1209160083263
Montenegro,2018,World,Raw materials,Import,Import(US$ Mil),252.006926622357
Montenegro,2018,World,Intermediate goods,Import,Import(US$ Mil),549.223413649873
Montenegro,2018,World,Consumer goods,Import,Import(US$ Mil),1617.72935626668
Montenegro,2018,World,Capital goods,Import,Import(US$ Mil),583.903591418717
Montenegro,2018,World,All Products,Export,Exports (in US$ Mil),465.997357542653
