Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Mozambique,2018,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1435.77768924
Mozambique,2018,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1102.93324784
Mozambique,2018,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,895.87958253
Mozambique,2018,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,301.88929819
Mozambique,2018,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,124.15325544
Mozambique,2018,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1772.61696625
Mozambique,2018,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,799.45827369
Mozambique,2018,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,518.87435591
Mozambique,2018,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,517.9843667
Mozambique,2018,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,490.29104667
Mozambique,2018,World,Animal,Export,Export(US$ Mil),28.45876112
Mozambique,2018,World,Vegetable,Export,Export(US$ Mil),133.58751573
Mozambique,2018,World,Food Products,Export,Export(US$ Mil),427.54777688
Mozambique,2018,World,Minerals,Export,Export(US$ Mil),295.99620841
Mozambique,2018,World,Fuels,Export,Export(US$ Mil),2419.05886028
Mozambique,2018,World,Chemicals,Export,Export(US$ Mil),44.34268493
Mozambique,2018,World,Plastic or Rubber,Export,Export(US$ Mil),4.16099115
Mozambique,2018,World,Hides and Skins,Export,Export(US$ Mil),1.95185939
Mozambique,2018,World,Wood,Export,Export(US$ Mil),85.20352708
Mozambique,2018,World,Textiles and Clothing,Export,Export(US$ Mil),14.64724448
Mozambique,2018,World,Footwear,Export,Export(US$ Mil),21.10244251
Mozambique,2018,World,Stone and Glass,Export,Export(US$ Mil),201.33289631
Mozambique,2018,World,Metals,Export,Export(US$ Mil),1365.77245133
Mozambique,2018,World,Mach and Elec,Export,Export(US$ Mil),83.88752419
Mozambique,2018,World,Transportation,Export,Export(US$ Mil),27.59909105
Mozambique,2018,World,Miscellaneous,Export,Export(US$ Mil),40.92969829
Mozambique,2018,World,Raw materials,Export,Export(US$ Mil),1423.65641983
Mozambique,2018,World,Intermediate goods,Export,Export(US$ Mil),3073.51042041
Mozambique,2018,World,Consumer goods,Export,Export(US$ Mil),477.8622757
Mozambique,2018,World,Capital goods,Export,Export(US$ Mil),72.17070708
Mozambique,2018,World,Raw materials,Import,Import(US$ Mil),374.05531534
Mozambique,2018,World,Intermediate goods,Import,Import(US$ Mil),1789.1260145
Mozambique,2018,World,Consumer goods,Import,Import(US$ Mil),2916.08502433
Mozambique,2018,World,Capital goods,Import,Import(US$ Mil),1571.72963101
Mozambique,2018,World,All Products,Export,Exports (in US$ Mil),5195.57953313
Mozambique,2018,World,All Products,Import,Imports (in US$ Mil),6785.5473841
Mozambique,2018,World,All Products,Tariff,Duty Free Imports (US$ Thousand),2173497.51084
Mozambique,2019,...,...,Development,Trade Balance (current US$ Mil),-5279.297063
Mozambique,2019,...,...,Development,GDP (current US$ Mil),15291.448212
Mozambique,2018,...,...,Tariff,No. Of Tariff Agreement,4
Mozambique,2018,...,...,Import,No. Of Import partners,190
Mozambique,2018,...,...,Import,No. Of Import products,3820
Mozambique,2018,...,...,Export,No. Of Export partners,126
Mozambique,2018,...,...,Export,No. Of Export products,1568
Mozambique,2019,...,...,Others,Population,30366036
Mozambique,2019,...,...,Others,Ease of Doing Business Rank,138
Mozambique,2019,...,...,Others,Trading Across Borders Rank,94
Mozambique,2019,...,...,Others,CPIA Trade Ratings,4
Mozambique,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0351135
Mozambique,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0589387
Mozambique,,...,...,Others,Services Trade Restrictions Index - Over All,18.6
Mozambique,2018,India,All Products,Export,Partner share(%)-Top 5 Export Partner,27.6346
Mozambique,2018,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,21.2283
Mozambique,2018,South Africa,All Products,Export,Partner share(%)-Top 5 Export Partner,17.2431
Mozambique,2018,China,All Products,Export,Partner share(%)-Top 5 Export Partner,5.8105
Mozambique,2018,"Hong Kong, China",All Products,Export,Partner share(%)-Top 5 Export Partner,2.3896
Mozambique,2018,South Africa,All Products,Import,Partner share(%)-Top 5 Import Partner,26.1234
Mozambique,2018,China,All Products,Import,Partner share(%)-Top 5 Import Partner,11.7818
