Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Malawi,2019,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,151.11394615
Malawi,2019,Kenya,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,67.85795822
Malawi,2019,"Egypt, Arab Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,65.71810712
Malawi,2019,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,61.33839228
Malawi,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,49.90380357
Malawi,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,541.2109274
Malawi,2019,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,490.89060807
Malawi,2019,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,279.11061872
Malawi,2019,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,256.68838857
Malawi,2019,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,224.202953191365
Malawi,2019,World,Animal,Export,Export(US$ Mil),1.25814140136519
Malawi,2019,World,Vegetable,Export,Export(US$ Mil),222.03908548
Malawi,2019,World,Food Products,Export,Export(US$ Mil),618.06388888
Malawi,2019,World,Minerals,Export,Export(US$ Mil),0.21848972
Malawi,2019,World,Fuels,Export,Export(US$ Mil),0.23125383
Malawi,2019,World,Chemicals,Export,Export(US$ Mil),4.27914845
Malawi,2019,World,Plastic or Rubber,Export,Export(US$ Mil),12.59144343
Malawi,2019,World,Hides and Skins,Export,Export(US$ Mil),0.48422939
Malawi,2019,World,Wood,Export,Export(US$ Mil),8.23498176
Malawi,2019,World,Textiles and Clothing,Export,Export(US$ Mil),12.51535254
Malawi,2019,World,Footwear,Export,Export(US$ Mil),0.30753652
Malawi,2019,World,Stone and Glass,Export,Export(US$ Mil),0.46586676
Malawi,2019,World,Metals,Export,Export(US$ Mil),3.99095764
Malawi,2019,World,Mach and Elec,Export,Export(US$ Mil),17.39481703
Malawi,2019,World,Transportation,Export,Export(US$ Mil),9.35570505
Malawi,2019,World,Miscellaneous,Export,Export(US$ Mil),1.40147794
Malawi,2019,World,Raw materials,Export,Export(US$ Mil),612.526491271365
Malawi,2019,World,Intermediate goods,Export,Export(US$ Mil),169.72984569
Malawi,2019,World,Consumer goods,Export,Export(US$ Mil),104.9663689
Malawi,2019,World,Capital goods,Export,Export(US$ Mil),24.85866163
Malawi,2019,World,Raw materials,Import,Import(US$ Mil),105.83118015
Malawi,2019,World,Intermediate goods,Import,Import(US$ Mil),833.38284157
Malawi,2019,World,Consumer goods,Import,Import(US$ Mil),1304.82281970137
Malawi,2019,World,Capital goods,Import,Import(US$ Mil),660.17287977
Malawi,2019,World,All Products,Export,Exports (in US$ Mil),912.832375821365
Malawi,2019,World,All Products,Import,Imports (in US$ Mil),2940.94038209137
Malawi,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),732086.536166776
Malawi,2019,...,...,Development,Trade Balance (current US$ Mil),-351.785181
Malawi,2019,...,...,Development,GDP (current US$ Mil),7666.704427
Malawi,2019,...,...,Tariff,No. Of Tariff Agreement,7
Malawi,2019,...,...,Import,No. Of Import partners,150
Malawi,2019,...,...,Import,No. Of Import products,3619
Malawi,2019,...,...,Export,No. Of Export partners,116
Malawi,2019,...,...,Export,No. Of Export products,1208
Malawi,2019,...,...,Others,Population,18628747
Malawi,2019,...,...,Others,Ease of Doing Business Rank,109
Malawi,2019,...,...,Others,Trading Across Borders Rank,127
Malawi,2019,...,...,Others,CPIA Trade Ratings,3.5
Malawi,2018,...,...,Others,LPI Rank,97
Malawi,2018,...,...,Others,LPI Score,2.59
Malawi,2011,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5002
Malawi,2011,...,...,Others,No Of NTM Measures,25
Malawi,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1459758
Malawi,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1570333
Malawi,,...,...,Others,Services Trade Restrictions Index - Over All,34.2
Malawi,2019,Belgium,All Products,Export,Partner share(%)-Top 5 Export Partner,16.5544
Malawi,2019,Kenya,All Products,Export,Partner share(%)-Top 5 Export Partner,7.4338
Malawi,2019,"Egypt, Arab Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,7.1994
Malawi,2019,South Africa,All Products,Export,Partner share(%)-Top 5 Export Partner,6.7196
Malawi,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,5.4669
Malawi,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,18.4026
Malawi,2019,South Africa,All Products,Import,Partner share(%)-Top 5 Import Partner,16.6916
Malawi,2019,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,9.4905
Malawi,2019,India,All Products,Import,Partner share(%)-Top 5 Import Partner,8.7281
Malawi,2019,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,7.6235
Malawi,2019,World,Animal,Export,Export Product share(%),0.1378
Malawi,2019,World,Vegetable,Export,Export Product share(%),24.3242
Malawi,2019,World,Food Products,Export,Export Product share(%),67.7084
Malawi,2019,World,Minerals,Export,Export Product share(%),0.0239
Malawi,2019,World,Fuels,Export,Export Product share(%),0.0253
Malawi,2019,World,Chemicals,Export,Export Product share(%),0.4688
Malawi,2019,World,Plastic or Rubber,Export,Export Product share(%),1.3794
Malawi,2019,World,Hides and Skins,Export,Export Product share(%),0.053
Malawi,2019,World,Wood,Export,Export Product share(%),0.9021
Malawi,2019,World,Textiles and Clothing,Export,Export Product share(%),1.371
Malawi,2019,World,Footwear,Export,Export Product share(%),0.0337
Malawi,2019,World,Stone and Glass,Export,Export Product share(%),0.051
Malawi,2019,World,Metals,Export,Export Product share(%),0.4372
Malawi,2019,World,Mach and Elec,Export,Export Product share(%),1.9056
Malawi,2019,World,Transportation,Export,Export Product share(%),1.0249
Malawi,2019,World,Miscellaneous,Export,Export Product share(%),0.1535
Malawi,2019,World,Raw materials,Export,Export Product share(%),67.1017
Malawi,2019,World,Intermediate goods,Export,Export Product share(%),18.5938
Malawi,2019,World,Consumer goods,Export,Export Product share(%),11.499
Malawi,2019,World,Capital goods,Export,Export Product share(%),2.7232
Malawi,2019,World,Raw materials,Import,Import Product share(%),3.5985
Malawi,2019,World,Intermediate goods,Import,Import Product share(%),28.3373
Malawi,2019,World,Consumer goods,Import,Import Product share(%),44.3675
Malawi,2019,World,Capital goods,Import,Import Product share(%),22.4477
Malawi,2019,World,Raw materials,Tariff,Weighted Average (%),1.58209028697407
Malawi,2019,World,Intermediate goods,Tariff,Weighted Average (%),2.20419355346776
Malawi,2019,World,Consumer goods,Tariff,Weighted Average (%),8.14008858796873
Malawi,2019,World,Capital goods,Tariff,Weighted Average (%),1.42567048597141
Malawi,2019,World,All Products,Trade Indicator,World Growth (%),-1.13475826045476
Malawi,2019,World,All Products,Trade Indicator,Country Growth (%),-1.61037726473441
Malawi,2019,World,All Products,Tariff,Simple Average (%),7.08398293534835
Malawi,2019,World,All Products,Tariff,Weighted Average (%),4.24207411139352
Malawi,2019,World,All Products,Tariff,Maximum Rate (%),25
Malawi,2019,World,All Products,Tariff,Duty Free Tariff Lines Share (%),53.4982020061826
Malawi,2019,...,...,Trade Indicator,Index of export market penetration,1.51331413268657
Malawi,2019,...,...,Trade Indicator,HH Market concentration index,0.0687382789450926
Malawi,2019,...,...,Development,Trade Balance (% of GDP),-4.58847977
Malawi,2019,...,...,Development,Trade in services (% of GDP),7.046697104
Malawi,2019,...,...,Development,Trade (% of GDP),66.60450958
Malawi,2019,...,...,Development,"GNI per capita, Atlas method (current US$)",380
