Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Niger,2018,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,218.871945
Niger,2018,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,212.92723247
Niger,2018,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,210.71343952
Niger,2018,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,207.53188077
Niger,2018,Nigeria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,178.96783498
Niger,2018,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,567.87998739
Niger,2018,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,550.67331171
Niger,2018,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,225.49022845
Niger,2018,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,194.12549155
Niger,2018,Nigeria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,163.56023811
Niger,2018,World,Animal,Export,Export(US$ Mil),15.42233603
Niger,2018,World,Vegetable,Export,Export(US$ Mil),539.67423297
Niger,2018,World,Food Products,Export,Export(US$ Mil),183.18310374
Niger,2018,World,Minerals,Export,Export(US$ Mil),226.56558462
Niger,2018,World,Fuels,Export,Export(US$ Mil),225.47603423
Niger,2018,World,Chemicals,Export,Export(US$ Mil),9.3425764
Niger,2018,World,Plastic or Rubber,Export,Export(US$ Mil),1.59342867
Niger,2018,World,Hides and Skins,Export,Export(US$ Mil),1.83826474
Niger,2018,World,Wood,Export,Export(US$ Mil),0.21321924
Niger,2018,World,Textiles and Clothing,Export,Export(US$ Mil),76.38208023
Niger,2018,World,Footwear,Export,Export(US$ Mil),0.70644618
Niger,2018,World,Stone and Glass,Export,Export(US$ Mil),210.40898997
Niger,2018,World,Metals,Export,Export(US$ Mil),4.716134
Niger,2018,World,Mach and Elec,Export,Export(US$ Mil),15.93138394
Niger,2018,World,Transportation,Export,Export(US$ Mil),51.29672738
Niger,2018,World,Miscellaneous,Export,Export(US$ Mil),1.87732016
Niger,2018,World,Raw materials,Export,Export(US$ Mil),485.87276839
Niger,2018,World,Intermediate goods,Export,Export(US$ Mil),299.08565739
Niger,2018,World,Consumer goods,Export,Export(US$ Mil),753.33045093
Niger,2018,World,Capital goods,Export,Export(US$ Mil),26.23934472
Niger,2018,World,Raw materials,Import,Import(US$ Mil),83.5875212
Niger,2018,World,Intermediate goods,Import,Import(US$ Mil),779.234225659999
Niger,2018,World,Consumer goods,Import,Import(US$ Mil),1049.43199729
Niger,2018,World,Capital goods,Import,Import(US$ Mil),727.50936021
Niger,2018,World,All Products,Export,Exports (in US$ Mil),1564.6278625
Niger,2018,World,All Products,Import,Imports (in US$ Mil),2645.97297362
Niger,2018,World,All Products,Tariff,Duty Free Imports (US$ Thousand),154165.557886264
Niger,2019,...,...,Development,Trade Balance (current US$ Mil),-2035.219785
Niger,2019,...,...,Development,GDP (current US$ Mil),12911.689659
Niger,2018,...,...,Tariff,No. Of Tariff Agreement,2
Niger,2018,...,...,Import,No. Of Import partners,144
Niger,2018,...,...,Import,No. Of Import products,2711
Niger,2018,...,...,Export,No. Of Export partners,90
Niger,2018,...,...,Export,No. Of Export products,677
Niger,2019,...,...,Others,Population,23310715
Niger,2019,...,...,Others,Ease of Doing Business Rank,132
Niger,2019,...,...,Others,Trading Across Borders Rank,126
Niger,2019,...,...,Others,CPIA Trade Ratings,4
Niger,2018,...,...,Others,LPI Rank,157
Niger,2018,...,...,Others,LPI Score,2.07
Niger,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5052
Niger,2014,...,...,Others,No Of NTM Measures,33
Niger,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0899045
Niger,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0990844
Niger,2018,Thailand,All Products,Export,Partner share(%)-Top 5 Export Partner,13.9888
Niger,2018,France,All Products,Export,Partner share(%)-Top 5 Export Partner,13.6088
Niger,2018,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,13.4673
Niger,2018,Malaysia,All Products,Export,Partner share(%)-Top 5 Export Partner,13.264
Niger,2018,Nigeria,All Products,Export,Partner share(%)-Top 5 Export Partner,11.4384
Niger,2018,China,All Products,Import,Partner share(%)-Top 5 Import Partner,21.462
Niger,2018,France,All Products,Import,Partner share(%)-Top 5 Import Partner,20.8118
Niger,2018,Thailand,All Products,Import,Partner share(%)-Top 5 Import Partner,8.522
Niger,2018,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,7.3366
Niger,2018,Nigeria,All Products,Import,Partner share(%)-Top 5 Import Partner,6.1815
Niger,2018,World,Animal,Export,Export Product share(%),0.9857
Niger,2018,World,Vegetable,Export,Export Product share(%),34.4922
Niger,2018,World,Food Products,Export,Export Product share(%),11.7078
Niger,2018,World,Minerals,Export,Export Product share(%),14.4805
Niger,2018,World,Fuels,Export,Export Product share(%),14.4108
Niger,2018,World,Chemicals,Export,Export Product share(%),0.5971
Niger,2018,World,Plastic or Rubber,Export,Export Product share(%),0.1018
Niger,2018,World,Hides and Skins,Export,Export Product share(%),0.1175
Niger,2018,World,Wood,Export,Export Product share(%),0.0136
Niger,2018,World,Textiles and Clothing,Export,Export Product share(%),4.8818
Niger,2018,World,Footwear,Export,Export Product share(%),0.0452
Niger,2018,World,Stone and Glass,Export,Export Product share(%),13.4479
Niger,2018,World,Metals,Export,Export Product share(%),0.3014
Niger,2018,World,Mach and Elec,Export,Export Product share(%),1.0182
Niger,2018,World,Transportation,Export,Export Product share(%),3.2785
Niger,2018,World,Miscellaneous,Export,Export Product share(%),0.12
Niger,2018,World,Raw materials,Export,Export Product share(%),31.0536
Niger,2018,World,Intermediate goods,Export,Export Product share(%),19.1155
Niger,2018,World,Consumer goods,Export,Export Product share(%),48.1476
Niger,2018,World,Capital goods,Export,Export Product share(%),1.677
Niger,2018,World,Raw materials,Import,Import Product share(%),3.159
Niger,2018,World,Intermediate goods,Import,Import Product share(%),29.4498
Niger,2018,World,Consumer goods,Import,Import Product share(%),39.6615
Niger,2018,World,Capital goods,Import,Import Product share(%),27.495
Niger,2018,World,Raw materials,Tariff,Weighted Average (%),28.8065924321479
Niger,2018,World,Intermediate goods,Tariff,Weighted Average (%),10.3177798296399
Niger,2018,World,Consumer goods,Tariff,Weighted Average (%),11.1323291391176
Niger,2018,World,Capital goods,Tariff,Weighted Average (%),7.3490530686546
Niger,2018,World,All Products,Trade Indicator,World Growth (%),3.49929022901836
Niger,2018,World,All Products,Trade Indicator,Country Growth (%),-11.3484843886647
Niger,2018,World,All Products,Tariff,Simple Average (%),13.0798993438831
Niger,2018,World,All Products,Tariff,Weighted Average (%),11.0223694080006
Niger,2018,World,All Products,Tariff,Maximum Rate (%),35
Niger,2018,World,All Products,Tariff,Duty Free Tariff Lines Share (%),6.13232217573222
Niger,2018,...,...,Trade Indicator,Index of export market penetration,1.52717623815681
Niger,2018,...,...,Trade Indicator,HH Market concentration index,0.333841933167958
Niger,2019,...,...,Development,Trade Balance (% of GDP),-15.76261386
Niger,2019,...,...,Development,Trade in services (% of GDP),10.29759447
Niger,2019,...,...,Development,Trade (% of GDP),37.79391688
Niger,2019,...,...,Development,"GNI per capita, Atlas method (current US$)",600
