Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Nigeria,2019,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8263.32671409
Nigeria,2019,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5318.78795159
Nigeria,2019,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4868.32388762
Nigeria,2019,Ghana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4002.93764291
Nigeria,2019,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3550.03660024
Nigeria,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12060.01795297
Nigeria,2019,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5702.66501177
Nigeria,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4678.02615003
Nigeria,2019,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3492.70211813
Nigeria,2019,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2375.78931903
Nigeria,2019,World,Animal,Export,Export(US$ Mil),43.05258401
Nigeria,2019,World,Vegetable,Export,Export(US$ Mil),445.73095964
Nigeria,2019,World,Food Products,Export,Export(US$ Mil),486.82536851
Nigeria,2019,World,Minerals,Export,Export(US$ Mil),67.96252483
Nigeria,2019,World,Fuels,Export,Export(US$ Mil),46668.56482053
Nigeria,2019,World,Chemicals,Export,Export(US$ Mil),189.30074667
Nigeria,2019,World,Plastic or Rubber,Export,Export(US$ Mil),88.12204922
Nigeria,2019,World,Hides and Skins,Export,Export(US$ Mil),75.25308711
Nigeria,2019,World,Wood,Export,Export(US$ Mil),7.80355584
Nigeria,2019,World,Textiles and Clothing,Export,Export(US$ Mil),9.25921431
Nigeria,2019,World,Footwear,Export,Export(US$ Mil),11.08678012
Nigeria,2019,World,Stone and Glass,Export,Export(US$ Mil),10.01298172
Nigeria,2019,World,Metals,Export,Export(US$ Mil),2249.87115328
Nigeria,2019,World,Mach and Elec,Export,Export(US$ Mil),11.16488702
Nigeria,2019,World,Transportation,Export,Export(US$ Mil),3250.97884711
Nigeria,2019,World,Miscellaneous,Export,Export(US$ Mil),2.82263038
Nigeria,2019,World,Raw materials,Export,Export(US$ Mil),41832.59494921
Nigeria,2019,World,Intermediate goods,Export,Export(US$ Mil),4989.05751386
Nigeria,2019,World,Consumer goods,Export,Export(US$ Mil),5774.98277342
Nigeria,2019,World,Capital goods,Export,Export(US$ Mil),1012.24766896
Nigeria,2019,World,Raw materials,Import,Import(US$ Mil),2556.45274381
Nigeria,2019,World,Intermediate goods,Import,Import(US$ Mil),8585.50635503998
Nigeria,2019,World,Consumer goods,Import,Import(US$ Mil),17473.33751396
Nigeria,2019,World,Capital goods,Import,Import(US$ Mil),18752.65530531
Nigeria,2019,World,All Products,Export,Exports (in US$ Mil),53617.8121903
Nigeria,2019,World,All Products,Import,Imports (in US$ Mil),47369.07691228
Nigeria,2016,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1667625.328
Nigeria,2019,...,...,Development,Trade Balance (current US$ Mil),-25014.191004
Nigeria,2019,...,...,Development,GDP (current US$ Mil),448120
Nigeria,2016,...,...,Tariff,No. Of Tariff Agreement,2
Nigeria,2019,...,...,Import,No. Of Import partners,199
Nigeria,2019,...,...,Import,No. Of Import products,4048
Nigeria,2019,...,...,Export,No. Of Export partners,111
Nigeria,2019,...,...,Export,No. Of Export products,434
Nigeria,2019,...,...,Others,Population,200963599
Nigeria,2019,...,...,Others,Ease of Doing Business Rank,131
Nigeria,2019,...,...,Others,Trading Across Borders Rank,179
Nigeria,2019,...,...,Others,CPIA Trade Ratings,3
Nigeria,2018,...,...,Others,LPI Rank,110
Nigeria,2018,...,...,Others,LPI Score,2.53
Nigeria,2013,...,...,Others,No Of NTM Affected Products (HS 6 Digit),4329
Nigeria,2013,...,...,Others,No Of NTM Measures,28
Nigeria,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.3201251
Nigeria,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.3201251
Nigeria,,...,...,Others,Services Trade Restrictions Index - Over All,27.1
Nigeria,2019,India,All Products,Export,Partner share(%)-Top 5 Export Partner,15.4115
Nigeria,2019,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,9.9198
Nigeria,2019,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,9.0797
Nigeria,2019,Ghana,All Products,Export,Partner share(%)-Top 5 Export Partner,7.4657
Nigeria,2019,France,All Products,Export,Partner share(%)-Top 5 Export Partner,6.621
Nigeria,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,25.4597
Nigeria,2019,India,All Products,Import,Partner share(%)-Top 5 Import Partner,12.0388
Nigeria,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,9.8757
Nigeria,2019,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,7.3734
Nigeria,2019,Belgium,All Products,Import,Partner share(%)-Top 5 Import Partner,5.0155
Nigeria,2019,World,Animal,Export,Export Product share(%),0.0803
Nigeria,2019,World,Vegetable,Export,Export Product share(%),0.8313
Nigeria,2019,World,Food Products,Export,Export Product share(%),0.908
Nigeria,2019,World,Minerals,Export,Export Product share(%),0.1268
Nigeria,2019,World,Fuels,Export,Export Product share(%),87.0393
Nigeria,2019,World,Chemicals,Export,Export Product share(%),0.3531
Nigeria,2019,World,Plastic or Rubber,Export,Export Product share(%),0.1644
Nigeria,2019,World,Hides and Skins,Export,Export Product share(%),0.1404
Nigeria,2019,World,Wood,Export,Export Product share(%),0.0146
Nigeria,2019,World,Textiles and Clothing,Export,Export Product share(%),0.0173
Nigeria,2019,World,Footwear,Export,Export Product share(%),0.0207
Nigeria,2019,World,Stone and Glass,Export,Export Product share(%),0.0187
Nigeria,2019,World,Metals,Export,Export Product share(%),4.1961
Nigeria,2019,World,Mach and Elec,Export,Export Product share(%),0.0208
Nigeria,2019,World,Transportation,Export,Export Product share(%),6.0632
Nigeria,2019,World,Miscellaneous,Export,Export Product share(%),0.0053
Nigeria,2019,World,Raw materials,Export,Export Product share(%),78.02
Nigeria,2019,World,Intermediate goods,Export,Export Product share(%),9.3049
Nigeria,2019,World,Consumer goods,Export,Export Product share(%),10.7706
Nigeria,2019,World,Capital goods,Export,Export Product share(%),1.8879
Nigeria,2019,World,Raw materials,Import,Import Product share(%),5.3969
Nigeria,2019,World,Intermediate goods,Import,Import Product share(%),18.1247
Nigeria,2019,World,Consumer goods,Import,Import Product share(%),36.8876
Nigeria,2019,World,Capital goods,Import,Import Product share(%),39.5884
Nigeria,2016,World,Raw materials,Tariff,Weighted Average (%),9.24182792821642
Nigeria,2016,World,Intermediate goods,Tariff,Weighted Average (%),6.79621907511074
Nigeria,2016,World,Consumer goods,Tariff,Weighted Average (%),11.6572587085748
Nigeria,2016,World,Capital goods,Tariff,Weighted Average (%),7.48396317608964
Nigeria,2019,World,All Products,Trade Indicator,World Growth (%),-1.13475826045476
Nigeria,2019,World,All Products,Trade Indicator,Country Growth (%),-5.85663131885575
Nigeria,2016,World,All Products,Tariff,Simple Average (%),11.4804289174555
Nigeria,2016,World,All Products,Tariff,Weighted Average (%),8.51552234828285
Nigeria,2016,World,All Products,Tariff,Maximum Rate (%),35
Nigeria,2016,World,All Products,Tariff,Duty Free Tariff Lines Share (%),6.05042016806723
Nigeria,2019,...,...,Trade Indicator,Index of export market penetration,3.19840041674966
Nigeria,2019,...,...,Trade Indicator,HH Market concentration index,0.0720634998032
Nigeria,2019,...,...,Development,Trade Balance (% of GDP),-5.58202425
Nigeria,2019,...,...,Development,Trade in services (% of GDP),9.742769291
Nigeria,2019,...,...,Development,Trade (% of GDP),34.02387783
Nigeria,2019,...,...,Development,"GNI per capita, Atlas method (current US$)",2030
