Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
New Zealand,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11040.445932162
New Zealand,2019,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5741.3843575391
New Zealand,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3717.72601914329
New Zealand,2019,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2310.7215371956
New Zealand,2019,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1112.25530180525
New Zealand,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8542.92815998114
New Zealand,2019,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4873.68601507538
New Zealand,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4227.46959542179
New Zealand,2019,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2761.53872633091
New Zealand,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2378.62452587136
New Zealand,2019,World,Animal,Export,Export(US$ Mil),17534.1256256005
New Zealand,2019,World,Vegetable,Export,Export(US$ Mil),2958.82537162802
New Zealand,2019,World,Food Products,Export,Export(US$ Mil),5006.77661808718
New Zealand,2019,World,Minerals,Export,Export(US$ Mil),52.092929507579
New Zealand,2019,World,Fuels,Export,Export(US$ Mil),574.717637894887
New Zealand,2019,World,Chemicals,Export,Export(US$ Mil),1589.40436725541
New Zealand,2019,World,Plastic or Rubber,Export,Export(US$ Mil),385.704723089377
New Zealand,2019,World,Hides and Skins,Export,Export(US$ Mil),218.740719228215
New Zealand,2019,World,Wood,Export,Export(US$ Mil),4167.17219538921
New Zealand,2019,World,Textiles and Clothing,Export,Export(US$ Mil),678.18530507528
New Zealand,2019,World,Footwear,Export,Export(US$ Mil),40.6502171450462
New Zealand,2019,World,Stone and Glass,Export,Export(US$ Mil),511.308462681498
New Zealand,2019,World,Metals,Export,Export(US$ Mil),1413.09557178012
New Zealand,2019,World,Mach and Elec,Export,Export(US$ Mil),1911.53514933457
New Zealand,2019,World,Transportation,Export,Export(US$ Mil),427.340368434164
New Zealand,2019,World,Miscellaneous,Export,Export(US$ Mil),2070.88296132397
