Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Other Asia, nes",2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,91878.8457073599
"Other Asia, nes",2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,46347.32395423
"Other Asia, nes",2019,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,40369.85892275
"Other Asia, nes",2019,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,23303.11668206
"Other Asia, nes",2019,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,18208.82056785
"Other Asia, nes",2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,57437.91224182
"Other Asia, nes",2019,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,44065.74593375
"Other Asia, nes",2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,35154.74589075
"Other Asia, nes",2019,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,17760.69478721
"Other Asia, nes",2019,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10388.70921984
"Other Asia, nes",2019,World,Animal,Export,Export(US$ Mil),2059.18293609
"Other Asia, nes",2019,World,Vegetable,Export,Export(US$ Mil),946.72069586
"Other Asia, nes",2019,World,Food Products,Export,Export(US$ Mil),2608.84813439
"Other Asia, nes",2019,World,Minerals,Export,Export(US$ Mil),1195.53014566
"Other Asia, nes",2019,World,Fuels,Export,Export(US$ Mil),12930.59162654
"Other Asia, nes",2019,World,Chemicals,Export,Export(US$ Mil),18665.85132591
"Other Asia, nes",2019,World,Plastic or Rubber,Export,Export(US$ Mil),22655.16261645
"Other Asia, nes",2019,World,Hides and Skins,Export,Export(US$ Mil),566.0209768
"Other Asia, nes",2019,World,Wood,Export,Export(US$ Mil),2244.84374497
"Other Asia, nes",2019,World,Textiles and Clothing,Export,Export(US$ Mil),9201.41200889
"Other Asia, nes",2019,World,Footwear,Export,Export(US$ Mil),358.88543769
"Other Asia, nes",2019,World,Stone and Glass,Export,Export(US$ Mil),3668.66182066
"Other Asia, nes",2019,World,Metals,Export,Export(US$ Mil),27891.34192756
"Other Asia, nes",2019,World,Mach and Elec,Export,Export(US$ Mil),188992.57437934
"Other Asia, nes",2019,World,Transportation,Export,Export(US$ Mil),11270.62513667
"Other Asia, nes",2019,World,Miscellaneous,Export,Export(US$ Mil),24227.60537794
"Other Asia, nes",2019,World,Raw materials,Export,Export(US$ Mil),4467.89145084
"Other Asia, nes",2019,World,Intermediate goods,Export,Export(US$ Mil),68316.5996456201
"Other Asia, nes",2019,World,Consumer goods,Export,Export(US$ Mil),58614.8577125601
"Other Asia, nes",2019,World,Capital goods,Export,Export(US$ Mil),196313.75435328
"Other Asia, nes",2019,World,Raw materials,Import,Import(US$ Mil),43126.47370606
"Other Asia, nes",2019,World,Intermediate goods,Import,Import(US$ Mil),53910.0510372199
"Other Asia, nes",2019,World,Consumer goods,Import,Import(US$ Mil),53672.88651275
"Other Asia, nes",2019,World,Capital goods,Import,Import(US$ Mil),131462.95006678
"Other Asia, nes",2019,World,All Products,Export,Exports (in US$ Mil),329483.85829142
"Other Asia, nes",2019,World,All Products,Import,Imports (in US$ Mil),285931.19366418
"Other Asia, nes",2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),192491484.1321
"Other Asia, nes",2019,...,...,Tariff,No. Of Tariff Agreement,13
"Other Asia, nes",2019,...,...,Import,No. Of Import partners,218
"Other Asia, nes",2019,...,...,Import,No. Of Import products,4392
"Other Asia, nes",2019,...,...,Export,No. Of Export partners,216
"Other Asia, nes",2019,...,...,Export,No. Of Export products,4108
"Other Asia, nes",2019,China,All Products,Export,Partner share(%)-Top 5 Export Partner,27.8857
"Other Asia, nes",2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,14.0666
"Other Asia, nes",2019,"Hong Kong, China",All Products,Export,Partner share(%)-Top 5 Export Partner,12.2525
"Other Asia, nes",2019,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,7.0726
"Other Asia, nes",2019,Singapore,All Products,Export,Partner share(%)-Top 5 Export Partner,5.5265
"Other Asia, nes",2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,20.088
"Other Asia, nes",2019,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,15.4113
"Other Asia, nes",2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,12.2948
"Other Asia, nes",2019,"Korea, Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,6.2115
"Other Asia, nes",2019,Malaysia,All Products,Import,Partner share(%)-Top 5 Import Partner,3.6333
"Other Asia, nes",2019,World,Animal,Export,Export Product share(%),0.625
"Other Asia, nes",2019,World,Vegetable,Export,Export Product share(%),0.2873
"Other Asia, nes",2019,World,Food Products,Export,Export Product share(%),0.7918
"Other Asia, nes",2019,World,Minerals,Export,Export Product share(%),0.3628
"Other Asia, nes",2019,World,Fuels,Export,Export Product share(%),3.9245
"Other Asia, nes",2019,World,Chemicals,Export,Export Product share(%),5.6652
"Other Asia, nes",2019,World,Plastic or Rubber,Export,Export Product share(%),6.876
"Other Asia, nes",2019,World,Hides and Skins,Export,Export Product share(%),0.1718
"Other Asia, nes",2019,World,Wood,Export,Export Product share(%),0.6813
"Other Asia, nes",2019,World,Textiles and Clothing,Export,Export Product share(%),2.7927
"Other Asia, nes",2019,World,Footwear,Export,Export Product share(%),0.1089
"Other Asia, nes",2019,World,Stone and Glass,Export,Export Product share(%),1.1135
"Other Asia, nes",2019,World,Metals,Export,Export Product share(%),8.4652
"Other Asia, nes",2019,World,Mach and Elec,Export,Export Product share(%),57.3602
"Other Asia, nes",2019,World,Transportation,Export,Export Product share(%),3.4207
"Other Asia, nes",2019,World,Miscellaneous,Export,Export Product share(%),7.3532
"Other Asia, nes",2019,World,Raw materials,Export,Export Product share(%),1.356
"Other Asia, nes",2019,World,Intermediate goods,Export,Export Product share(%),20.7344
"Other Asia, nes",2019,World,Consumer goods,Export,Export Product share(%),17.7899
"Other Asia, nes",2019,World,Capital goods,Export,Export Product share(%),59.5822
"Other Asia, nes",2019,World,Raw materials,Import,Import Product share(%),15.0828
"Other Asia, nes",2019,World,Intermediate goods,Import,Import Product share(%),18.8542
"Other Asia, nes",2019,World,Consumer goods,Import,Import Product share(%),18.7713
"Other Asia, nes",2019,World,Capital goods,Import,Import Product share(%),45.9771
"Other Asia, nes",2019,World,Raw materials,Tariff,Weighted Average (%),1.04328328562512
"Other Asia, nes",2019,World,Intermediate goods,Tariff,Weighted Average (%),1.33159529934423
"Other Asia, nes",2019,World,Consumer goods,Tariff,Weighted Average (%),5.45403053661429
"Other Asia, nes",2019,World,Capital goods,Tariff,Weighted Average (%),0.71540142726388
"Other Asia, nes",2019,World,All Products,Trade Indicator,World Growth (%),-1.13475826045476
"Other Asia, nes",2019,World,All Products,Trade Indicator,Country Growth (%),1.47455416171298
"Other Asia, nes",2019,World,All Products,Tariff,Simple Average (%),5.42360931513318
"Other Asia, nes",2019,World,All Products,Tariff,Weighted Average (%),1.77288781981667
"Other Asia, nes",2019,World,All Products,Tariff,Maximum Rate (%),768.467224121094
"Other Asia, nes",2019,World,All Products,Tariff,Duty Free Tariff Lines Share (%),35.1866549160333
"Other Asia, nes",2019,...,...,Trade Indicator,Index of export market penetration,19.771041599484
