Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Oman,2018,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,27273.5991422549
Oman,2018,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2901.95835520864
Oman,2018,Qatar,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1794.918043919
Oman,2018,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1661.44365801232
Oman,2018,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1075.97338560712
Oman,2018,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11822.625570554
Oman,2018,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1520.39073182542
Oman,2018,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1130.73868106836
Oman,2018,Qatar,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,910.88455521154
Oman,2018,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,826.752547178741
Oman,2018,World,Animal,Export,Export(US$ Mil),695.63493349168
Oman,2018,World,Vegetable,Export,Export(US$ Mil),402.99738635702
Oman,2018,World,Food Products,Export,Export(US$ Mil),798.50002436386
Oman,2018,World,Minerals,Export,Export(US$ Mil),1233.31128562096
Oman,2018,World,Fuels,Export,Export(US$ Mil),28961.5987510632
Oman,2018,World,Chemicals,Export,Export(US$ Mil),2385.70412598882
Oman,2018,World,Plastic or Rubber,Export,Export(US$ Mil),734.55876613938
Oman,2018,World,Hides and Skins,Export,Export(US$ Mil),5.89780441068
Oman,2018,World,Wood,Export,Export(US$ Mil),130.23662807064
Oman,2018,World,Textiles and Clothing,Export,Export(US$ Mil),111.68630464264
Oman,2018,World,Footwear,Export,Export(US$ Mil),35.49104492024
Oman,2018,World,Stone and Glass,Export,Export(US$ Mil),345.61749035086
Oman,2018,World,Metals,Export,Export(US$ Mil),2742.69300153212
Oman,2018,World,Mach and Elec,Export,Export(US$ Mil),1244.25775797778
Oman,2018,World,Transportation,Export,Export(US$ Mil),1599.62009270518
Oman,2018,World,Miscellaneous,Export,Export(US$ Mil),333.17076065182
Oman,2018,World,Raw materials,Export,Export(US$ Mil),21775.6624823228
Oman,2018,World,Intermediate goods,Export,Export(US$ Mil),5938.37410793901
Oman,2018,World,Consumer goods,Export,Export(US$ Mil),12146.00447513
Oman,2018,World,Capital goods,Export,Export(US$ Mil),1850.7726032614
Oman,2018,World,Raw materials,Import,Import(US$ Mil),2126.4079490654
Oman,2018,World,Intermediate goods,Import,Import(US$ Mil),7052.91344586191
Oman,2018,World,Consumer goods,Import,Import(US$ Mil),9302.01825774675
Oman,2018,World,Capital goods,Import,Import(US$ Mil),7275.09788100186
Oman,2018,World,All Products,Export,Exports (in US$ Mil),41760.9761582868
Oman,2018,World,All Products,Import,Imports (in US$ Mil),25770.0924869333
Oman,2018,World,All Products,Tariff,Duty Free Imports (US$ Thousand),14569289.2297262
Oman,2019,...,...,Development,Trade Balance (current US$ Mil),10888.196654
Oman,2019,...,...,Development,GDP (current US$ Mil),76331.518669
Oman,2018,...,...,Tariff,No. Of Tariff Agreement,6
Oman,2018,...,...,Import,No. Of Import partners,139
Oman,2018,...,...,Import,No. Of Import products,4132
Oman,2018,...,...,Export,No. Of Export partners,161
Oman,2018,...,...,Export,No. Of Export products,3184
Oman,2019,...,...,Others,Population,4974986
Oman,2019,...,...,Others,Ease of Doing Business Rank,68
Oman,2019,...,...,Others,Trading Across Borders Rank,64
Oman,2019,...,...,Others,CPIA Trade Ratings,
Oman,2018,...,...,Others,LPI Rank,43
Oman,2018,...,...,Others,LPI Score,3.2
Oman,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0628587
Oman,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0794315
Oman,,...,...,Others,Services Trade Restrictions Index - Over All,47.4
Oman,2018,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,65.3088
Oman,2018,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,6.949
Oman,2018,Qatar,All Products,Export,Partner share(%)-Top 5 Export Partner,4.2981
Oman,2018,Saudi Arabia,All Products,Export,Partner share(%)-Top 5 Export Partner,3.9785
Oman,2018,India,All Products,Export,Partner share(%)-Top 5 Export Partner,2.5765
Oman,2018,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,45.8773
Oman,2018,China,All Products,Import,Partner share(%)-Top 5 Import Partner,5.8998
Oman,2018,India,All Products,Import,Partner share(%)-Top 5 Import Partner,4.3878
Oman,2018,Qatar,All Products,Import,Partner share(%)-Top 5 Import Partner,3.5347
Oman,2018,Saudi Arabia,All Products,Import,Partner share(%)-Top 5 Import Partner,3.2082
Oman,2018,World,Animal,Export,Export Product share(%),1.6658
Oman,2018,World,Vegetable,Export,Export Product share(%),0.965
Oman,2018,World,Food Products,Export,Export Product share(%),1.9121
Oman,2018,World,Minerals,Export,Export Product share(%),2.9533
Oman,2018,World,Fuels,Export,Export Product share(%),69.3509
Oman,2018,World,Chemicals,Export,Export Product share(%),5.7128
Oman,2018,World,Plastic or Rubber,Export,Export Product share(%),1.759
Oman,2018,World,Hides and Skins,Export,Export Product share(%),0.0141
Oman,2018,World,Wood,Export,Export Product share(%),0.3119
Oman,2018,World,Textiles and Clothing,Export,Export Product share(%),0.2674
Oman,2018,World,Footwear,Export,Export Product share(%),0.085
Oman,2018,World,Stone and Glass,Export,Export Product share(%),0.8276
Oman,2018,World,Metals,Export,Export Product share(%),6.5676
Oman,2018,World,Mach and Elec,Export,Export Product share(%),2.9795
Oman,2018,World,Transportation,Export,Export Product share(%),3.8304
Oman,2018,World,Miscellaneous,Export,Export Product share(%),0.7978
Oman,2018,World,Raw materials,Export,Export Product share(%),52.1436
Oman,2018,World,Intermediate goods,Export,Export Product share(%),14.2199
Oman,2018,World,Consumer goods,Export,Export Product share(%),29.0846
Oman,2018,World,Capital goods,Export,Export Product share(%),4.4318
Oman,2018,World,Raw materials,Import,Import Product share(%),8.2515
Oman,2018,World,Intermediate goods,Import,Import Product share(%),27.3686
Oman,2018,World,Consumer goods,Import,Import Product share(%),36.0962
Oman,2018,World,Capital goods,Import,Import Product share(%),28.2308
Oman,2018,World,Raw materials,Tariff,Weighted Average (%),2.4434623124038
Oman,2018,World,Intermediate goods,Tariff,Weighted Average (%),1.7719662410045
Oman,2018,World,Consumer goods,Tariff,Weighted Average (%),1.3529919478038
Oman,2018,World,Capital goods,Tariff,Weighted Average (%),1.98140974782555
Oman,2018,World,All Products,Trade Indicator,World Growth (%),3.49929022901836
Oman,2018,World,All Products,Trade Indicator,Country Growth (%),17.6017195303086
Oman,2018,World,All Products,Tariff,Simple Average (%),3.66603445961688
Oman,2018,World,All Products,Tariff,Weighted Average (%),1.73482215895494
Oman,2018,World,All Products,Tariff,Maximum Rate (%),1371.80200195313
Oman,2018,World,All Products,Tariff,Duty Free Tariff Lines Share (%),36.956938585438
Oman,2018,...,...,Trade Indicator,Index of export market penetration,2.66614638869355
Oman,2018,...,...,Trade Indicator,HH Market concentration index,0.199048484303919
Oman,2019,...,...,Development,Trade Balance (% of GDP),14.26435219
Oman,2019,...,...,Development,Trade in services (% of GDP),22.39424756
Oman,2019,...,...,Development,Trade (% of GDP),106.7491528
Oman,2019,...,...,Development,"GNI per capita, Atlas method (current US$)",14110
