Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Pakistan,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4030.36955993682
Pakistan,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2036.87733361947
Pakistan,2019,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1677.3644937799
Pakistan,2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1340.86558906124
Pakistan,2019,Afghanistan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1180.10708241888
Pakistan,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12406.3970274218
Pakistan,2019,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6330.48668962231
Pakistan,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2611.00163377861
Pakistan,2019,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2436.31378689287
Pakistan,2019,Indonesia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2218.99277280143
Pakistan,2019,World,Animal,Export,Export(US$ Mil),861.91555707283
Pakistan,2019,World,Vegetable,Export,Export(US$ Mil),3468.59210247618
Pakistan,2019,World,Food Products,Export,Export(US$ Mil),915.953019315586
Pakistan,2019,World,Minerals,Export,Export(US$ Mil),527.112675701654
Pakistan,2019,World,Fuels,Export,Export(US$ Mil),372.28729773911
Pakistan,2019,World,Chemicals,Export,Export(US$ Mil),386.763899390318
Pakistan,2019,World,Plastic or Rubber,Export,Export(US$ Mil),394.155259218959
Pakistan,2019,World,Hides and Skins,Export,Export(US$ Mil),860.613532903624
Pakistan,2019,World,Wood,Export,Export(US$ Mil),97.6330644944559
Pakistan,2019,World,Textiles and Clothing,Export,Export(US$ Mil),13656.0530581201
Pakistan,2019,World,Footwear,Export,Export(US$ Mil),138.921384871076
Pakistan,2019,World,Stone and Glass,Export,Export(US$ Mil),64.1444740106277
Pakistan,2019,World,Metals,Export,Export(US$ Mil),651.397686086126
Pakistan,2019,World,Mach and Elec,Export,Export(US$ Mil),332.12475894577
Pakistan,2019,World,Transportation,Export,Export(US$ Mil),215.007167125349
Pakistan,2019,World,Miscellaneous,Export,Export(US$ Mil),806.005315079303
Pakistan,2019,World,Raw materials,Export,Export(US$ Mil),2599.05776475697
Pakistan,2019,World,Intermediate goods,Export,Export(US$ Mil),5699.91914920688
Pakistan,2019,World,Consumer goods,Export,Export(US$ Mil),14502.7248457382
Pakistan,2019,World,Capital goods,Export,Export(US$ Mil),944.352614772233
Pakistan,2019,World,Raw materials,Import,Import(US$ Mil),9822.07248538294
Pakistan,2019,World,Intermediate goods,Import,Import(US$ Mil),13752.6523063998
Pakistan,2019,World,Consumer goods,Import,Import(US$ Mil),15942.1771640367
Pakistan,2019,World,Capital goods,Import,Import(US$ Mil),10400.278580107
Pakistan,2019,World,All Products,Export,Exports (in US$ Mil),23748.6802525511
Pakistan,2019,World,All Products,Import,Imports (in US$ Mil),50063.059560226
Pakistan,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),3745890.47699438
Pakistan,2019,...,...,Development,Trade Balance (current US$ Mil),-28379.114916
Pakistan,2019,...,...,Development,GDP (current US$ Mil),278222
Pakistan,2019,...,...,Tariff,No. Of Tariff Agreement,8
Pakistan,2019,...,...,Import,No. Of Import partners,208
Pakistan,2019,...,...,Import,No. Of Import products,4039
Pakistan,2019,...,...,Export,No. Of Export partners,194
Pakistan,2019,...,...,Export,No. Of Export products,2824
Pakistan,2019,...,...,Others,Population,216565318
Pakistan,2019,...,...,Others,Ease of Doing Business Rank,108
Pakistan,2019,...,...,Others,Trading Across Borders Rank,111
Pakistan,2019,...,...,Others,CPIA Trade Ratings,4
Pakistan,2018,...,...,Others,LPI Rank,122
Pakistan,2018,...,...,Others,LPI Score,2.42
Pakistan,2013,...,...,Others,No Of NTM Affected Products (HS 6 Digit),28
Pakistan,2013,...,...,Others,No Of NTM Measures,2
Pakistan,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0736763
Pakistan,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0736763
Pakistan,,...,...,Others,Services Trade Restrictions Index - Over All,28.3
Pakistan,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,0.290585041
Pakistan,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,1.306389093
Pakistan,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,16.9709
Pakistan,2019,China,All Products,Export,Partner share(%)-Top 5 Export Partner,8.5768
Pakistan,2019,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,7.063
Pakistan,2019,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,5.6461
Pakistan,2019,Afghanistan,All Products,Export,Partner share(%)-Top 5 Export Partner,4.9691
Pakistan,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,24.7815
Pakistan,2019,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,12.645
Pakistan,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,5.2154
Pakistan,2019,Saudi Arabia,All Products,Import,Partner share(%)-Top 5 Import Partner,4.8665
Pakistan,2019,Indonesia,All Products,Import,Partner share(%)-Top 5 Import Partner,4.4324
Pakistan,2019,World,Animal,Export,Export Product share(%),3.6293
Pakistan,2019,World,Vegetable,Export,Export Product share(%),14.6054
Pakistan,2019,World,Food Products,Export,Export Product share(%),3.8569
Pakistan,2019,World,Minerals,Export,Export Product share(%),2.2195
Pakistan,2019,World,Fuels,Export,Export Product share(%),1.5676
Pakistan,2019,World,Chemicals,Export,Export Product share(%),1.6286
Pakistan,2019,World,Plastic or Rubber,Export,Export Product share(%),1.6597
Pakistan,2019,World,Hides and Skins,Export,Export Product share(%),3.6238
Pakistan,2019,World,Wood,Export,Export Product share(%),0.4111
Pakistan,2019,World,Textiles and Clothing,Export,Export Product share(%),57.5024
Pakistan,2019,World,Footwear,Export,Export Product share(%),0.585
Pakistan,2019,World,Stone and Glass,Export,Export Product share(%),0.2701
