Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Panama,2017,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2145.853035
Panama,2017,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1092.091603
Panama,2017,Colombia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,946.08235
Panama,2017,Costa Rica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,714.390418
Panama,2017,Dominican Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,523.920034
Panama,2017,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4350.814061
Panama,2017,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4063.24104
Panama,2017,Free Zones,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2806.703453
Panama,2017,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1521.078317
Panama,2017,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,942.34036
Panama,2017,World,Animal,Export,Export(US$ Mil),7.461167
Panama,2017,World,Vegetable,Export,Export(US$ Mil),24.635705
Panama,2017,World,Food Products,Export,Export(US$ Mil),524.914337
Panama,2017,World,Minerals,Export,Export(US$ Mil),0.191722
Panama,2017,World,Fuels,Export,Export(US$ Mil),1.788601
Panama,2017,World,Chemicals,Export,Export(US$ Mil),3973.720712
Panama,2017,World,Plastic or Rubber,Export,Export(US$ Mil),298.239412
Panama,2017,World,Hides and Skins,Export,Export(US$ Mil),146.730504
Panama,2017,World,Wood,Export,Export(US$ Mil),72.609956
Panama,2017,World,Textiles and Clothing,Export,Export(US$ Mil),1386.848631
Panama,2017,World,Footwear,Export,Export(US$ Mil),850.328376
Panama,2017,World,Stone and Glass,Export,Export(US$ Mil),267.659582
Panama,2017,World,Metals,Export,Export(US$ Mil),210.58784
Panama,2017,World,Mach and Elec,Export,Export(US$ Mil),2036.871621
Panama,2017,World,Transportation,Export,Export(US$ Mil),225.738798
