Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Peru,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13545.9887341
Peru,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5748.24980361
Peru,2019,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2407.87213833
Peru,2019,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2277.6935735
Peru,2019,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2266.32767956
Peru,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10265.206990932
Peru,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8808.6074357
Peru,2019,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2430.00357865
Peru,2019,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1851.44564023
Peru,2019,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1770.2075685
Peru,2019,World,Animal,Export,Export(US$ Mil),1249.97119469
Peru,2019,World,Vegetable,Export,Export(US$ Mil),5818.46246063
Peru,2019,World,Food Products,Export,Export(US$ Mil),3620.53184165
Peru,2019,World,Minerals,Export,Export(US$ Mil),17384.01656381
Peru,2019,World,Fuels,Export,Export(US$ Mil),3169.07546322
Peru,2019,World,Chemicals,Export,Export(US$ Mil),851.80703328
Peru,2019,World,Plastic or Rubber,Export,Export(US$ Mil),625.81460358
Peru,2019,World,Hides and Skins,Export,Export(US$ Mil),23.25958395
Peru,2019,World,Wood,Export,Export(US$ Mil),318.02110136
Peru,2019,World,Textiles and Clothing,Export,Export(US$ Mil),1393.62537124
Peru,2019,World,Footwear,Export,Export(US$ Mil),25.7460413
Peru,2019,World,Stone and Glass,Export,Export(US$ Mil),7420.91979747
Peru,2019,World,Metals,Export,Export(US$ Mil),3660.81731474
Peru,2019,World,Mach and Elec,Export,Export(US$ Mil),383.82836778
Peru,2019,World,Transportation,Export,Export(US$ Mil),82.5068542
Peru,2019,World,Miscellaneous,Export,Export(US$ Mil),103.1611665
Peru,2019,World,Raw materials,Export,Export(US$ Mil),23392.69483034
Peru,2019,World,Intermediate goods,Export,Export(US$ Mil),15163.87527636
Peru,2019,World,Consumer goods,Export,Export(US$ Mil),7093.03025389999
Peru,2019,World,Capital goods,Export,Export(US$ Mil),481.85044149
Peru,2019,World,Raw materials,Import,Import(US$ Mil),5223.87351618
Peru,2019,World,Intermediate goods,Import,Import(US$ Mil),10467.669070842
Peru,2019,World,Consumer goods,Import,Import(US$ Mil),14854.036583277
Peru,2019,World,Capital goods,Import,Import(US$ Mil),11830.43744934
Peru,2019,World,All Products,Export,Exports (in US$ Mil),46131.5647594
Peru,2019,World,All Products,Import,Imports (in US$ Mil),42376.434141489
Peru,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),33598038.713407
Peru,2019,...,...,Development,Trade Balance (current US$ Mil),2831.930003
Peru,2019,...,...,Development,GDP (current US$ Mil),226848
Peru,2019,...,...,Tariff,No. Of Tariff Agreement,55
Peru,2019,...,...,Import,No. Of Import partners,210
Peru,2019,...,...,Import,No. Of Import products,4129
Peru,2019,...,...,Export,No. Of Export partners,172
Peru,2019,...,...,Export,No. Of Export products,3315
Peru,2019,...,...,Others,Population,32510453
Peru,2019,...,...,Others,Ease of Doing Business Rank,76
Peru,2019,...,...,Others,Trading Across Borders Rank,102
Peru,2019,...,...,Others,CPIA Trade Ratings,
Peru,2018,...,...,Others,LPI Rank,83
Peru,2018,...,...,Others,LPI Score,2.69
Peru,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),1972
Peru,2014,...,...,Others,No Of NTM Measures,53
Peru,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0931461
Peru,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1004942
Peru,,...,...,Others,Services Trade Restrictions Index - Over All,16.4
Peru,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,5.656722069
Peru,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,1.467296243
Peru,2019,China,All Products,Export,Partner share(%)-Top 5 Export Partner,29.3638
Peru,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,12.4606
Peru,2019,Canada,All Products,Export,Partner share(%)-Top 5 Export Partner,5.2196
Peru,2019,"Korea, Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,4.9374
Peru,2019,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,4.9127
Peru,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,24.2239
Peru,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,20.7866
Peru,2019,Brazil,All Products,Import,Partner share(%)-Top 5 Import Partner,5.7343
Peru,2019,Mexico,All Products,Import,Partner share(%)-Top 5 Import Partner,4.369
Peru,2019,Argentina,All Products,Import,Partner share(%)-Top 5 Import Partner,4.1773
Peru,2019,World,Animal,Export,Export Product share(%),2.7096
Peru,2019,World,Vegetable,Export,Export Product share(%),12.6128
Peru,2019,World,Food Products,Export,Export Product share(%),7.8483
Peru,2019,World,Minerals,Export,Export Product share(%),37.6836
Peru,2019,World,Fuels,Export,Export Product share(%),6.8696
Peru,2019,World,Chemicals,Export,Export Product share(%),1.8465
Peru,2019,World,Plastic or Rubber,Export,Export Product share(%),1.3566
Peru,2019,World,Hides and Skins,Export,Export Product share(%),0.0504
Peru,2019,World,Wood,Export,Export Product share(%),0.6894
Peru,2019,World,Textiles and Clothing,Export,Export Product share(%),3.021
Peru,2019,World,Footwear,Export,Export Product share(%),0.0558
Peru,2019,World,Stone and Glass,Export,Export Product share(%),16.0864
Peru,2019,World,Metals,Export,Export Product share(%),7.9356
Peru,2019,World,Mach and Elec,Export,Export Product share(%),0.832
Peru,2019,World,Transportation,Export,Export Product share(%),0.1789
Peru,2019,World,Miscellaneous,Export,Export Product share(%),0.2236
Peru,2019,World,Raw materials,Export,Export Product share(%),50.7087
Peru,2019,World,Intermediate goods,Export,Export Product share(%),32.8709
Peru,2019,World,Consumer goods,Export,Export Product share(%),15.3757
Peru,2019,World,Capital goods,Export,Export Product share(%),1.0445
Peru,2019,World,Raw materials,Import,Import Product share(%),12.3273
Peru,2019,World,Intermediate goods,Import,Import Product share(%),24.7016
Peru,2019,World,Consumer goods,Import,Import Product share(%),35.0526
Peru,2019,World,Capital goods,Import,Import Product share(%),27.9175
Peru,2019,World,Raw materials,Tariff,Weighted Average (%),0.0532524501861714
Peru,2019,World,Intermediate goods,Tariff,Weighted Average (%),0.570158638377471
Peru,2019,World,Consumer goods,Tariff,Weighted Average (%),1.82118092609726
Peru,2019,World,Capital goods,Tariff,Weighted Average (%),0.0807742520488609
Peru,2019,World,All Products,Trade Indicator,World Growth (%),-1.13475826045476
Peru,2019,World,All Products,Trade Indicator,Country Growth (%),-1.79358082589466
Peru,2019,World,All Products,Tariff,Simple Average (%),1.27084996559783
Peru,2019,World,All Products,Tariff,Weighted Average (%),0.726464702492535
Peru,2019,World,All Products,Tariff,Maximum Rate (%),11
Peru,2019,World,All Products,Tariff,Duty Free Tariff Lines Share (%),83.3549408018913
Peru,2019,...,...,Trade Indicator,Index of export market penetration,4.98478805335683
Peru,2019,...,...,Trade Indicator,HH Market concentration index,0.121857795065818
Peru,2019,...,...,Development,Trade Balance (% of GDP),1.2483819
Peru,2019,...,...,Development,Trade in services (% of GDP),7.898102174
Peru,2019,...,...,Development,Trade (% of GDP),47.12189258
Peru,2019,...,...,Development,"GNI per capita, Atlas method (current US$)",6740
