Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Philippines,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11573.892498
Philippines,2019,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10674.916696
Philippines,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9814.427518
Philippines,2019,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9624.897415
Philippines,2019,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3831.791658
Philippines,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,26756.381043
Philippines,2019,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11217.877058
Philippines,2019,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8759.567823
Philippines,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8555.65689
Philippines,2019,Indonesia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7299.281417
Philippines,2019,World,Animal,Export,Export(US$ Mil),382.155794
Philippines,2019,World,Vegetable,Export,Export(US$ Mil),3943.082271
Philippines,2019,World,Food Products,Export,Export(US$ Mil),2409.578848
Philippines,2019,World,Minerals,Export,Export(US$ Mil),1431.750892
Philippines,2019,World,Fuels,Export,Export(US$ Mil),1046.793681
Philippines,2019,World,Chemicals,Export,Export(US$ Mil),1146.685573
Philippines,2019,World,Plastic or Rubber,Export,Export(US$ Mil),1500.426781
Philippines,2019,World,Hides and Skins,Export,Export(US$ Mil),837.626145
Philippines,2019,World,Wood,Export,Export(US$ Mil),988.315407
Philippines,2019,World,Textiles and Clothing,Export,Export(US$ Mil),1158.826382
Philippines,2019,World,Footwear,Export,Export(US$ Mil),209.779056
Philippines,2019,World,Stone and Glass,Export,Export(US$ Mil),1907.68085
Philippines,2019,World,Metals,Export,Export(US$ Mil),2922.876478
Philippines,2019,World,Mach and Elec,Export,Export(US$ Mil),45683.083968
Philippines,2019,World,Transportation,Export,Export(US$ Mil),2334.293875
Philippines,2019,World,Miscellaneous,Export,Export(US$ Mil),3023.718489
Philippines,2019,World,Raw materials,Export,Export(US$ Mil),5923.137803
Philippines,2019,World,Intermediate goods,Export,Export(US$ Mil),7680.29337899999
Philippines,2019,World,Consumer goods,Export,Export(US$ Mil),12244.052453
Philippines,2019,World,Capital goods,Export,Export(US$ Mil),45077.9224530001
Philippines,2019,World,Raw materials,Import,Import(US$ Mil),11678.81872
Philippines,2019,World,Intermediate goods,Import,Import(US$ Mil),25354.350414
Philippines,2019,World,Consumer goods,Import,Import(US$ Mil),32967.415439
Philippines,2019,World,Capital goods,Import,Import(US$ Mil),47236.067779
Philippines,2019,World,All Products,Export,Exports (in US$ Mil),70926.67449
Philippines,2019,World,All Products,Import,Imports (in US$ Mil),117247.264757
Philippines,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),83746785.651
Philippines,2019,...,...,Development,Trade Balance (current US$ Mil),-44940
Philippines,2019,...,...,Development,GDP (current US$ Mil),376796
Philippines,2019,...,...,Tariff,No. Of Tariff Agreement,8
Philippines,2019,...,...,Import,No. Of Import partners,187
Philippines,2019,...,...,Import,No. Of Import products,4347
Philippines,2019,...,...,Export,No. Of Export partners,211
Philippines,2019,...,...,Export,No. Of Export products,2971
Philippines,2019,...,...,Others,Population,108116615
Philippines,2019,...,...,Others,Ease of Doing Business Rank,95
Philippines,2019,...,...,Others,Trading Across Borders Rank,113
Philippines,2019,...,...,Others,CPIA Trade Ratings,
Philippines,2018,...,...,Others,LPI Rank,60
Philippines,2018,...,...,Others,LPI Score,2.9
Philippines,2015,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5204
Philippines,2015,...,...,Others,No Of NTM Measures,103
Philippines,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.2167562
Philippines,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.227657
Philippines,,...,...,Others,Services Trade Restrictions Index - Over All,53.5
Philippines,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,0.0772051737
Philippines,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,0.0510980301
Philippines,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,16.3181
Philippines,2019,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,15.0506
Philippines,2019,China,All Products,Export,Partner share(%)-Top 5 Export Partner,13.8374
Philippines,2019,"Hong Kong, China",All Products,Export,Partner share(%)-Top 5 Export Partner,13.5702
Philippines,2019,Singapore,All Products,Export,Partner share(%)-Top 5 Export Partner,5.4025
Philippines,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,22.8205
Philippines,2019,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,9.5677
Philippines,2019,"Korea, Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,7.471
Philippines,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,7.2971
Philippines,2019,Indonesia,All Products,Import,Partner share(%)-Top 5 Import Partner,6.2255
Philippines,2019,World,Animal,Export,Export Product share(%),0.5388
Philippines,2019,World,Vegetable,Export,Export Product share(%),5.5594
Philippines,2019,World,Food Products,Export,Export Product share(%),3.3973
Philippines,2019,World,Minerals,Export,Export Product share(%),2.0186
Philippines,2019,World,Fuels,Export,Export Product share(%),1.4759
Philippines,2019,World,Chemicals,Export,Export Product share(%),1.6167
Philippines,2019,World,Plastic or Rubber,Export,Export Product share(%),2.1155
Philippines,2019,World,Hides and Skins,Export,Export Product share(%),1.181
Philippines,2019,World,Wood,Export,Export Product share(%),1.3934
Philippines,2019,World,Textiles and Clothing,Export,Export Product share(%),1.6338
Philippines,2019,World,Footwear,Export,Export Product share(%),0.2958
Philippines,2019,World,Stone and Glass,Export,Export Product share(%),2.6897
Philippines,2019,World,Metals,Export,Export Product share(%),4.121
Philippines,2019,World,Mach and Elec,Export,Export Product share(%),64.4089
Philippines,2019,World,Transportation,Export,Export Product share(%),3.2911
Philippines,2019,World,Miscellaneous,Export,Export Product share(%),4.2632
Philippines,2019,World,Raw materials,Export,Export Product share(%),8.3511
Philippines,2019,World,Intermediate goods,Export,Export Product share(%),10.8285
Philippines,2019,World,Consumer goods,Export,Export Product share(%),17.263
Philippines,2019,World,Capital goods,Export,Export Product share(%),63.5557
Philippines,2019,World,Raw materials,Import,Import Product share(%),9.9608
Philippines,2019,World,Intermediate goods,Import,Import Product share(%),21.6247
Philippines,2019,World,Consumer goods,Import,Import Product share(%),28.1179
Philippines,2019,World,Capital goods,Import,Import Product share(%),40.2876
Philippines,2019,World,Raw materials,Tariff,Weighted Average (%),3.43186862054199
Philippines,2019,World,Intermediate goods,Tariff,Weighted Average (%),1.0270893887862
Philippines,2019,World,Consumer goods,Tariff,Weighted Average (%),3.9647966329439
Philippines,2019,World,Capital goods,Tariff,Weighted Average (%),0.456699912528202
Philippines,2019,World,All Products,Trade Indicator,World Growth (%),-1.13475826045476
Philippines,2019,World,All Products,Trade Indicator,Country Growth (%),-0.71897048411308
Philippines,2019,World,All Products,Tariff,Simple Average (%),3.54356472566369
Philippines,2019,World,All Products,Tariff,Weighted Average (%),1.67536807843376
Philippines,2019,World,All Products,Tariff,Maximum Rate (%),65
Philippines,2019,World,All Products,Tariff,Duty Free Tariff Lines Share (%),47.9091372696836
Philippines,2019,...,...,Trade Indicator,Index of export market penetration,8.20090060659633
Philippines,2019,...,...,Trade Indicator,HH Market concentration index,0.0962885953906871
Philippines,2019,...,...,Development,Trade Balance (% of GDP),-11.92693438
Philippines,2019,...,...,Development,Trade in services (% of GDP),18.35734243
Philippines,2019,...,...,Development,Trade (% of GDP),68.60690606
Philippines,2019,...,...,Development,"GNI per capita, Atlas method (current US$)",3850
