Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Poland,2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,69224.851566
Poland,2019,Czech Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,15503.205751
Poland,2019,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,15236.621574
Poland,2019,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14630.816127
Poland,2019,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11653.91706
Poland,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,52736.100762
Poland,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,30414.556491
Poland,2019,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,16014.231794
Poland,2019,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12274.107434
Poland,2019,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9260.758182
Poland,2019,World,Animal,Export,Export(US$ Mil),10984.260367
Poland,2019,World,Vegetable,Export,Export(US$ Mil),5845.03821
Poland,2019,World,Food Products,Export,Export(US$ Mil),17727.058795
Poland,2019,World,Minerals,Export,Export(US$ Mil),409.32818
Poland,2019,World,Fuels,Export,Export(US$ Mil),5644.320633
Poland,2019,World,Chemicals,Export,Export(US$ Mil),17403.136585
Poland,2019,World,Plastic or Rubber,Export,Export(US$ Mil),17075.35096
Poland,2019,World,Hides and Skins,Export,Export(US$ Mil),1172.611764
Poland,2019,World,Wood,Export,Export(US$ Mil),12044.436482
Poland,2019,World,Textiles and Clothing,Export,Export(US$ Mil),10031.704646
Poland,2019,World,Footwear,Export,Export(US$ Mil),2676.040101
Poland,2019,World,Stone and Glass,Export,Export(US$ Mil),6282.800793
Poland,2019,World,Metals,Export,Export(US$ Mil),25343.997666
Poland,2019,World,Mach and Elec,Export,Export(US$ Mil),60002.14419
Poland,2019,World,Transportation,Export,Export(US$ Mil),35683.757054
Poland,2019,World,Miscellaneous,Export,Export(US$ Mil),23538.786844
Poland,2019,World,Raw materials,Export,Export(US$ Mil),15970.332602
Poland,2019,World,Intermediate goods,Export,Export(US$ Mil),45334.741397
Poland,2019,World,Consumer goods,Export,Export(US$ Mil),113747.333764
Poland,2019,World,Capital goods,Export,Export(US$ Mil),76390.651638
Poland,2019,World,Raw materials,Import,Import(US$ Mil),28642.888708
Poland,2019,World,Intermediate goods,Import,Import(US$ Mil),55507.703354
Poland,2019,World,Consumer goods,Import,Import(US$ Mil),83565.621003
Poland,2019,World,Capital goods,Import,Import(US$ Mil),74955.794315
Poland,2019,World,All Products,Export,Exports (in US$ Mil),251864.77327
Poland,2019,World,All Products,Import,Imports (in US$ Mil),246653.880235
Poland,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),59252162.4
Poland,2019,...,...,Development,Trade Balance (current US$ Mil),28045
Poland,2019,...,...,Development,GDP (current US$ Mil),595858
Poland,2019,...,...,Tariff,No. Of Tariff Agreement,
Poland,2019,...,...,Import,No. Of Import partners,230
Poland,2019,...,...,Import,No. Of Import products,4387
Poland,2019,...,...,Export,No. Of Export partners,226
Poland,2019,...,...,Export,No. Of Export products,4323
Poland,2019,...,...,Others,Population,37965475
Poland,2019,...,...,Others,Ease of Doing Business Rank,40
Poland,2019,...,...,Others,Trading Across Borders Rank,1
Poland,2019,...,...,Others,CPIA Trade Ratings,
Poland,2018,...,...,Others,LPI Rank,28
Poland,2018,...,...,Others,LPI Score,3.54
Poland,,...,...,Others,Services Trade Restrictions Index - Over All,11
Poland,2019,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,27.4849
Poland,2019,Czech Republic,All Products,Export,Partner share(%)-Top 5 Export Partner,6.1554
Poland,2019,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,6.0495
Poland,2019,France,All Products,Export,Partner share(%)-Top 5 Export Partner,5.809
Poland,2019,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,4.6271
Poland,2019,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,21.3806
Poland,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,12.3309
Poland,2019,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,6.4926
Poland,2019,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,4.9762
Poland,2019,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,3.7546
Poland,2019,World,Animal,Export,Export Product share(%),4.3612
Poland,2019,World,Vegetable,Export,Export Product share(%),2.3207
Poland,2019,World,Food Products,Export,Export Product share(%),7.0383
Poland,2019,World,Minerals,Export,Export Product share(%),0.1625
Poland,2019,World,Fuels,Export,Export Product share(%),2.241
Poland,2019,World,Chemicals,Export,Export Product share(%),6.9097
Poland,2019,World,Plastic or Rubber,Export,Export Product share(%),6.7796
Poland,2019,World,Hides and Skins,Export,Export Product share(%),0.4656
Poland,2019,World,Wood,Export,Export Product share(%),4.7821
Poland,2019,World,Textiles and Clothing,Export,Export Product share(%),3.983
Poland,2019,World,Footwear,Export,Export Product share(%),1.0625
Poland,2019,World,Stone and Glass,Export,Export Product share(%),2.4945
Poland,2019,World,Metals,Export,Export Product share(%),10.0625
Poland,2019,World,Mach and Elec,Export,Export Product share(%),23.8232
Poland,2019,World,Transportation,Export,Export Product share(%),14.1678
Poland,2019,World,Miscellaneous,Export,Export Product share(%),9.3458
Poland,2019,World,Raw materials,Export,Export Product share(%),6.3408
Poland,2019,World,Intermediate goods,Export,Export Product share(%),17.9996
Poland,2019,World,Consumer goods,Export,Export Product share(%),45.1621
Poland,2019,World,Capital goods,Export,Export Product share(%),30.33
Poland,2019,World,Raw materials,Import,Import Product share(%),11.6126
Poland,2019,World,Intermediate goods,Import,Import Product share(%),22.5043
Poland,2019,World,Consumer goods,Import,Import Product share(%),33.8797
Poland,2019,World,Capital goods,Import,Import Product share(%),30.3891
Poland,2019,World,Raw materials,Tariff,Weighted Average (%),0.444365826536635
Poland,2019,World,Intermediate goods,Tariff,Weighted Average (%),2.00673481969515
Poland,2019,World,Consumer goods,Tariff,Weighted Average (%),4.02204529821396
Poland,2019,World,Capital goods,Tariff,Weighted Average (%),0.918387354840022
Poland,2019,World,All Products,Trade Indicator,World Growth (%),-1.13475826045476
Poland,2019,World,All Products,Trade Indicator,Country Growth (%),-0.390118722017074
Poland,2019,World,All Products,Tariff,Simple Average (%),2.77385009990532
Poland,2019,World,All Products,Tariff,Weighted Average (%),1.99505005424582
Poland,2019,World,All Products,Tariff,Maximum Rate (%),3000
Poland,2019,World,All Products,Tariff,Duty Free Tariff Lines Share (%),54.4917375198295
Poland,2019,...,...,Trade Indicator,Index of export market penetration,20.598723674474
Poland,2019,...,...,Trade Indicator,HH Market concentration index,0.0901958123381791
Poland,2019,...,...,Development,Trade Balance (% of GDP),4.70670156
Poland,2019,...,...,Development,Trade in services (% of GDP),19.02080036
Poland,2019,...,...,Development,Trade (% of GDP),106.3637969
Poland,2019,...,...,Development,"GNI per capita, Atlas method (current US$)",15350
