Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Qatar,2019,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13591.9356998124
Qatar,2019,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11369.5825656389
Qatar,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9018.81634039586
Qatar,2019,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8871.62052257638
Qatar,2019,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5521.26933206937
Qatar,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5442.90727981611
Qatar,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3485.37251676139
Qatar,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2083.89986397427
Qatar,2019,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1935.76863744509
Qatar,2019,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1504.31688495209
Qatar,2019,World,Animal,Export,Export(US$ Mil),21.8903356430316
Qatar,2019,World,Vegetable,Export,Export(US$ Mil),7.60650819705143
Qatar,2019,World,Food Products,Export,Export(US$ Mil),2.44325966434031
Qatar,2019,World,Minerals,Export,Export(US$ Mil),230.475014890513
Qatar,2019,World,Fuels,Export,Export(US$ Mil),62601.7805685638
Qatar,2019,World,Chemicals,Export,Export(US$ Mil),3029.07884772468
Qatar,2019,World,Plastic or Rubber,Export,Export(US$ Mil),2411.04860872854
Qatar,2019,World,Hides and Skins,Export,Export(US$ Mil),7.47438686621497
Qatar,2019,World,Wood,Export,Export(US$ Mil),29.6471243868758
Qatar,2019,World,Textiles and Clothing,Export,Export(US$ Mil),17.8061941436642
Qatar,2019,World,Footwear,Export,Export(US$ Mil),8.81693031115751
Qatar,2019,World,Stone and Glass,Export,Export(US$ Mil),340.194666918786
Qatar,2019,World,Metals,Export,Export(US$ Mil),2244.03476076162
Qatar,2019,World,Mach and Elec,Export,Export(US$ Mil),574.906771484824
Qatar,2019,World,Transportation,Export,Export(US$ Mil),963.257248732296
Qatar,2019,World,Miscellaneous,Export,Export(US$ Mil),444.495066132553
Qatar,2019,World,Raw materials,Export,Export(US$ Mil),12743.6472465226
Qatar,2019,World,Intermediate goods,Export,Export(US$ Mil),172.63016428582
Qatar,2019,World,Consumer goods,Export,Export(US$ Mil),50197.5737418385
Qatar,2019,World,Capital goods,Export,Export(US$ Mil),210.002963619722
Qatar,2019,World,Raw materials,Import,Import(US$ Mil),2787.19050685557
Qatar,2019,World,Intermediate goods,Import,Import(US$ Mil),5991.5260296187
Qatar,2019,World,Consumer goods,Import,Import(US$ Mil),9115.96094808317
Qatar,2019,World,Capital goods,Import,Import(US$ Mil),9186.51605659622
Qatar,2019,World,All Products,Export,Exports (in US$ Mil),72934.95629315
Qatar,2019,World,All Products,Import,Imports (in US$ Mil),29178.0645741811
Qatar,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),8949988.16067133
Qatar,2019,...,...,Development,Trade Balance (current US$ Mil),25276.373626
Qatar,2019,...,...,Development,GDP (current US$ Mil),175838
Qatar,2019,...,...,Tariff,No. Of Tariff Agreement,5
Qatar,2019,...,...,Import,No. Of Import partners,138
Qatar,2019,...,...,Import,No. Of Import products,3495
Qatar,2019,...,...,Export,No. Of Export partners,155
Qatar,2019,...,...,Export,No. Of Export products,74
Qatar,2019,...,...,Others,Population,2832067
Qatar,2019,...,...,Others,Ease of Doing Business Rank,77
Qatar,2019,...,...,Others,Trading Across Borders Rank,101
Qatar,2019,...,...,Others,CPIA Trade Ratings,
Qatar,2018,...,...,Others,LPI Rank,30
Qatar,2018,...,...,Others,LPI Score,3.47
Qatar,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0388586
Qatar,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0469342
Qatar,,...,...,Others,Services Trade Restrictions Index - Over All,60.1
Qatar,2019,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,18.6357
Qatar,2019,"Korea, Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,15.5887
Qatar,2019,China,All Products,Export,Partner share(%)-Top 5 Export Partner,12.3656
Qatar,2019,India,All Products,Export,Partner share(%)-Top 5 Export Partner,12.1637
Qatar,2019,Singapore,All Products,Export,Partner share(%)-Top 5 Export Partner,7.5701
Qatar,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,18.6541
Qatar,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,11.9452
Qatar,2019,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,7.142
Qatar,2019,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,6.6343
Qatar,2019,India,All Products,Import,Partner share(%)-Top 5 Import Partner,5.1556
Qatar,2019,World,Animal,Export,Export Product share(%),0.03
Qatar,2019,World,Vegetable,Export,Export Product share(%),0.0104
Qatar,2019,World,Food Products,Export,Export Product share(%),0.0033
Qatar,2019,World,Minerals,Export,Export Product share(%),0.316
Qatar,2019,World,Fuels,Export,Export Product share(%),85.8323
Qatar,2019,World,Chemicals,Export,Export Product share(%),4.1531
Qatar,2019,World,Plastic or Rubber,Export,Export Product share(%),3.3058
Qatar,2019,World,Hides and Skins,Export,Export Product share(%),0.0102
Qatar,2019,World,Wood,Export,Export Product share(%),0.0406
Qatar,2019,World,Textiles and Clothing,Export,Export Product share(%),0.0244
Qatar,2019,World,Footwear,Export,Export Product share(%),0.0121
Qatar,2019,World,Stone and Glass,Export,Export Product share(%),0.4664
Qatar,2019,World,Metals,Export,Export Product share(%),3.0768
Qatar,2019,World,Mach and Elec,Export,Export Product share(%),0.7882
Qatar,2019,World,Transportation,Export,Export Product share(%),1.3207
Qatar,2019,World,Miscellaneous,Export,Export Product share(%),0.6094
Qatar,2019,World,Raw materials,Export,Export Product share(%),17.4726
Qatar,2019,World,Intermediate goods,Export,Export Product share(%),0.2367
Qatar,2019,World,Consumer goods,Export,Export Product share(%),68.8251
Qatar,2019,World,Capital goods,Export,Export Product share(%),0.2879
Qatar,2019,World,Raw materials,Import,Import Product share(%),9.5523
Qatar,2019,World,Intermediate goods,Import,Import Product share(%),20.5344
Qatar,2019,World,Consumer goods,Import,Import Product share(%),31.2425
Qatar,2019,World,Capital goods,Import,Import Product share(%),31.4843
Qatar,2019,World,Raw materials,Tariff,Weighted Average (%),2.86066708604433
Qatar,2019,World,Intermediate goods,Tariff,Weighted Average (%),4.11729045296765
Qatar,2019,World,Consumer goods,Tariff,Weighted Average (%),4.60459512386184
Qatar,2019,World,Capital goods,Tariff,Weighted Average (%),2.53326164624556
Qatar,2019,World,All Products,Trade Indicator,World Growth (%),-1.13475826045476
Qatar,2019,World,All Products,Trade Indicator,Country Growth (%),-7.84739646864168
Qatar,2019,World,All Products,Tariff,Simple Average (%),4.12970776076726
