Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Russian Federation,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,57321.29577597
Russian Federation,2019,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,44787.95971211
Russian Federation,2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,28049.41807393
Russian Federation,2019,Belarus,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,21708.324443
Russian Federation,2019,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,21149.69274835
Russian Federation,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,54142.18476505
Russian Federation,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,25110.44150129
Russian Federation,2019,Belarus,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,13663.246677
Russian Federation,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,13429.00699897
Russian Federation,2019,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10908.17899129
Russian Federation,2019,World,Animal,Export,Export(US$ Mil),5140.05733959
Russian Federation,2019,World,Vegetable,Export,Export(US$ Mil),13531.64141296
Russian Federation,2019,World,Food Products,Export,Export(US$ Mil),6175.07753964
Russian Federation,2019,World,Minerals,Export,Export(US$ Mil),5281.78622634
Russian Federation,2019,World,Fuels,Export,Export(US$ Mil),221688.59711024
Russian Federation,2019,World,Chemicals,Export,Export(US$ Mil),19329.24400659
Russian Federation,2019,World,Plastic or Rubber,Export,Export(US$ Mil),6088.74531484
Russian Federation,2019,World,Hides and Skins,Export,Export(US$ Mil),204.30010298
Russian Federation,2019,World,Wood,Export,Export(US$ Mil),13035.69981992
Russian Federation,2019,World,Textiles and Clothing,Export,Export(US$ Mil),1091.10082406
Russian Federation,2019,World,Footwear,Export,Export(US$ Mil),300.1717324
Russian Federation,2019,World,Stone and Glass,Export,Export(US$ Mil),16922.38979739
Russian Federation,2019,World,Metals,Export,Export(US$ Mil),37569.19326855
Russian Federation,2019,World,Mach and Elec,Export,Export(US$ Mil),14627.25376127
Russian Federation,2019,World,Transportation,Export,Export(US$ Mil),7140.53709614
Russian Federation,2019,World,Miscellaneous,Export,Export(US$ Mil),58594.53730726
Russian Federation,2019,World,Raw materials,Export,Export(US$ Mil),164884.31103604
Russian Federation,2019,World,Intermediate goods,Export,Export(US$ Mil),88354.9108909001
Russian Federation,2019,World,Consumer goods,Export,Export(US$ Mil),97445.6130064499
Russian Federation,2019,World,Capital goods,Export,Export(US$ Mil),20392.7142993
Russian Federation,2019,World,Raw materials,Import,Import(US$ Mil),19587.44471053
Russian Federation,2019,World,Intermediate goods,Import,Import(US$ Mil),42795.10439886
Russian Federation,2019,World,Consumer goods,Import,Import(US$ Mil),84306.84732289
Russian Federation,2019,World,Capital goods,Import,Import(US$ Mil),96930.2101099901
Russian Federation,2019,World,All Products,Export,Exports (in US$ Mil),426720.33266017
Russian Federation,2019,World,All Products,Import,Imports (in US$ Mil),247161.34290021
Russian Federation,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),79195858.5234
Russian Federation,2019,...,...,Development,Trade Balance (current US$ Mil),128375
Russian Federation,2019,...,...,Development,GDP (current US$ Mil),1699880
Russian Federation,2019,...,...,Tariff,No. Of Tariff Agreement,8
Russian Federation,2019,...,...,Import,No. Of Import partners,224
Russian Federation,2019,...,...,Import,No. Of Import products,4426
Russian Federation,2019,...,...,Export,No. Of Export partners,198
Russian Federation,2019,...,...,Export,No. Of Export products,4385
Russian Federation,2019,...,...,Others,Population,144406261
Russian Federation,2019,...,...,Others,Ease of Doing Business Rank,28
Russian Federation,2019,...,...,Others,Trading Across Borders Rank,99
Russian Federation,2019,...,...,Others,CPIA Trade Ratings,
Russian Federation,2018,...,...,Others,LPI Rank,75
Russian Federation,2018,...,...,Others,LPI Score,2.76
Russian Federation,2013,...,...,Others,No Of NTM Affected Products (HS 6 Digit),55
Russian Federation,2013,...,...,Others,No Of NTM Measures,3
Russian Federation,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1515411
Russian Federation,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1555605
Russian Federation,,...,...,Others,Services Trade Restrictions Index - Over All,25.7
Russian Federation,2019,China,All Products,Export,Partner share(%)-Top 5 Export Partner,13.433
Russian Federation,2019,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,10.4959
Russian Federation,2019,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,6.5733
Russian Federation,2019,Belarus,All Products,Export,Partner share(%)-Top 5 Export Partner,5.0872
Russian Federation,2019,Turkey,All Products,Export,Partner share(%)-Top 5 Export Partner,4.9563
Russian Federation,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,21.9056
Russian Federation,2019,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,10.1595
Russian Federation,2019,Belarus,All Products,Import,Partner share(%)-Top 5 Import Partner,5.5281
Russian Federation,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,5.4333
Russian Federation,2019,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,4.4134
Russian Federation,2019,World,Animal,Export,Export Product share(%),1.2045
Russian Federation,2019,World,Vegetable,Export,Export Product share(%),3.1711
Russian Federation,2019,World,Food Products,Export,Export Product share(%),1.4471
Russian Federation,2019,World,Minerals,Export,Export Product share(%),1.2378
Russian Federation,2019,World,Fuels,Export,Export Product share(%),51.9517
Russian Federation,2019,World,Chemicals,Export,Export Product share(%),4.5297
Russian Federation,2019,World,Plastic or Rubber,Export,Export Product share(%),1.4269
Russian Federation,2019,World,Hides and Skins,Export,Export Product share(%),0.0479
Russian Federation,2019,World,Wood,Export,Export Product share(%),3.0549
Russian Federation,2019,World,Textiles and Clothing,Export,Export Product share(%),0.2557
Russian Federation,2019,World,Footwear,Export,Export Product share(%),0.0703
Russian Federation,2019,World,Stone and Glass,Export,Export Product share(%),3.9657
Russian Federation,2019,World,Metals,Export,Export Product share(%),8.8042
Russian Federation,2019,World,Mach and Elec,Export,Export Product share(%),3.4278
Russian Federation,2019,World,Transportation,Export,Export Product share(%),1.6734
Russian Federation,2019,World,Miscellaneous,Export,Export Product share(%),13.7314
Russian Federation,2019,World,Raw materials,Export,Export Product share(%),38.6399
Russian Federation,2019,World,Intermediate goods,Export,Export Product share(%),20.7056
Russian Federation,2019,World,Consumer goods,Export,Export Product share(%),22.8359
