Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Rwanda,2019,"Congo, Dem. Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,372.592284370332
Rwanda,2019,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,344.271781917949
Rwanda,2019,Uganda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,61.1954547058046
Rwanda,2019,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,53.7260068293663
Rwanda,2019,Pakistan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,39.1394469876403
Rwanda,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,635.331993245772
Rwanda,2019,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,280.532717907097
Rwanda,2019,Kenya,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,278.452506196242
Rwanda,2019,Tanzania,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,269.660810350685
Rwanda,2019,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,244.078376993624
Rwanda,2019,World,Animal,Export,Export(US$ Mil),17.0309493953404
Rwanda,2019,World,Vegetable,Export,Export(US$ Mil),301.808035821996
Rwanda,2019,World,Food Products,Export,Export(US$ Mil),116.059954723984
Rwanda,2019,World,Minerals,Export,Export(US$ Mil),117.265687943121
Rwanda,2019,World,Fuels,Export,Export(US$ Mil),150.133573530648
Rwanda,2019,World,Chemicals,Export,Export(US$ Mil),16.0726907889358
Rwanda,2019,World,Plastic or Rubber,Export,Export(US$ Mil),4.69192740901642
Rwanda,2019,World,Hides and Skins,Export,Export(US$ Mil),5.11554032916261
Rwanda,2019,World,Wood,Export,Export(US$ Mil),7.28025894449809
Rwanda,2019,World,Textiles and Clothing,Export,Export(US$ Mil),26.9000528052986
Rwanda,2019,World,Footwear,Export,Export(US$ Mil),5.31099269377121
Rwanda,2019,World,Stone and Glass,Export,Export(US$ Mil),318.287799217486
Rwanda,2019,World,Metals,Export,Export(US$ Mil),21.7953447928332
Rwanda,2019,World,Mach and Elec,Export,Export(US$ Mil),23.5325791589653
Rwanda,2019,World,Transportation,Export,Export(US$ Mil),19.250430795713
Rwanda,2019,World,Miscellaneous,Export,Export(US$ Mil),11.2147761921486
Rwanda,2019,World,Raw materials,Export,Export(US$ Mil),239.657782680602
Rwanda,2019,World,Intermediate goods,Export,Export(US$ Mil),413.639677754809
Rwanda,2019,World,Consumer goods,Export,Export(US$ Mil),478.592511981256
Rwanda,2019,World,Capital goods,Export,Export(US$ Mil),28.0094128531289
Rwanda,2019,World,Raw materials,Import,Import(US$ Mil),187.749343789451
Rwanda,2019,World,Intermediate goods,Import,Import(US$ Mil),874.829700225178
Rwanda,2019,World,Consumer goods,Import,Import(US$ Mil),1500.7738861094
Rwanda,2019,World,Capital goods,Import,Import(US$ Mil),620.521283624008
Rwanda,2019,World,All Products,Export,Exports (in US$ Mil),1161.75059454292
Rwanda,2019,World,All Products,Import,Imports (in US$ Mil),3195.16344220732
Rwanda,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1454874.07126003
Rwanda,2019,...,...,Development,Trade Balance (current US$ Mil),-1481.598259
Rwanda,2019,...,...,Development,GDP (current US$ Mil),10354.417725
Rwanda,2019,...,...,Tariff,No. Of Tariff Agreement,5
Rwanda,2019,...,...,Import,No. Of Import partners,159
Rwanda,2019,...,...,Import,No. Of Import products,3532
Rwanda,2019,...,...,Export,No. Of Export partners,112
Rwanda,2019,...,...,Export,No. Of Export products,2243
Rwanda,2019,...,...,Others,Population,12626950
Rwanda,2019,...,...,Others,Ease of Doing Business Rank,38
Rwanda,2019,...,...,Others,Trading Across Borders Rank,88
Rwanda,2019,...,...,Others,CPIA Trade Ratings,4.5
Rwanda,2018,...,...,Others,LPI Rank,57
Rwanda,2018,...,...,Others,LPI Score,2.97
Rwanda,2011,...,...,Others,No Of NTM Affected Products (HS 6 Digit),2239
Rwanda,2011,...,...,Others,No Of NTM Measures,36
Rwanda,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.108418
Rwanda,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1724588
Rwanda,,...,...,Others,Services Trade Restrictions Index - Over All,25
Rwanda,2019,"Congo, Dem. Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,32.0716
Rwanda,2019,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,29.6339
Rwanda,2019,Uganda,All Products,Export,Partner share(%)-Top 5 Export Partner,5.2675
Rwanda,2019,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,4.6246
Rwanda,2019,Pakistan,All Products,Export,Partner share(%)-Top 5 Export Partner,3.369
Rwanda,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,19.8842
Rwanda,2019,India,All Products,Import,Partner share(%)-Top 5 Import Partner,8.7799
Rwanda,2019,Kenya,All Products,Import,Partner share(%)-Top 5 Import Partner,8.7148
Rwanda,2019,Tanzania,All Products,Import,Partner share(%)-Top 5 Import Partner,8.4397
Rwanda,2019,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,7.639
Rwanda,2019,World,Animal,Export,Export Product share(%),1.466
Rwanda,2019,World,Vegetable,Export,Export Product share(%),25.9787
Rwanda,2019,World,Food Products,Export,Export Product share(%),9.9901
Rwanda,2019,World,Minerals,Export,Export Product share(%),10.0939
Rwanda,2019,World,Fuels,Export,Export Product share(%),12.923
Rwanda,2019,World,Chemicals,Export,Export Product share(%),1.3835
Rwanda,2019,World,Plastic or Rubber,Export,Export Product share(%),0.4039
Rwanda,2019,World,Hides and Skins,Export,Export Product share(%),0.4403
Rwanda,2019,World,Wood,Export,Export Product share(%),0.6267
Rwanda,2019,World,Textiles and Clothing,Export,Export Product share(%),2.3155
Rwanda,2019,World,Footwear,Export,Export Product share(%),0.4572
Rwanda,2019,World,Stone and Glass,Export,Export Product share(%),27.3973
Rwanda,2019,World,Metals,Export,Export Product share(%),1.8761
Rwanda,2019,World,Mach and Elec,Export,Export Product share(%),2.0256
Rwanda,2019,World,Transportation,Export,Export Product share(%),1.657
Rwanda,2019,World,Miscellaneous,Export,Export Product share(%),0.9653
Rwanda,2019,World,Raw materials,Export,Export Product share(%),20.629
Rwanda,2019,World,Intermediate goods,Export,Export Product share(%),35.6049
Rwanda,2019,World,Consumer goods,Export,Export Product share(%),41.1958
Rwanda,2019,World,Capital goods,Export,Export Product share(%),2.411
Rwanda,2019,World,Raw materials,Import,Import Product share(%),5.876
Rwanda,2019,World,Intermediate goods,Import,Import Product share(%),27.3798
Rwanda,2019,World,Consumer goods,Import,Import Product share(%),46.9702
Rwanda,2019,World,Capital goods,Import,Import Product share(%),19.4206
Rwanda,2019,World,Raw materials,Tariff,Weighted Average (%),1.75583358375815
Rwanda,2019,World,Intermediate goods,Tariff,Weighted Average (%),10.8978989997508
Rwanda,2019,World,Consumer goods,Tariff,Weighted Average (%),13.2023097727911
Rwanda,2019,World,Capital goods,Tariff,Weighted Average (%),3.36664292211826
Rwanda,2019,World,All Products,Trade Indicator,World Growth (%),-1.13475826045476
Rwanda,2019,World,All Products,Trade Indicator,Country Growth (%),-12.134354637268
Rwanda,2019,World,All Products,Tariff,Simple Average (%),11.6350179943864
Rwanda,2019,World,All Products,Tariff,Weighted Average (%),9.55489186445086
Rwanda,2019,World,All Products,Tariff,Maximum Rate (%),100
Rwanda,2019,World,All Products,Tariff,Duty Free Tariff Lines Share (%),41.7403127124405
Rwanda,2019,...,...,Trade Indicator,Index of export market penetration,1.50534698077233
Rwanda,2019,...,...,Trade Indicator,HH Market concentration index,0.377616433873395
Rwanda,2019,...,...,Development,Trade Balance (% of GDP),-14.30885154
Rwanda,2019,...,...,Development,Trade in services (% of GDP),19.77308767
Rwanda,2019,...,...,Development,Trade (% of GDP),57.94717872
