Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Saudi Arabia,2019,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,202427.74443187
Saudi Arabia,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9339.87777507001
Saudi Arabia,2019,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4376.21012457
Saudi Arabia,2019,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3773.44644675
Saudi Arabia,2019,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3413.54728365
Saudi Arabia,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,27066.62007991
Saudi Arabia,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,17097.55236425
Saudi Arabia,2019,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10364.16911498
Saudi Arabia,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7003.81267499999
Saudi Arabia,2019,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6545.79310424
Saudi Arabia,2019,World,Animal,Export,Export(US$ Mil),1434.82651409
Saudi Arabia,2019,World,Vegetable,Export,Export(US$ Mil),564.59675177
Saudi Arabia,2019,World,Food Products,Export,Export(US$ Mil),1486.4586463
Saudi Arabia,2019,World,Minerals,Export,Export(US$ Mil),779.60715763
Saudi Arabia,2019,World,Fuels,Export,Export(US$ Mil),202377.26482401
Saudi Arabia,2019,World,Chemicals,Export,Export(US$ Mil),17901.32103432
Saudi Arabia,2019,World,Plastic or Rubber,Export,Export(US$ Mil),19244.6743039
Saudi Arabia,2019,World,Hides and Skins,Export,Export(US$ Mil),62.59972599
Saudi Arabia,2019,World,Wood,Export,Export(US$ Mil),902.40243472
Saudi Arabia,2019,World,Textiles and Clothing,Export,Export(US$ Mil),380.61241484
Saudi Arabia,2019,World,Footwear,Export,Export(US$ Mil),1.75698956
Saudi Arabia,2019,World,Stone and Glass,Export,Export(US$ Mil),1200.68696437
Saudi Arabia,2019,World,Metals,Export,Export(US$ Mil),4246.08840817
Saudi Arabia,2019,World,Mach and Elec,Export,Export(US$ Mil),1025.82892571
Saudi Arabia,2019,World,Transportation,Export,Export(US$ Mil),108.11426952
Saudi Arabia,2019,World,Miscellaneous,Export,Export(US$ Mil),83.17763495
Saudi Arabia,2019,World,Raw materials,Export,Export(US$ Mil),2085.87506961
Saudi Arabia,2019,World,Intermediate goods,Export,Export(US$ Mil),40916.46347259
Saudi Arabia,2019,World,Consumer goods,Export,Export(US$ Mil),5641.17127354
Saudi Arabia,2019,World,Capital goods,Export,Export(US$ Mil),774.28040473
Saudi Arabia,2019,World,Raw materials,Import,Import(US$ Mil),8885.92311184999
Saudi Arabia,2019,World,Intermediate goods,Import,Import(US$ Mil),28978.1552138399
Saudi Arabia,2019,World,Consumer goods,Import,Import(US$ Mil),55000.09035434
Saudi Arabia,2019,World,Capital goods,Import,Import(US$ Mil),42828.7895044
Saudi Arabia,2019,World,All Products,Export,Exports (in US$ Mil),251800.01699985
Saudi Arabia,2019,World,All Products,Import,Imports (in US$ Mil),144334.46785372
Saudi Arabia,2017,World,All Products,Tariff,Duty Free Imports (US$ Thousand),25077428.4934717
Saudi Arabia,2019,...,...,Development,Trade Balance (current US$ Mil),66919
Saudi Arabia,2019,...,...,Development,GDP (current US$ Mil),792967
Saudi Arabia,2017,...,...,Tariff,No. Of Tariff Agreement,5
Saudi Arabia,2019,...,...,Import,No. Of Import partners,215
Saudi Arabia,2019,...,...,Import,No. Of Import products,4223
Saudi Arabia,2019,...,...,Export,No. Of Export partners,170
Saudi Arabia,2019,...,...,Export,No. Of Export products,1791
Saudi Arabia,2019,...,...,Others,Population,34268528
Saudi Arabia,2019,...,...,Others,Ease of Doing Business Rank,62
Saudi Arabia,2019,...,...,Others,Trading Across Borders Rank,86
Saudi Arabia,2019,...,...,Others,CPIA Trade Ratings,
Saudi Arabia,2018,...,...,Others,LPI Rank,55
Saudi Arabia,2018,...,...,Others,LPI Score,3.01
Saudi Arabia,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0143849
Saudi Arabia,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0155503
Saudi Arabia,,...,...,Others,Services Trade Restrictions Index - Over All,42.5
Saudi Arabia,2019,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,80.3923
Saudi Arabia,2019,China,All Products,Export,Partner share(%)-Top 5 Export Partner,3.7092
Saudi Arabia,2019,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,1.738
Saudi Arabia,2019,India,All Products,Export,Partner share(%)-Top 5 Export Partner,1.4986
Saudi Arabia,2019,Singapore,All Products,Export,Partner share(%)-Top 5 Export Partner,1.3557
Saudi Arabia,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,18.7527
Saudi Arabia,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,11.8458
Saudi Arabia,2019,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,7.1807
Saudi Arabia,2019,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,4.8525
Saudi Arabia,2019,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,4.5352
Saudi Arabia,2019,World,Animal,Export,Export Product share(%),0.5698
Saudi Arabia,2019,World,Vegetable,Export,Export Product share(%),0.2242
Saudi Arabia,2019,World,Food Products,Export,Export Product share(%),0.5903
Saudi Arabia,2019,World,Minerals,Export,Export Product share(%),0.3096
Saudi Arabia,2019,World,Fuels,Export,Export Product share(%),80.3722
Saudi Arabia,2019,World,Chemicals,Export,Export Product share(%),7.1093
Saudi Arabia,2019,World,Plastic or Rubber,Export,Export Product share(%),7.6428
Saudi Arabia,2019,World,Hides and Skins,Export,Export Product share(%),0.0249
Saudi Arabia,2019,World,Wood,Export,Export Product share(%),0.3584
Saudi Arabia,2019,World,Textiles and Clothing,Export,Export Product share(%),0.1512
Saudi Arabia,2019,World,Footwear,Export,Export Product share(%),0.0007
Saudi Arabia,2019,World,Stone and Glass,Export,Export Product share(%),0.4768
Saudi Arabia,2019,World,Metals,Export,Export Product share(%),1.6863
Saudi Arabia,2019,World,Mach and Elec,Export,Export Product share(%),0.4074
Saudi Arabia,2019,World,Transportation,Export,Export Product share(%),0.0429
Saudi Arabia,2019,World,Miscellaneous,Export,Export Product share(%),0.033
Saudi Arabia,2019,World,Raw materials,Export,Export Product share(%),0.8284
Saudi Arabia,2019,World,Intermediate goods,Export,Export Product share(%),16.2496
Saudi Arabia,2019,World,Consumer goods,Export,Export Product share(%),2.2403
