Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Senegal,2019,Mali,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,959.120118513477
Senegal,2019,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,612.937206485404
Senegal,2019,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,361.56978772774
Senegal,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,276.225209909252
Senegal,2019,Bunkers,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,187.729345111757
Senegal,2019,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1366.49592176584
Senegal,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,870.572395124719
Senegal,2019,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,563.102007858975
Senegal,2019,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,550.633826098591
Senegal,2019,Nigeria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,418.873296157356
Senegal,2019,World,Animal,Export,Export(US$ Mil),496.853626861166
Senegal,2019,World,Vegetable,Export,Export(US$ Mil),508.235163353314
Senegal,2019,World,Food Products,Export,Export(US$ Mil),366.750780416173
Senegal,2019,World,Minerals,Export,Export(US$ Mil),390.560201205724
Senegal,2019,World,Fuels,Export,Export(US$ Mil),831.091747266451
Senegal,2019,World,Chemicals,Export,Export(US$ Mil),518.576799800715
Senegal,2019,World,Plastic or Rubber,Export,Export(US$ Mil),38.9457427458936
Senegal,2019,World,Hides and Skins,Export,Export(US$ Mil),6.7776407975014
Senegal,2019,World,Wood,Export,Export(US$ Mil),26.1546605877806
Senegal,2019,World,Textiles and Clothing,Export,Export(US$ Mil),47.5999242503984
Senegal,2019,World,Footwear,Export,Export(US$ Mil),41.6323869381988
Senegal,2019,World,Stone and Glass,Export,Export(US$ Mil),644.576525777445
Senegal,2019,World,Metals,Export,Export(US$ Mil),134.748224048654
Senegal,2019,World,Mach and Elec,Export,Export(US$ Mil),58.1219998668566
Senegal,2019,World,Transportation,Export,Export(US$ Mil),49.1178518369504
Senegal,2019,World,Miscellaneous,Export,Export(US$ Mil),14.7588659282174
Senegal,2019,World,Raw materials,Export,Export(US$ Mil),1015.32086179018
Senegal,2019,World,Intermediate goods,Export,Export(US$ Mil),1607.52298611445
Senegal,2019,World,Consumer goods,Export,Export(US$ Mil),1421.66860136242
Senegal,2019,World,Capital goods,Export,Export(US$ Mil),91.0670042506724
Senegal,2019,World,Raw materials,Import,Import(US$ Mil),1076.61388703584
Senegal,2019,World,Intermediate goods,Import,Import(US$ Mil),1487.43934565722
Senegal,2019,World,Consumer goods,Import,Import(US$ Mil),3731.60955987019
Senegal,2019,World,Capital goods,Import,Import(US$ Mil),1792.11616999435
Senegal,2019,World,All Products,Export,Exports (in US$ Mil),4174.50214168144
Senegal,2019,World,All Products,Import,Imports (in US$ Mil),8143.11346783799
Senegal,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1036301.32388401
Senegal,2019,...,...,Development,Trade Balance (current US$ Mil),-3518.121368
Senegal,2019,...,...,Development,GDP (current US$ Mil),23578.084052
Senegal,2019,...,...,Tariff,No. Of Tariff Agreement,2
Senegal,2019,...,...,Import,No. Of Import partners,160
Senegal,2019,...,...,Import,No. Of Import products,3661
