Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
"Serbia, FR(Serbia/Montenegro)",2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2477.478938
"Serbia, FR(Serbia/Montenegro)",2019,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1982.739477
"Serbia, FR(Serbia/Montenegro)",2019,Bosnia and Herzegovina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1513.855439
"Serbia, FR(Serbia/Montenegro)",2019,Romania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1149.495569
"Serbia, FR(Serbia/Montenegro)",2019,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,977.178781
"Serbia, FR(Serbia/Montenegro)",2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3447.974742
"Serbia, FR(Serbia/Montenegro)",2019,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2583.94967
"Serbia, FR(Serbia/Montenegro)",2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2507.661595
"Serbia, FR(Serbia/Montenegro)",2019,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2322.593049
"Serbia, FR(Serbia/Montenegro)",2019,Hungary,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1142.060305
"Serbia, FR(Serbia/Montenegro)",2019,World,Animal,Export,Export(US$ Mil),210.847876
"Serbia, FR(Serbia/Montenegro)",2019,World,Vegetable,Export,Export(US$ Mil),1915.78933
"Serbia, FR(Serbia/Montenegro)",2019,World,Food Products,Export,Export(US$ Mil),1510.500243
"Serbia, FR(Serbia/Montenegro)",2019,World,Minerals,Export,Export(US$ Mil),97.428391
"Serbia, FR(Serbia/Montenegro)",2019,World,Fuels,Export,Export(US$ Mil),524.654678
"Serbia, FR(Serbia/Montenegro)",2019,World,Chemicals,Export,Export(US$ Mil),1213.295847
"Serbia, FR(Serbia/Montenegro)",2019,World,Plastic or Rubber,Export,Export(US$ Mil),1918.286546
"Serbia, FR(Serbia/Montenegro)",2019,World,Hides and Skins,Export,Export(US$ Mil),188.658112
"Serbia, FR(Serbia/Montenegro)",2019,World,Wood,Export,Export(US$ Mil),901.016078
"Serbia, FR(Serbia/Montenegro)",2019,World,Textiles and Clothing,Export,Export(US$ Mil),927.546065
"Serbia, FR(Serbia/Montenegro)",2019,World,Footwear,Export,Export(US$ Mil),337.359849
"Serbia, FR(Serbia/Montenegro)",2019,World,Stone and Glass,Export,Export(US$ Mil),292.265769
"Serbia, FR(Serbia/Montenegro)",2019,World,Metals,Export,Export(US$ Mil),2635.311331
"Serbia, FR(Serbia/Montenegro)",2019,World,Mach and Elec,Export,Export(US$ Mil),4460.664106
"Serbia, FR(Serbia/Montenegro)",2019,World,Transportation,Export,Export(US$ Mil),1137.07096
"Serbia, FR(Serbia/Montenegro)",2019,World,Miscellaneous,Export,Export(US$ Mil),1362.353337
"Serbia, FR(Serbia/Montenegro)",2019,World,Raw materials,Export,Export(US$ Mil),2018.54836
"Serbia, FR(Serbia/Montenegro)",2019,World,Intermediate goods,Export,Export(US$ Mil),4587.21808999999
"Serbia, FR(Serbia/Montenegro)",2019,World,Consumer goods,Export,Export(US$ Mil),9205.09514499999
"Serbia, FR(Serbia/Montenegro)",2019,World,Capital goods,Export,Export(US$ Mil),3488.760312
"Serbia, FR(Serbia/Montenegro)",2019,World,Raw materials,Import,Import(US$ Mil),2973.740059
"Serbia, FR(Serbia/Montenegro)",2019,World,Intermediate goods,Import,Import(US$ Mil),6684.18820699999
"Serbia, FR(Serbia/Montenegro)",2019,World,Consumer goods,Import,Import(US$ Mil),8204.000184
"Serbia, FR(Serbia/Montenegro)",2019,World,Capital goods,Import,Import(US$ Mil),5970.128254
"Serbia, FR(Serbia/Montenegro)",2019,World,All Products,Export,Exports (in US$ Mil),19633.048518
"Serbia, FR(Serbia/Montenegro)",2019,World,All Products,Import,Imports (in US$ Mil),26730.093636
"Serbia, FR(Serbia/Montenegro)",2018,World,All Products,Tariff,Duty Free Imports (US$ Thousand),16209551.833
"Serbia, FR(Serbia/Montenegro)",2019,...,...,Development,Trade Balance (current US$ Mil),-5138.489837
"Serbia, FR(Serbia/Montenegro)",2019,...,...,Development,GDP (current US$ Mil),51475.016532
"Serbia, FR(Serbia/Montenegro)",2018,...,...,Tariff,No. Of Tariff Agreement,16
"Serbia, FR(Serbia/Montenegro)",2019,...,...,Import,No. Of Import partners,203
"Serbia, FR(Serbia/Montenegro)",2019,...,...,Import,No. Of Import products,4313
"Serbia, FR(Serbia/Montenegro)",2019,...,...,Export,No. Of Export partners,174
"Serbia, FR(Serbia/Montenegro)",2019,...,...,Export,No. Of Export products,3861
"Serbia, FR(Serbia/Montenegro)",2019,...,...,Others,Population,6945235
"Serbia, FR(Serbia/Montenegro)",2019,...,...,Others,Ease of Doing Business Rank,44
"Serbia, FR(Serbia/Montenegro)",2019,...,...,Others,Trading Across Borders Rank,23
"Serbia, FR(Serbia/Montenegro)",2019,...,...,Others,CPIA Trade Ratings,
"Serbia, FR(Serbia/Montenegro)",2018,...,...,Others,LPI Rank,65
"Serbia, FR(Serbia/Montenegro)",2018,...,...,Others,LPI Score,2.84
"Serbia, FR(Serbia/Montenegro)",2019,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,12.6189
"Serbia, FR(Serbia/Montenegro)",2019,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,10.099
"Serbia, FR(Serbia/Montenegro)",2019,Bosnia and Herzegovina,All Products,Export,Partner share(%)-Top 5 Export Partner,7.7108
"Serbia, FR(Serbia/Montenegro)",2019,Romania,All Products,Export,Partner share(%)-Top 5 Export Partner,5.8549
"Serbia, FR(Serbia/Montenegro)",2019,Russian Federation,All Products,Export,Partner share(%)-Top 5 Export Partner,4.9772
"Serbia, FR(Serbia/Montenegro)",2019,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,12.8992
"Serbia, FR(Serbia/Montenegro)",2019,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,9.6668
"Serbia, FR(Serbia/Montenegro)",2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,9.3814
"Serbia, FR(Serbia/Montenegro)",2019,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,8.6891
"Serbia, FR(Serbia/Montenegro)",2019,Hungary,All Products,Import,Partner share(%)-Top 5 Import Partner,4.2726
"Serbia, FR(Serbia/Montenegro)",2019,World,Animal,Export,Export Product share(%),1.0739
"Serbia, FR(Serbia/Montenegro)",2019,World,Vegetable,Export,Export Product share(%),9.758
"Serbia, FR(Serbia/Montenegro)",2019,World,Food Products,Export,Export Product share(%),7.6937
"Serbia, FR(Serbia/Montenegro)",2019,World,Minerals,Export,Export Product share(%),0.4962
"Serbia, FR(Serbia/Montenegro)",2019,World,Fuels,Export,Export Product share(%),2.6723
"Serbia, FR(Serbia/Montenegro)",2019,World,Chemicals,Export,Export Product share(%),6.1799
