Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Singapore,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,51619.1733490912
Singapore,2019,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,44377.3625265649
Singapore,2019,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,41152.4160952049
Singapore,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,34401.0768008164
Singapore,2019,Indonesia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,27359.0518863482
Singapore,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,49032.8349949419
Singapore,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,43939.381117209
Singapore,2019,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,41689.7178889164
Singapore,2019,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,32376.3777366716
Singapore,2019,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,19371.8889829131
Singapore,2019,World,Animal,Export,Export(US$ Mil),582.711570890967
Singapore,2019,World,Vegetable,Export,Export(US$ Mil),826.002767630301
Singapore,2019,World,Food Products,Export,Export(US$ Mil),12469.8640837581
Singapore,2019,World,Minerals,Export,Export(US$ Mil),129.703320224366
Singapore,2019,World,Fuels,Export,Export(US$ Mil),47874.5249552502
Singapore,2019,World,Chemicals,Export,Export(US$ Mil),40609.0399489172
Singapore,2019,World,Plastic or Rubber,Export,Export(US$ Mil),16565.3300059808
Singapore,2019,World,Hides and Skins,Export,Export(US$ Mil),1861.06639916106
Singapore,2019,World,Wood,Export,Export(US$ Mil),2916.23423447672
Singapore,2019,World,Textiles and Clothing,Export,Export(US$ Mil),2013.03961032647
Singapore,2019,World,Footwear,Export,Export(US$ Mil),612.361858397012
Singapore,2019,World,Stone and Glass,Export,Export(US$ Mil),18247.9606801041
Singapore,2019,World,Metals,Export,Export(US$ Mil),7634.78755115908
Singapore,2019,World,Mach and Elec,Export,Export(US$ Mil),175658.736716011
Singapore,2019,World,Transportation,Export,Export(US$ Mil),12397.292640967
Singapore,2019,World,Miscellaneous,Export,Export(US$ Mil),49933.1010311592
Singapore,2019,World,Raw materials,Export,Export(US$ Mil),3675.28223673766
Singapore,2019,World,Intermediate goods,Export,Export(US$ Mil),70780.4104258956
Singapore,2019,World,Consumer goods,Export,Export(US$ Mil),99419.9216274722
Singapore,2019,World,Capital goods,Export,Export(US$ Mil),194885.525587647
Singapore,2019,World,Raw materials,Import,Import(US$ Mil),32971.1488240711
Singapore,2019,World,Intermediate goods,Import,Import(US$ Mil),53787.9411526195
Singapore,2019,World,Consumer goods,Import,Import(US$ Mil),98027.8363561119
Singapore,2019,World,Capital goods,Import,Import(US$ Mil),169796.733306401
Singapore,2019,World,All Products,Export,Exports (in US$ Mil),390331.757374414
Singapore,2019,World,All Products,Import,Imports (in US$ Mil),358974.63721911
Singapore,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),305214884.3114
Singapore,2019,...,...,Development,Trade Balance (current US$ Mil),103754
Singapore,2019,...,...,Development,GDP (current US$ Mil),372063
