Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
El Salvador,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2509.79798634
El Salvador,2019,Guatemala,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,948.25537606
El Salvador,2019,Honduras,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,945.688418709999
El Salvador,2019,Nicaragua,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,396.991906119999
El Salvador,2019,Costa Rica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,267.31921587
El Salvador,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3654.86972648
El Salvador,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1723.77374471
El Salvador,2019,Guatemala,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1273.09889895
El Salvador,2019,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,952.377154340001
El Salvador,2019,Honduras,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,826.92390051
El Salvador,2019,World,Animal,Export,Export(US$ Mil),61.35078853
El Salvador,2019,World,Vegetable,Export,Export(US$ Mil),248.60047203
El Salvador,2019,World,Food Products,Export,Export(US$ Mil),850.5297292
El Salvador,2019,World,Minerals,Export,Export(US$ Mil),6.40164932
El Salvador,2019,World,Fuels,Export,Export(US$ Mil),200.51561821
El Salvador,2019,World,Chemicals,Export,Export(US$ Mil),353.27987296
El Salvador,2019,World,Plastic or Rubber,Export,Export(US$ Mil),405.19673914
El Salvador,2019,World,Hides and Skins,Export,Export(US$ Mil),10.26243778
El Salvador,2019,World,Wood,Export,Export(US$ Mil),366.95572084
El Salvador,2019,World,Textiles and Clothing,Export,Export(US$ Mil),2612.4709012
El Salvador,2019,World,Footwear,Export,Export(US$ Mil),31.57741018
El Salvador,2019,World,Stone and Glass,Export,Export(US$ Mil),68.22757625
El Salvador,2019,World,Metals,Export,Export(US$ Mil),287.53309375
El Salvador,2019,World,Mach and Elec,Export,Export(US$ Mil),327.81010215
El Salvador,2019,World,Transportation,Export,Export(US$ Mil),12.32811065
El Salvador,2019,World,Miscellaneous,Export,Export(US$ Mil),100.27625249
El Salvador,2019,World,Raw materials,Export,Export(US$ Mil),239.11163334
El Salvador,2019,World,Intermediate goods,Export,Export(US$ Mil),1086.79921383
El Salvador,2019,World,Consumer goods,Export,Export(US$ Mil),4385.39500699
El Salvador,2019,World,Capital goods,Export,Export(US$ Mil),231.2915071
El Salvador,2019,World,Raw materials,Import,Import(US$ Mil),947.011244290001
El Salvador,2019,World,Intermediate goods,Import,Import(US$ Mil),3372.66977588001
El Salvador,2019,World,Consumer goods,Import,Import(US$ Mil),5804.00544935001
El Salvador,2019,World,Capital goods,Import,Import(US$ Mil),1872.95187695
El Salvador,2019,World,All Products,Export,Exports (in US$ Mil),5943.31647468
El Salvador,2019,World,All Products,Import,Imports (in US$ Mil),12017.55934467
El Salvador,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),7984316.22448
El Salvador,2019,...,...,Development,Trade Balance (current US$ Mil),-4889.89
El Salvador,2019,...,...,Development,GDP (current US$ Mil),27022.64
El Salvador,2019,...,...,Tariff,No. Of Tariff Agreement,16
El Salvador,2019,...,...,Import,No. Of Import partners,178
El Salvador,2019,...,...,Import,No. Of Import products,3946
El Salvador,2019,...,...,Export,No. Of Export partners,125
El Salvador,2019,...,...,Export,No. Of Export products,2548
El Salvador,2019,...,...,Others,Population,6453553
El Salvador,2019,...,...,Others,Ease of Doing Business Rank,91
El Salvador,2019,...,...,Others,Trading Across Borders Rank,46
El Salvador,2019,...,...,Others,CPIA Trade Ratings,
El Salvador,2018,...,...,Others,LPI Rank,101
El Salvador,2018,...,...,Others,LPI Score,2.58
El Salvador,2014,...,...,Others,No Of NTM Affected Products (HS 6 Digit),1910
El Salvador,2014,...,...,Others,No Of NTM Measures,27
El Salvador,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0630973
El Salvador,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1043782
El Salvador,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,42.2289
El Salvador,2019,Guatemala,All Products,Export,Partner share(%)-Top 5 Export Partner,15.955
El Salvador,2019,Honduras,All Products,Export,Partner share(%)-Top 5 Export Partner,15.9118
El Salvador,2019,Nicaragua,All Products,Export,Partner share(%)-Top 5 Export Partner,6.6796
El Salvador,2019,Costa Rica,All Products,Export,Partner share(%)-Top 5 Export Partner,4.4978
El Salvador,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,30.4127
El Salvador,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,14.3438
El Salvador,2019,Guatemala,All Products,Import,Partner share(%)-Top 5 Import Partner,10.5937
El Salvador,2019,Mexico,All Products,Import,Partner share(%)-Top 5 Import Partner,7.9249
El Salvador,2019,Honduras,All Products,Import,Partner share(%)-Top 5 Import Partner,6.881
El Salvador,2019,World,Animal,Export,Export Product share(%),1.0323
El Salvador,2019,World,Vegetable,Export,Export Product share(%),4.1829
El Salvador,2019,World,Food Products,Export,Export Product share(%),14.3107
El Salvador,2019,World,Minerals,Export,Export Product share(%),0.1077
El Salvador,2019,World,Fuels,Export,Export Product share(%),3.3738
El Salvador,2019,World,Chemicals,Export,Export Product share(%),5.9442
El Salvador,2019,World,Plastic or Rubber,Export,Export Product share(%),6.8177
El Salvador,2019,World,Hides and Skins,Export,Export Product share(%),0.1727
El Salvador,2019,World,Wood,Export,Export Product share(%),6.1743
El Salvador,2019,World,Textiles and Clothing,Export,Export Product share(%),43.9564
El Salvador,2019,World,Footwear,Export,Export Product share(%),0.5313
El Salvador,2019,World,Stone and Glass,Export,Export Product share(%),1.148
El Salvador,2019,World,Metals,Export,Export Product share(%),4.8379
El Salvador,2019,World,Mach and Elec,Export,Export Product share(%),5.5156
El Salvador,2019,World,Transportation,Export,Export Product share(%),0.2074
El Salvador,2019,World,Miscellaneous,Export,Export Product share(%),1.6872
El Salvador,2019,World,Raw materials,Export,Export Product share(%),4.0232
El Salvador,2019,World,Intermediate goods,Export,Export Product share(%),18.2861
El Salvador,2019,World,Consumer goods,Export,Export Product share(%),73.787
El Salvador,2019,World,Capital goods,Export,Export Product share(%),3.8916
El Salvador,2019,World,Raw materials,Import,Import Product share(%),7.8802
El Salvador,2019,World,Intermediate goods,Import,Import Product share(%),28.0645
El Salvador,2019,World,Consumer goods,Import,Import Product share(%),48.296
El Salvador,2019,World,Capital goods,Import,Import Product share(%),15.5851
El Salvador,2019,World,Raw materials,Tariff,Weighted Average (%),2.86567516812182
El Salvador,2019,World,Intermediate goods,Tariff,Weighted Average (%),1.17281999259356
El Salvador,2019,World,Consumer goods,Tariff,Weighted Average (%),2.97149620149194
El Salvador,2019,World,Capital goods,Tariff,Weighted Average (%),0.969314073513863
El Salvador,2019,World,All Products,Trade Indicator,World Growth (%),-1.13475826045476
El Salvador,2019,World,All Products,Trade Indicator,Country Growth (%),15.0048769047529
El Salvador,2019,World,All Products,Tariff,Simple Average (%),3.36855230374867
El Salvador,2019,World,All Products,Tariff,Weighted Average (%),2.04078235167969
El Salvador,2019,World,All Products,Tariff,Maximum Rate (%),164
El Salvador,2019,World,All Products,Tariff,Duty Free Tariff Lines Share (%),63.4594001571511
El Salvador,2019,...,...,Trade Indicator,Index of export market penetration,2.8505733408175
El Salvador,2019,...,...,Trade Indicator,HH Market concentration index,0.25117711917196
El Salvador,2019,...,...,Development,Trade Balance (% of GDP),-18.09553027
El Salvador,2019,...,...,Development,Trade in services (% of GDP),19.2510905
El Salvador,2019,...,...,Development,Trade (% of GDP),77.17887668
El Salvador,2019,...,...,Development,"GNI per capita, Atlas method (current US$)",4000
