Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,25987.2761263142
,2019,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,18493.5039739593
,2019,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14765.2582499934
,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12460.224918631
,2019,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11338.0401609492
,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,45548.2362353194
,2019,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,17302.7416979804
,2019,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,17086.5251590267
,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,16406.5369309676
,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12397.3273489099
,2019,World,Animal,Export,Export(US$ Mil),4190.47913132319
,2019,World,Vegetable,Export,Export(US$ Mil),13204.7552107807
,2019,World,Food Products,Export,Export(US$ Mil),17568.9697970544
,2019,World,Minerals,Export,Export(US$ Mil),19850.9058642028
,2019,World,Fuels,Export,Export(US$ Mil),69893.299834462
,2019,World,Chemicals,Export,Export(US$ Mil),12872.0897524733
,2019,World,Plastic or Rubber,Export,Export(US$ Mil),3782.24816469673
,2019,World,Hides and Skins,Export,Export(US$ Mil),443.8314425242
,2019,World,Wood,Export,Export(US$ Mil),3149.12993225203
,2019,World,Textiles and Clothing,Export,Export(US$ Mil),4853.51494864444
,2019,World,Footwear,Export,Export(US$ Mil),531.087349538785
,2019,World,Stone and Glass,Export,Export(US$ Mil),34738.6833670912
,2019,World,Metals,Export,Export(US$ Mil),28960.164702053
,2019,World,Mach and Elec,Export,Export(US$ Mil),8434.05506662034
,2019,World,Transportation,Export,Export(US$ Mil),17020.4302494582
,2019,World,Miscellaneous,Export,Export(US$ Mil),1867.88775332192
,2019,World,Raw materials,Export,Export(US$ Mil),105328.181793472
,2019,World,Intermediate goods,Export,Export(US$ Mil),78307.6313585707
