Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Sao Tome and Principe,2019,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8.93767411393171
Sao Tome and Principe,2019,Portugal,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.17377609483512
Sao Tome and Principe,2019,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.166834226384064
Sao Tome and Principe,2019,Slovenia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.161944838150256
Sao Tome and Principe,2019,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.132988408131312
Sao Tome and Principe,2019,Portugal,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,72.2690613443488
Sao Tome and Principe,2019,Angola,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,29.0465160250134
Sao Tome and Principe,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8.97919230959035
Sao Tome and Principe,2019,Nigeria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6.77085437187634
Sao Tome and Principe,2019,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5.25015762293592
Sao Tome and Principe,2019,World,Animal,Export,Export(US$ Mil),0.004896059548464
Sao Tome and Principe,2019,World,Vegetable,Export,Export(US$ Mil),1.28148725761085
Sao Tome and Principe,2019,World,Food Products,Export,Export(US$ Mil),7.36793059074336
Sao Tome and Principe,2019,World,Minerals,Export,Export(US$ Mil),
Sao Tome and Principe,2019,World,Fuels,Export,Export(US$ Mil),
Sao Tome and Principe,2019,World,Chemicals,Export,Export(US$ Mil),0.005256995948928
Sao Tome and Principe,2019,World,Plastic or Rubber,Export,Export(US$ Mil),0.007718025647952
Sao Tome and Principe,2019,World,Hides and Skins,Export,Export(US$ Mil),0.000924753876768
Sao Tome and Principe,2019,World,Wood,Export,Export(US$ Mil),0.204433253151984
Sao Tome and Principe,2019,World,Textiles and Clothing,Export,Export(US$ Mil),0.022478309324352
Sao Tome and Principe,2019,World,Footwear,Export,Export(US$ Mil),0.001567164922992
Sao Tome and Principe,2019,World,Stone and Glass,Export,Export(US$ Mil),0.017733907949472
Sao Tome and Principe,2019,World,Metals,Export,Export(US$ Mil),0.10516367982528
Sao Tome and Principe,2019,World,Mach and Elec,Export,Export(US$ Mil),0.075952277643456
Sao Tome and Principe,2019,World,Transportation,Export,Export(US$ Mil),0.564019397807184
Sao Tome and Principe,2019,World,Miscellaneous,Export,Export(US$ Mil),0.199327275661536
Sao Tome and Principe,2019,World,Raw materials,Export,Export(US$ Mil),7.23429227776032
Sao Tome and Principe,2019,World,Intermediate goods,Export,Export(US$ Mil),0.725754455097264
Sao Tome and Principe,2019,World,Consumer goods,Export,Export(US$ Mil),1.2359855559996
Sao Tome and Principe,2019,World,Capital goods,Export,Export(US$ Mil),0.662856660805392
Sao Tome and Principe,2019,World,Raw materials,Import,Import(US$ Mil),6.78359411585369
Sao Tome and Principe,2019,World,Intermediate goods,Import,Import(US$ Mil),20.5245712440093
Sao Tome and Principe,2019,World,Consumer goods,Import,Import(US$ Mil),98.8046356412014
Sao Tome and Principe,2019,World,Capital goods,Import,Import(US$ Mil),20.6148180822238
Sao Tome and Principe,2019,World,All Products,Export,Exports (in US$ Mil),9.85888894966258
Sao Tome and Principe,2019,World,All Products,Import,Imports (in US$ Mil),147.666945395962
Sao Tome and Principe,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),3402.78283625951
Sao Tome and Principe,2019,...,...,Development,Trade Balance (current US$ Mil),
Sao Tome and Principe,2019,...,...,Development,GDP (current US$ Mil),418.637389
Sao Tome and Principe,2019,...,...,Tariff,No. Of Tariff Agreement,1
Sao Tome and Principe,2019,...,...,Import,No. Of Import partners,70
Sao Tome and Principe,2019,...,...,Import,No. Of Import products,2567
Sao Tome and Principe,2019,...,...,Export,No. Of Export partners,16
Sao Tome and Principe,2019,...,...,Export,No. Of Export products,218
Sao Tome and Principe,2019,...,...,Others,Population,215056
Sao Tome and Principe,2019,...,...,Others,Ease of Doing Business Rank,170
Sao Tome and Principe,2019,...,...,Others,Trading Across Borders Rank,124
Sao Tome and Principe,2019,...,...,Others,CPIA Trade Ratings,3.5
Sao Tome and Principe,2018,...,...,Others,LPI Rank,89
Sao Tome and Principe,2018,...,...,Others,LPI Score,2.65
Sao Tome and Principe,2019,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,90.656
Sao Tome and Principe,2019,Portugal,All Products,Export,Partner share(%)-Top 5 Export Partner,1.7626
Sao Tome and Principe,2019,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,1.6922
Sao Tome and Principe,2019,Slovenia,All Products,Export,Partner share(%)-Top 5 Export Partner,1.6426
Sao Tome and Principe,2019,Belgium,All Products,Export,Partner share(%)-Top 5 Export Partner,1.3489
Sao Tome and Principe,2019,Portugal,All Products,Import,Partner share(%)-Top 5 Import Partner,48.9406
Sao Tome and Principe,2019,Angola,All Products,Import,Partner share(%)-Top 5 Import Partner,19.6703
Sao Tome and Principe,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,6.0807
Sao Tome and Principe,2019,Nigeria,All Products,Import,Partner share(%)-Top 5 Import Partner,4.5852
Sao Tome and Principe,2019,Belgium,All Products,Import,Partner share(%)-Top 5 Import Partner,3.5554
Sao Tome and Principe,2019,World,Animal,Export,Export Product share(%),0.0497
Sao Tome and Principe,2019,World,Vegetable,Export,Export Product share(%),12.9983
Sao Tome and Principe,2019,World,Food Products,Export,Export Product share(%),74.7339
Sao Tome and Principe,2019,World,Minerals,Export,Export Product share(%),
Sao Tome and Principe,2019,World,Fuels,Export,Export Product share(%),
Sao Tome and Principe,2019,World,Chemicals,Export,Export Product share(%),0.0533
Sao Tome and Principe,2019,World,Plastic or Rubber,Export,Export Product share(%),0.0783
Sao Tome and Principe,2019,World,Hides and Skins,Export,Export Product share(%),0.0094
Sao Tome and Principe,2019,World,Wood,Export,Export Product share(%),2.0736
Sao Tome and Principe,2019,World,Textiles and Clothing,Export,Export Product share(%),0.228
Sao Tome and Principe,2019,World,Footwear,Export,Export Product share(%),0.0159
Sao Tome and Principe,2019,World,Stone and Glass,Export,Export Product share(%),0.1799
Sao Tome and Principe,2019,World,Metals,Export,Export Product share(%),1.0667
Sao Tome and Principe,2019,World,Mach and Elec,Export,Export Product share(%),0.7704
Sao Tome and Principe,2019,World,Transportation,Export,Export Product share(%),5.7209
Sao Tome and Principe,2019,World,Miscellaneous,Export,Export Product share(%),2.0218
Sao Tome and Principe,2019,World,Raw materials,Export,Export Product share(%),73.3784
Sao Tome and Principe,2019,World,Intermediate goods,Export,Export Product share(%),7.3614
Sao Tome and Principe,2019,World,Consumer goods,Export,Export Product share(%),12.5368
Sao Tome and Principe,2019,World,Capital goods,Export,Export Product share(%),6.7234
