Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Suriname,2019,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,577.26901574
Suriname,2019,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,535.49875965
Suriname,2019,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,120.23830148
Suriname,2019,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,35.20973454
Suriname,2019,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,26.86884646
Suriname,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,370.95008128
Suriname,2019,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,249.64661745
Suriname,2019,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,205.46538177
Suriname,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,145.42706936
Suriname,2019,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,120.77803135
Suriname,2019,World,Animal,Export,Export(US$ Mil),44.72303618
Suriname,2019,World,Vegetable,Export,Export(US$ Mil),47.95897742
Suriname,2019,World,Food Products,Export,Export(US$ Mil),66.55792569
Suriname,2019,World,Minerals,Export,Export(US$ Mil),98.03959974
Suriname,2019,World,Fuels,Export,Export(US$ Mil),0.03192154
Suriname,2019,World,Chemicals,Export,Export(US$ Mil),5.25577098
Suriname,2019,World,Plastic or Rubber,Export,Export(US$ Mil),2.92643476
Suriname,2019,World,Hides and Skins,Export,Export(US$ Mil),0.232635
Suriname,2019,World,Wood,Export,Export(US$ Mil),71.73416865
Suriname,2019,World,Textiles and Clothing,Export,Export(US$ Mil),1.16027513
Suriname,2019,World,Footwear,Export,Export(US$ Mil),0.62047778
Suriname,2019,World,Stone and Glass,Export,Export(US$ Mil),1063.89963874
Suriname,2019,World,Metals,Export,Export(US$ Mil),8.56787468
Suriname,2019,World,Mach and Elec,Export,Export(US$ Mil),5.96928
Suriname,2019,World,Transportation,Export,Export(US$ Mil),23.79240447
Suriname,2019,World,Miscellaneous,Export,Export(US$ Mil),19.49513714
Suriname,2019,World,Raw materials,Export,Export(US$ Mil),138.98554275
Suriname,2019,World,Intermediate goods,Export,Export(US$ Mil),687.25024836
Suriname,2019,World,Consumer goods,Export,Export(US$ Mil),69.68525032
Suriname,2019,World,Capital goods,Export,Export(US$ Mil),9.99550116
Suriname,2019,World,Raw materials,Import,Import(US$ Mil),43.50383696
Suriname,2019,World,Intermediate goods,Import,Import(US$ Mil),194.4132995
Suriname,2019,World,Consumer goods,Import,Import(US$ Mil),673.897359720001
Suriname,2019,World,Capital goods,Import,Import(US$ Mil),550.76925517
Suriname,2019,World,All Products,Export,Exports (in US$ Mil),1460.9655579
Suriname,2019,World,All Products,Import,Imports (in US$ Mil),1711.44989241
Suriname,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),339149.62052
Suriname,2019,...,...,Development,Trade Balance (current US$ Mil),
Suriname,2019,...,...,Development,GDP (current US$ Mil),3697.37195
Suriname,2019,...,...,Tariff,No. Of Tariff Agreement,5
Suriname,2019,...,...,Import,No. Of Import partners,105
Suriname,2019,...,...,Import,No. Of Import products,1843
Suriname,2019,...,...,Export,No. Of Export partners,82
Suriname,2019,...,...,Export,No. Of Export products,186
Suriname,2019,...,...,Others,Population,581363
Suriname,2019,...,...,Others,Ease of Doing Business Rank,162
Suriname,2019,...,...,Others,Trading Across Borders Rank,87
Suriname,2019,...,...,Others,CPIA Trade Ratings,
Suriname,2019,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,39.5128
Suriname,2019,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,36.6538
Suriname,2019,Belgium,All Products,Export,Partner share(%)-Top 5 Export Partner,8.2301
Suriname,2019,Brazil,All Products,Export,Partner share(%)-Top 5 Export Partner,2.41
Suriname,2019,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,1.8391
Suriname,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,21.6746
Suriname,2019,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,14.5868
Suriname,2019,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,12.0053
Suriname,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,8.4973
Suriname,2019,Trinidad and Tobago,All Products,Import,Partner share(%)-Top 5 Import Partner,7.0571
Suriname,2019,World,Animal,Export,Export Product share(%),3.0612
Suriname,2019,World,Vegetable,Export,Export Product share(%),3.2827
Suriname,2019,World,Food Products,Export,Export Product share(%),4.5557
Suriname,2019,World,Minerals,Export,Export Product share(%),6.7106
Suriname,2019,World,Fuels,Export,Export Product share(%),0.0022
Suriname,2019,World,Chemicals,Export,Export Product share(%),0.3597
Suriname,2019,World,Plastic or Rubber,Export,Export Product share(%),0.2003
Suriname,2019,World,Hides and Skins,Export,Export Product share(%),0.0159
Suriname,2019,World,Wood,Export,Export Product share(%),4.9101
Suriname,2019,World,Textiles and Clothing,Export,Export Product share(%),0.0794
Suriname,2019,World,Footwear,Export,Export Product share(%),0.0425
Suriname,2019,World,Stone and Glass,Export,Export Product share(%),72.8217
Suriname,2019,World,Metals,Export,Export Product share(%),0.5865
Suriname,2019,World,Mach and Elec,Export,Export Product share(%),0.4086
Suriname,2019,World,Transportation,Export,Export Product share(%),1.6285
Suriname,2019,World,Miscellaneous,Export,Export Product share(%),1.3344
Suriname,2019,World,Raw materials,Export,Export Product share(%),9.5133
Suriname,2019,World,Intermediate goods,Export,Export Product share(%),47.0408
Suriname,2019,World,Consumer goods,Export,Export Product share(%),4.7698
Suriname,2019,World,Capital goods,Export,Export Product share(%),0.6842
Suriname,2019,World,Raw materials,Import,Import Product share(%),2.5419
