Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Slovak Republic,2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,19789.6038552195
Slovak Republic,2019,Czech Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9898.05248666366
Slovak Republic,2019,Poland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6729.66118047779
Slovak Republic,2019,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6285.55304890759
Slovak Republic,2019,Hungary,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5766.07877643558
Slovak Republic,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15124.7799358008
Slovak Republic,2019,Czech Republic,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9324.51084901614
Slovak Republic,2019,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7554.45473578104
Slovak Republic,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5784.11737818525
Slovak Republic,2019,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5275.602750702
Slovak Republic,2019,World,Animal,Export,Export(US$ Mil),692.318550042005
Slovak Republic,2019,World,Vegetable,Export,Export(US$ Mil),1122.76771507307
Slovak Republic,2019,World,Food Products,Export,Export(US$ Mil),1527.51854676989
Slovak Republic,2019,World,Minerals,Export,Export(US$ Mil),354.794545891652
Slovak Republic,2019,World,Fuels,Export,Export(US$ Mil),2618.48619341715
Slovak Republic,2019,World,Chemicals,Export,Export(US$ Mil),2293.08182801411
Slovak Republic,2019,World,Plastic or Rubber,Export,Export(US$ Mil),4981.94069149361
Slovak Republic,2019,World,Hides and Skins,Export,Export(US$ Mil),284.641445598274
Slovak Republic,2019,World,Wood,Export,Export(US$ Mil),2584.33129375873
Slovak Republic,2019,World,Textiles and Clothing,Export,Export(US$ Mil),1990.25173679754
Slovak Republic,2019,World,Footwear,Export,Export(US$ Mil),1117.68384006581
Slovak Republic,2019,World,Stone and Glass,Export,Export(US$ Mil),1228.73471310357
Slovak Republic,2019,World,Metals,Export,Export(US$ Mil),8425.65827018101
Slovak Republic,2019,World,Mach and Elec,Export,Export(US$ Mil),27568.8252609453
Slovak Republic,2019,World,Transportation,Export,Export(US$ Mil),29558.5965290183
Slovak Republic,2019,World,Miscellaneous,Export,Export(US$ Mil),3559.45425557618
Slovak Republic,2019,World,Raw materials,Export,Export(US$ Mil),2340.6447069628
Slovak Republic,2019,World,Intermediate goods,Export,Export(US$ Mil),12624.1544085349
Slovak Republic,2019,World,Consumer goods,Export,Export(US$ Mil),47626.9346837774
Slovak Republic,2019,World,Capital goods,Export,Export(US$ Mil),27209.6594509047
Slovak Republic,2019,World,Raw materials,Import,Import(US$ Mil),5922.2491069671
Slovak Republic,2019,World,Intermediate goods,Import,Import(US$ Mil),15347.7479373826
Slovak Republic,2019,World,Consumer goods,Import,Import(US$ Mil),29122.7003752213
Slovak Republic,2019,World,Capital goods,Import,Import(US$ Mil),40328.8777599823
Slovak Republic,2019,World,All Products,Export,Exports (in US$ Mil),89909.0854157462
Slovak Republic,2019,World,All Products,Import,Imports (in US$ Mil),90908.1085893094
Slovak Republic,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),24053002.623088
Slovak Republic,2019,...,...,Development,Trade Balance (current US$ Mil),414.472003
Slovak Republic,2019,...,...,Development,GDP (current US$ Mil),105080
Slovak Republic,2019,...,...,Tariff,No. Of Tariff Agreement,
Slovak Republic,2019,...,...,Import,No. Of Import partners,229
Slovak Republic,2019,...,...,Import,No. Of Import products,4418
Slovak Republic,2019,...,...,Export,No. Of Export partners,202
Slovak Republic,2019,...,...,Export,No. Of Export products,3944
Slovak Republic,2019,...,...,Others,Population,5454147
Slovak Republic,2019,...,...,Others,Ease of Doing Business Rank,45
Slovak Republic,2019,...,...,Others,Trading Across Borders Rank,1
Slovak Republic,2019,...,...,Others,CPIA Trade Ratings,
Slovak Republic,2018,...,...,Others,LPI Rank,53
Slovak Republic,2018,...,...,Others,LPI Score,3.03
Slovak Republic,2019,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,22.0107
Slovak Republic,2019,Czech Republic,All Products,Export,Partner share(%)-Top 5 Export Partner,11.009
Slovak Republic,2019,Poland,All Products,Export,Partner share(%)-Top 5 Export Partner,7.485
Slovak Republic,2019,France,All Products,Export,Partner share(%)-Top 5 Export Partner,6.991
Slovak Republic,2019,Hungary,All Products,Export,Partner share(%)-Top 5 Export Partner,6.4132
Slovak Republic,2019,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,16.6374
Slovak Republic,2019,Czech Republic,All Products,Import,Partner share(%)-Top 5 Import Partner,10.2571
Slovak Republic,2019,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,8.31
Slovak Republic,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,6.3626
Slovak Republic,2019,Poland,All Products,Import,Partner share(%)-Top 5 Import Partner,5.8032
Slovak Republic,2019,World,Animal,Export,Export Product share(%),0.77
Slovak Republic,2019,World,Vegetable,Export,Export Product share(%),1.2488
Slovak Republic,2019,World,Food Products,Export,Export Product share(%),1.699
Slovak Republic,2019,World,Minerals,Export,Export Product share(%),0.3946
Slovak Republic,2019,World,Fuels,Export,Export Product share(%),2.9124
Slovak Republic,2019,World,Chemicals,Export,Export Product share(%),2.5504
Slovak Republic,2019,World,Plastic or Rubber,Export,Export Product share(%),5.5411
Slovak Republic,2019,World,Hides and Skins,Export,Export Product share(%),0.3166
Slovak Republic,2019,World,Wood,Export,Export Product share(%),2.8744
Slovak Republic,2019,World,Textiles and Clothing,Export,Export Product share(%),2.2136
Slovak Republic,2019,World,Footwear,Export,Export Product share(%),1.2431
Slovak Republic,2019,World,Stone and Glass,Export,Export Product share(%),1.3666
