Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Slovenia,2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7086.58833319
Slovenia,2019,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4341.33666928
Slovenia,2019,Croatia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3234.24300474
Slovenia,2019,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2549.60978167
Slovenia,2019,Austria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2545.58480337
Slovenia,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5535.40620492
Slovenia,2019,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4811.61211548
Slovenia,2019,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3442.59423547
Slovenia,2019,Austria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3110.77876019
Slovenia,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2335.42225543
Slovenia,2019,World,Animal,Export,Export(US$ Mil),406.64809413
Slovenia,2019,World,Vegetable,Export,Export(US$ Mil),402.19606203
Slovenia,2019,World,Food Products,Export,Export(US$ Mil),888.2079628
Slovenia,2019,World,Minerals,Export,Export(US$ Mil),129.4425203
Slovenia,2019,World,Fuels,Export,Export(US$ Mil),1990.93565267
Slovenia,2019,World,Chemicals,Export,Export(US$ Mil),7309.98138274
Slovenia,2019,World,Plastic or Rubber,Export,Export(US$ Mil),2242.68332564
Slovenia,2019,World,Hides and Skins,Export,Export(US$ Mil),247.11554754
Slovenia,2019,World,Wood,Export,Export(US$ Mil),1876.01833461
Slovenia,2019,World,Textiles and Clothing,Export,Export(US$ Mil),873.71171656
Slovenia,2019,World,Footwear,Export,Export(US$ Mil),198.69536107
Slovenia,2019,World,Stone and Glass,Export,Export(US$ Mil),574.13386427
Slovenia,2019,World,Metals,Export,Export(US$ Mil),4061.93566276
Slovenia,2019,World,Mach and Elec,Export,Export(US$ Mil),7874.63784701
Slovenia,2019,World,Transportation,Export,Export(US$ Mil),6020.93709253
Slovenia,2019,World,Miscellaneous,Export,Export(US$ Mil),2477.31395285
Slovenia,2019,World,Raw materials,Export,Export(US$ Mil),1467.95421487
Slovenia,2019,World,Intermediate goods,Export,Export(US$ Mil),7750.94079753999
Slovenia,2019,World,Consumer goods,Export,Export(US$ Mil),18498.74642838
Slovenia,2019,World,Capital goods,Export,Export(US$ Mil),9743.21400304999
Slovenia,2019,World,Raw materials,Import,Import(US$ Mil),2102.83531253
Slovenia,2019,World,Intermediate goods,Import,Import(US$ Mil),9554.50819825002
Slovenia,2019,World,Consumer goods,Import,Import(US$ Mil),17115.90683125
Slovenia,2019,World,Capital goods,Import,Import(US$ Mil),9302.59365789001
Slovenia,2019,World,All Products,Export,Exports (in US$ Mil),37574.59437951
Slovenia,2019,World,All Products,Import,Imports (in US$ Mil),38162.0541849
Slovenia,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),8991141.13524999
Slovenia,2019,...,...,Development,Trade Balance (current US$ Mil),4582.533083
Slovenia,2019,...,...,Development,GDP (current US$ Mil),54174.227309
Slovenia,2019,...,...,Tariff,No. Of Tariff Agreement,
Slovenia,2019,...,...,Import,No. Of Import partners,222
Slovenia,2019,...,...,Import,No. Of Import products,4358
Slovenia,2019,...,...,Export,No. Of Export partners,201
Slovenia,2019,...,...,Export,No. Of Export products,4077
Slovenia,2019,...,...,Others,Population,2088385
Slovenia,2019,...,...,Others,Ease of Doing Business Rank,37
Slovenia,2019,...,...,Others,Trading Across Borders Rank,1
Slovenia,2019,...,...,Others,CPIA Trade Ratings,
Slovenia,2018,...,...,Others,LPI Rank,35
Slovenia,2018,...,...,Others,LPI Score,3.31
Slovenia,2019,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,18.8601
Slovenia,2019,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,11.5539
Slovenia,2019,Croatia,All Products,Export,Partner share(%)-Top 5 Export Partner,8.6075
Slovenia,2019,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,6.7855
Slovenia,2019,Austria,All Products,Export,Partner share(%)-Top 5 Export Partner,6.7747
Slovenia,2019,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,14.505
Slovenia,2019,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,12.6084
Slovenia,2019,Switzerland,All Products,Import,Partner share(%)-Top 5 Import Partner,9.021
Slovenia,2019,Austria,All Products,Import,Partner share(%)-Top 5 Import Partner,8.1515
Slovenia,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,6.1197
Slovenia,2019,World,Animal,Export,Export Product share(%),1.0822
Slovenia,2019,World,Vegetable,Export,Export Product share(%),1.0704
Slovenia,2019,World,Food Products,Export,Export Product share(%),2.3639
Slovenia,2019,World,Minerals,Export,Export Product share(%),0.3445
