Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Sweden,2019,Norway,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,16985.9875253069
Sweden,2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,16429.9378743649
Sweden,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12246.8843635338
Sweden,2019,Finland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11446.3041835144
Sweden,2019,Denmark,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11069.4193234022
Sweden,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,28256.0427887831
Sweden,2019,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15020.0500072115
Sweden,2019,Norway,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,14637.2907275857
Sweden,2019,Denmark,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10494.800369438
Sweden,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8229.67219572037
Sweden,2019,World,Animal,Export,Export(US$ Mil),4896.4020339701
Sweden,2019,World,Vegetable,Export,Export(US$ Mil),1500.99673306718
Sweden,2019,World,Food Products,Export,Export(US$ Mil),4070.18369211044
Sweden,2019,World,Minerals,Export,Export(US$ Mil),3468.96536533798
Sweden,2019,World,Fuels,Export,Export(US$ Mil),10216.7860787542
Sweden,2019,World,Chemicals,Export,Export(US$ Mil),16826.0039529805
Sweden,2019,World,Plastic or Rubber,Export,Export(US$ Mil),6443.26539933582
Sweden,2019,World,Hides and Skins,Export,Export(US$ Mil),346.56890942266
Sweden,2019,World,Wood,Export,Export(US$ Mil),15937.7606520822
Sweden,2019,World,Textiles and Clothing,Export,Export(US$ Mil),3073.23494033292
Sweden,2019,World,Footwear,Export,Export(US$ Mil),646.1765581528
Sweden,2019,World,Stone and Glass,Export,Export(US$ Mil),1937.08924035982
Sweden,2019,World,Metals,Export,Export(US$ Mil),14671.9663656487
Sweden,2019,World,Mach and Elec,Export,Export(US$ Mil),38369.2561472033
Sweden,2019,World,Transportation,Export,Export(US$ Mil),24178.7503052751
Sweden,2019,World,Miscellaneous,Export,Export(US$ Mil),13984.7016389797
Sweden,2019,World,Raw materials,Export,Export(US$ Mil),9616.69410566973
Sweden,2019,World,Intermediate goods,Export,Export(US$ Mil),39047.8098483968
Sweden,2019,World,Consumer goods,Export,Export(US$ Mil),55520.7503012691
Sweden,2019,World,Capital goods,Export,Export(US$ Mil),50255.0471272154
Sweden,2019,World,Raw materials,Import,Import(US$ Mil),19674.8811782785
Sweden,2019,World,Intermediate goods,Import,Import(US$ Mil),25905.9571327388
Sweden,2019,World,Consumer goods,Import,Import(US$ Mil),57522.6094908634
Sweden,2019,World,Capital goods,Import,Import(US$ Mil),48926.2650372743
Sweden,2019,World,All Products,Export,Exports (in US$ Mil),160568.108013014
Sweden,2019,World,All Products,Import,Imports (in US$ Mil),158958.869495315
Sweden,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),26188319.3475447
Sweden,2019,...,...,Development,Trade Balance (current US$ Mil),18866
Sweden,2019,...,...,Development,GDP (current US$ Mil),530884
Sweden,2019,...,...,Tariff,No. Of Tariff Agreement,
Sweden,2019,...,...,Import,No. Of Import partners,213
