Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Seychelles,2019,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,302.394320819798
Seychelles,2019,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,121.680500030259
Seychelles,2019,British Virgin Islands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,104.189994836546
Seychelles,2019,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,102.4411641737
Seychelles,2019,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,42.0358926416112
Seychelles,2019,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,318.740497731178
Seychelles,2019,Qatar,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,199.914785035478
Seychelles,2019,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,114.215494424113
Seychelles,2019,British Virgin Islands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,105.033912354607
Seychelles,2019,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,74.4064140701878
Seychelles,2019,World,Animal,Export,Export(US$ Mil),62.0563467443774
Seychelles,2019,World,Vegetable,Export,Export(US$ Mil),6.578680944786
Seychelles,2019,World,Food Products,Export,Export(US$ Mil),264.618974806818
Seychelles,2019,World,Minerals,Export,Export(US$ Mil),0.0017323311815854
Seychelles,2019,World,Fuels,Export,Export(US$ Mil),307.027542052745
Seychelles,2019,World,Chemicals,Export,Export(US$ Mil),0.534457559851082
Seychelles,2019,World,Plastic or Rubber,Export,Export(US$ Mil),0.387112873876485
Seychelles,2019,World,Hides and Skins,Export,Export(US$ Mil),0.0022267745905856
Seychelles,2019,World,Wood,Export,Export(US$ Mil),0.0349840997028394
Seychelles,2019,World,Textiles and Clothing,Export,Export(US$ Mil),0.19095785786575
Seychelles,2019,World,Footwear,Export,Export(US$ Mil),0.0010416137577351
Seychelles,2019,World,Stone and Glass,Export,Export(US$ Mil),0.529827775842137
Seychelles,2019,World,Metals,Export,Export(US$ Mil),2.4793608652012
Seychelles,2019,World,Mach and Elec,Export,Export(US$ Mil),1.91851143374904
