Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Togo,2019,Burkina Faso,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,132.076357601725
Togo,2019,Benin,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,110.294187820115
Togo,2019,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,107.030495893675
Togo,2019,Niger,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,81.8706733462288
Togo,2019,Ghana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,79.5315732097392
Togo,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,402.471075777375
Togo,2019,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,149.992529070327
Togo,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,121.309761727839
Togo,2019,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,88.7680475397291
Togo,2019,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,86.4289935909266
Togo,2019,World,Animal,Export,Export(US$ Mil),24.2928174764704
Togo,2019,World,Vegetable,Export,Export(US$ Mil),89.123330302544
Togo,2019,World,Food Products,Export,Export(US$ Mil),68.4601989250981
Togo,2019,World,Minerals,Export,Export(US$ Mil),175.447965598593
Togo,2019,World,Fuels,Export,Export(US$ Mil),64.0664340252464
Togo,2019,World,Chemicals,Export,Export(US$ Mil),87.1700974288144
Togo,2019,World,Plastic or Rubber,Export,Export(US$ Mil),105.579306057467
Togo,2019,World,Hides and Skins,Export,Export(US$ Mil),0.659234964168
Togo,2019,World,Wood,Export,Export(US$ Mil),18.1731931639456
Togo,2019,World,Textiles and Clothing,Export,Export(US$ Mil),144.690499129696
Togo,2019,World,Footwear,Export,Export(US$ Mil),24.6483376784656
Togo,2019,World,Stone and Glass,Export,Export(US$ Mil),0.291766634456
Togo,2019,World,Metals,Export,Export(US$ Mil),20.6110174959216
Togo,2019,World,Mach and Elec,Export,Export(US$ Mil),22.4618989954832
Togo,2019,World,Transportation,Export,Export(US$ Mil),66.7586716981008
