Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Thailand,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,29719.16189899
Thailand,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,28068.46281261
Thailand,2019,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,23135.90276289
Thailand,2019,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11607.89349864
Thailand,2019,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10962.52435428
Thailand,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,45792.89168856
Thailand,2019,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,30296.99800542
Thailand,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,16062.07725679
Thailand,2019,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11884.31811868
Thailand,2019,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7880.34928103
Thailand,2019,World,Animal,Export,Export(US$ Mil),3308.07732199
Thailand,2019,World,Vegetable,Export,Export(US$ Mil),11489.99030566
Thailand,2019,World,Food Products,Export,Export(US$ Mil),20826.32548902
Thailand,2019,World,Minerals,Export,Export(US$ Mil),1148.77779808
Thailand,2019,World,Fuels,Export,Export(US$ Mil),8491.66913745
Thailand,2019,World,Chemicals,Export,Export(US$ Mil),12312.42506555
Thailand,2019,World,Plastic or Rubber,Export,Export(US$ Mil),28854.62465247
Thailand,2019,World,Hides and Skins,Export,Export(US$ Mil),1488.69185856
Thailand,2019,World,Wood,Export,Export(US$ Mil),4374.77573148
Thailand,2019,World,Textiles and Clothing,Export,Export(US$ Mil),6999.53077298
Thailand,2019,World,Footwear,Export,Export(US$ Mil),673.85640146
Thailand,2019,World,Stone and Glass,Export,Export(US$ Mil),16753.23122245
Thailand,2019,World,Metals,Export,Export(US$ Mil),10423.77382049
Thailand,2019,World,Mach and Elec,Export,Export(US$ Mil),67532.54912953
Thailand,2019,World,Transportation,Export,Export(US$ Mil),28566.1201418
Thailand,2019,World,Miscellaneous,Export,Export(US$ Mil),10430.0210572
Thailand,2019,World,Raw materials,Export,Export(US$ Mil),14878.63358895
Thailand,2019,World,Intermediate goods,Export,Export(US$ Mil),52181.79713511
Thailand,2019,World,Consumer goods,Export,Export(US$ Mil),82760.9339241
Thailand,2019,World,Capital goods,Export,Export(US$ Mil),83809.0263463101
Thailand,2019,World,Raw materials,Import,Import(US$ Mil),32029.20666194
Thailand,2019,World,Intermediate goods,Import,Import(US$ Mil),60163.3543096699
Thailand,2019,World,Consumer goods,Import,Import(US$ Mil),49733.4975499099
Thailand,2019,World,Capital goods,Import,Import(US$ Mil),74844.6991134601
Thailand,2019,World,All Products,Export,Exports (in US$ Mil),233674.43990617
Thailand,2019,World,All Products,Import,Imports (in US$ Mil),216804.75519555
Thailand,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),154633004.324
Thailand,2019,...,...,Development,Trade Balance (current US$ Mil),49704
Thailand,2019,...,...,Development,GDP (current US$ Mil),543549
Thailand,2015,...,...,Tariff,No. Of Tariff Agreement,14
Thailand,2019,...,...,Import,No. Of Import partners,228
Thailand,2019,...,...,Import,No. Of Import products,4453
Thailand,2019,...,...,Export,No. Of Export partners,226
Thailand,2019,...,...,Export,No. Of Export products,4301
Thailand,2019,...,...,Others,Population,69625582
Thailand,2019,...,...,Others,Ease of Doing Business Rank,21
Thailand,2019,...,...,Others,Trading Across Borders Rank,62
Thailand,2019,...,...,Others,CPIA Trade Ratings,
Thailand,2018,...,...,Others,LPI Rank,32
Thailand,2018,...,...,Others,LPI Score,3.41
Thailand,2015,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5205
Thailand,2015,...,...,Others,No Of NTM Measures,78
Thailand,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1042005
Thailand,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1042002
Thailand,,...,...,Others,Services Trade Restrictions Index - Over All,48
Thailand,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,0.7361487746
Thailand,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,1.662310719
Thailand,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,12.7182
Thailand,2019,China,All Products,Export,Partner share(%)-Top 5 Export Partner,12.0118
Thailand,2019,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,9.9009
Thailand,2019,Vietnam,All Products,Export,Partner share(%)-Top 5 Export Partner,4.9675
Thailand,2019,"Hong Kong, China",All Products,Export,Partner share(%)-Top 5 Export Partner,4.6914
Thailand,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,21.1217
Thailand,2019,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,13.9743
Thailand,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,7.4085
Thailand,2019,Malaysia,All Products,Import,Partner share(%)-Top 5 Import Partner,5.4816
Thailand,2019,"Korea, Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,3.6348
Thailand,2019,World,Animal,Export,Export Product share(%),1.4157
Thailand,2019,World,Vegetable,Export,Export Product share(%),4.9171
Thailand,2019,World,Food Products,Export,Export Product share(%),8.9125
Thailand,2019,World,Minerals,Export,Export Product share(%),0.4916
Thailand,2019,World,Fuels,Export,Export Product share(%),3.634
Thailand,2019,World,Chemicals,Export,Export Product share(%),5.2691
Thailand,2019,World,Plastic or Rubber,Export,Export Product share(%),12.3482
Thailand,2019,World,Hides and Skins,Export,Export Product share(%),0.6371
Thailand,2019,World,Wood,Export,Export Product share(%),1.8722
Thailand,2019,World,Textiles and Clothing,Export,Export Product share(%),2.9954
Thailand,2019,World,Footwear,Export,Export Product share(%),0.2884
Thailand,2019,World,Stone and Glass,Export,Export Product share(%),7.1695
Thailand,2019,World,Metals,Export,Export Product share(%),4.4608
Thailand,2019,World,Mach and Elec,Export,Export Product share(%),28.9003
Thailand,2019,World,Transportation,Export,Export Product share(%),12.2248
Thailand,2019,World,Miscellaneous,Export,Export Product share(%),4.4635
Thailand,2019,World,Raw materials,Export,Export Product share(%),6.3672
Thailand,2019,World,Intermediate goods,Export,Export Product share(%),22.331
Thailand,2019,World,Consumer goods,Export,Export Product share(%),35.4172
Thailand,2019,World,Capital goods,Export,Export Product share(%),35.8657
Thailand,2019,World,Raw materials,Import,Import Product share(%),14.7733
Thailand,2019,World,Intermediate goods,Import,Import Product share(%),27.75
Thailand,2019,World,Consumer goods,Import,Import Product share(%),22.9393
Thailand,2019,World,Capital goods,Import,Import Product share(%),34.5217
Thailand,2015,World,Raw materials,Tariff,Weighted Average (%),0.697655078104031
Thailand,2015,World,Intermediate goods,Tariff,Weighted Average (%),3.37631055903867
Thailand,2015,World,Consumer goods,Tariff,Weighted Average (%),5.52676903291097
Thailand,2015,World,Capital goods,Tariff,Weighted Average (%),2.34005291653581
Thailand,2019,World,All Products,Trade Indicator,World Growth (%),-1.13475826045476
Thailand,2019,World,All Products,Trade Indicator,Country Growth (%),2.18258539673517
Thailand,2015,World,All Products,Tariff,Simple Average (%),7.95725131930766
Thailand,2015,World,All Products,Tariff,Weighted Average (%),3.52135329458069
Thailand,2015,World,All Products,Tariff,Maximum Rate (%),321.160491943359
Thailand,2015,World,All Products,Tariff,Duty Free Tariff Lines Share (%),47.2522440730419
Thailand,2019,...,...,Trade Indicator,Index of export market penetration,16.6391756721448
Thailand,2019,...,...,Trade Indicator,HH Market concentration index,0.0608646237225589
Thailand,2019,...,...,Development,Trade Balance (% of GDP),9.14434087999999
Thailand,2019,...,...,Development,Trade in services (% of GDP),25.39460756
Thailand,2019,...,...,Development,Trade (% of GDP),110.3941653
Thailand,2019,...,...,Development,"GNI per capita, Atlas method (current US$)",7260
