Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Tunisia,2019,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4352.57649094204
Tunisia,2019,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2415.39135977617
Tunisia,2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1920.10272062555
Tunisia,2019,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,976.259143206953
Tunisia,2019,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,563.575524434188
Tunisia,2019,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3319.75070171927
Tunisia,2019,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3067.8384050659
Tunisia,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2041.66224073421
Tunisia,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1459.9593388908
Tunisia,2019,Algeria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1432.40433177514
Tunisia,2019,World,Animal,Export,Export(US$ Mil),181.039800773834
Tunisia,2019,World,Vegetable,Export,Export(US$ Mil),1000.10748149774
Tunisia,2019,World,Food Products,Export,Export(US$ Mil),419.087181352622
Tunisia,2019,World,Minerals,Export,Export(US$ Mil),188.968639907201
Tunisia,2019,World,Fuels,Export,Export(US$ Mil),825.248070399131
Tunisia,2019,World,Chemicals,Export,Export(US$ Mil),893.204613818862
Tunisia,2019,World,Plastic or Rubber,Export,Export(US$ Mil),569.036716642464
Tunisia,2019,World,Hides and Skins,Export,Export(US$ Mil),122.900349395966
Tunisia,2019,World,Wood,Export,Export(US$ Mil),232.852564878956
Tunisia,2019,World,Textiles and Clothing,Export,Export(US$ Mil),2629.34570642708
Tunisia,2019,World,Footwear,Export,Export(US$ Mil),450.115132377548
Tunisia,2019,World,Stone and Glass,Export,Export(US$ Mil),116.11783870231
Tunisia,2019,World,Metals,Export,Export(US$ Mil),713.531087312653
Tunisia,2019,World,Mach and Elec,Export,Export(US$ Mil),4560.68301621491
Tunisia,2019,World,Transportation,Export,Export(US$ Mil),1031.07666421545
Tunisia,2019,World,Miscellaneous,Export,Export(US$ Mil),1010.77262694964
Tunisia,2019,World,Raw materials,Export,Export(US$ Mil),1324.44573208308
Tunisia,2019,World,Intermediate goods,Export,Export(US$ Mil),2965.45018784654
Tunisia,2019,World,Consumer goods,Export,Export(US$ Mil),7233.11378075755
Tunisia,2019,World,Capital goods,Export,Export(US$ Mil),3410.64439756633
Tunisia,2019,World,Raw materials,Import,Import(US$ Mil),1720.12613232776
Tunisia,2019,World,Intermediate goods,Import,Import(US$ Mil),6349.32365833792
Tunisia,2019,World,Consumer goods,Import,Import(US$ Mil),8009.19929241441
Tunisia,2019,World,Capital goods,Import,Import(US$ Mil),5428.18645842361
Tunisia,2019,World,All Products,Export,Exports (in US$ Mil),14944.0874908664
Tunisia,2019,World,All Products,Import,Imports (in US$ Mil),21573.8468269922
Tunisia,2016,World,All Products,Tariff,Duty Free Imports (US$ Thousand),9686323.496
Tunisia,2019,...,...,Development,Trade Balance (current US$ Mil),-4182.490458
Tunisia,2019,...,...,Development,GDP (current US$ Mil),38796.687568
Tunisia,2016,...,...,Tariff,No. Of Tariff Agreement,1
Tunisia,2019,...,...,Import,No. Of Import partners,177
Tunisia,2019,...,...,Import,No. Of Import products,4110
Tunisia,2019,...,...,Export,No. Of Export partners,162
Tunisia,2019,...,...,Export,No. Of Export products,2678
Tunisia,2019,...,...,Others,Population,11694719
Tunisia,2019,...,...,Others,Ease of Doing Business Rank,78
Tunisia,2019,...,...,Others,Trading Across Borders Rank,90
Tunisia,2019,...,...,Others,CPIA Trade Ratings,
Tunisia,2018,...,...,Others,LPI Rank,105
Tunisia,2018,...,...,Others,LPI Score,2.57
Tunisia,,...,...,Others,Services Trade Restrictions Index - Over All,44.5
Tunisia,2019,France,All Products,Export,Partner share(%)-Top 5 Export Partner,29.1257
Tunisia,2019,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,16.1629
Tunisia,2019,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,12.8486
Tunisia,2019,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,6.5327
Tunisia,2019,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,3.7712
Tunisia,2019,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,15.3878
Tunisia,2019,France,All Products,Import,Partner share(%)-Top 5 Import Partner,14.2202
Tunisia,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,9.4636
Tunisia,2019,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,6.7673
Tunisia,2019,Algeria,All Products,Import,Partner share(%)-Top 5 Import Partner,6.6395
Tunisia,2019,World,Animal,Export,Export Product share(%),1.2114
Tunisia,2019,World,Vegetable,Export,Export Product share(%),6.6923
Tunisia,2019,World,Food Products,Export,Export Product share(%),2.8044
Tunisia,2019,World,Minerals,Export,Export Product share(%),1.2645
Tunisia,2019,World,Fuels,Export,Export Product share(%),5.5222
Tunisia,2019,World,Chemicals,Export,Export Product share(%),5.977
Tunisia,2019,World,Plastic or Rubber,Export,Export Product share(%),3.8078
Tunisia,2019,World,Hides and Skins,Export,Export Product share(%),0.8224
Tunisia,2019,World,Wood,Export,Export Product share(%),1.5582
Tunisia,2019,World,Textiles and Clothing,Export,Export Product share(%),17.5946
Tunisia,2019,World,Footwear,Export,Export Product share(%),3.012
Tunisia,2019,World,Stone and Glass,Export,Export Product share(%),0.777
Tunisia,2019,World,Metals,Export,Export Product share(%),4.7747
Tunisia,2019,World,Mach and Elec,Export,Export Product share(%),30.5183
Tunisia,2019,World,Transportation,Export,Export Product share(%),6.8996
Tunisia,2019,World,Miscellaneous,Export,Export Product share(%),6.7637
Tunisia,2019,World,Raw materials,Export,Export Product share(%),8.8627
Tunisia,2019,World,Intermediate goods,Export,Export Product share(%),19.8436
Tunisia,2019,World,Consumer goods,Export,Export Product share(%),48.4012
Tunisia,2019,World,Capital goods,Export,Export Product share(%),22.8227
Tunisia,2019,World,Raw materials,Import,Import Product share(%),7.9732
Tunisia,2019,World,Intermediate goods,Import,Import Product share(%),29.4307
Tunisia,2019,World,Consumer goods,Import,Import Product share(%),37.1246
Tunisia,2019,World,Capital goods,Import,Import Product share(%),25.161
Tunisia,2016,World,Raw materials,Tariff,Weighted Average (%),10.1387304281619
Tunisia,2016,World,Intermediate goods,Tariff,Weighted Average (%),8.7839296761117
Tunisia,2016,World,Consumer goods,Tariff,Weighted Average (%),10.3183916022311
Tunisia,2016,World,Capital goods,Tariff,Weighted Average (%),7.90368138252542
Tunisia,2019,World,All Products,Trade Indicator,World Growth (%),-1.13475826045476
Tunisia,2019,World,All Products,Trade Indicator,Country Growth (%),-2.80379590695957
Tunisia,2016,World,All Products,Tariff,Simple Average (%),10.213588303486
Tunisia,2016,World,All Products,Tariff,Weighted Average (%),9.34732524100425
Tunisia,2016,World,All Products,Tariff,Maximum Rate (%),36
Tunisia,2016,World,All Products,Tariff,Duty Free Tariff Lines Share (%),46.6958587332933
Tunisia,2019,...,...,Trade Indicator,Index of export market penetration,5.95653463280332
Tunisia,2019,...,...,Trade Indicator,HH Market concentration index,0.155314708063233
Tunisia,2019,...,...,Development,Trade Balance (% of GDP),-10.78053494
Tunisia,2019,...,...,Development,Trade in services (% of GDP),18.6131664
Tunisia,2019,...,...,Development,Trade (% of GDP),109.3773991
Tunisia,2019,...,...,Development,"GNI per capita, Atlas method (current US$)",3370
