Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Turkey,2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,16617.492227
Turkey,2019,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11278.995688
Turkey,2019,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,10223.404727
Turkey,2019,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9753.40329
Turkey,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8978.403489
Turkey,2019,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,23115.236226
Turkey,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,19278.825939
Turkey,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,19127.997104
Turkey,2019,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15148.738059
Turkey,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11847.544776
Turkey,2019,World,Animal,Export,Export(US$ Mil),2407.111235
Turkey,2019,World,Vegetable,Export,Export(US$ Mil),9409.145765
Turkey,2019,World,Food Products,Export,Export(US$ Mil),7916.693843
Turkey,2019,World,Minerals,Export,Export(US$ Mil),4014.503353
Turkey,2019,World,Fuels,Export,Export(US$ Mil),8447.382584
Turkey,2019,World,Chemicals,Export,Export(US$ Mil),7133.667784
Turkey,2019,World,Plastic or Rubber,Export,Export(US$ Mil),9711.149775
Turkey,2019,World,Hides and Skins,Export,Export(US$ Mil),746.923742
Turkey,2019,World,Wood,Export,Export(US$ Mil),3572.496365
Turkey,2019,World,Textiles and Clothing,Export,Export(US$ Mil),28580.938376
Turkey,2019,World,Footwear,Export,Export(US$ Mil),1011.54522
Turkey,2019,World,Stone and Glass,Export,Export(US$ Mil),11018.401958
Turkey,2019,World,Metals,Export,Export(US$ Mil),22792.95885
Turkey,2019,World,Mach and Elec,Export,Export(US$ Mil),27509.48365
Turkey,2019,World,Transportation,Export,Export(US$ Mil),29466.626958
Turkey,2019,World,Miscellaneous,Export,Export(US$ Mil),7096.880116
Turkey,2019,World,Raw materials,Export,Export(US$ Mil),12309.203036
Turkey,2019,World,Intermediate goods,Export,Export(US$ Mil),42016.3063620001
Turkey,2019,World,Consumer goods,Export,Export(US$ Mil),85823.5530019999
Turkey,2019,World,Capital goods,Export,Export(US$ Mil),37955.128583
Turkey,2019,World,Raw materials,Import,Import(US$ Mil),22582.763409
Turkey,2019,World,Intermediate goods,Import,Import(US$ Mil),69905.4018440001
Turkey,2019,World,Consumer goods,Import,Import(US$ Mil),40852.0817330001
Turkey,2019,World,Capital goods,Import,Import(US$ Mil),49027.95975
Turkey,2019,World,All Products,Export,Exports (in US$ Mil),180835.909574
Turkey,2019,World,All Products,Import,Imports (in US$ Mil),210343.464863
Turkey,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),118261537.434
Turkey,2019,...,...,Development,Trade Balance (current US$ Mil),21319
Turkey,2019,...,...,Development,GDP (current US$ Mil),761425
Turkey,2019,...,...,Tariff,No. Of Tariff Agreement,28
Turkey,2019,...,...,Import,No. Of Import partners,212
Turkey,2019,...,...,Import,No. Of Import products,4401
Turkey,2019,...,...,Export,No. Of Export partners,220
Turkey,2019,...,...,Export,No. Of Export products,4308
Turkey,2019,...,...,Others,Population,83429615
Turkey,2019,...,...,Others,Ease of Doing Business Rank,33
Turkey,2019,...,...,Others,Trading Across Borders Rank,44
Turkey,2019,...,...,Others,CPIA Trade Ratings,
Turkey,2018,...,...,Others,LPI Rank,47
Turkey,2018,...,...,Others,LPI Score,3.15
Turkey,2013,...,...,Others,No Of NTM Affected Products (HS 6 Digit),203
Turkey,2013,...,...,Others,No Of NTM Measures,2
Turkey,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0731937
Turkey,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0964647
Turkey,,...,...,Others,Services Trade Restrictions Index - Over All,25
Turkey,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,4.068190575
Turkey,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,2.01877737
Turkey,2019,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,9.1893
Turkey,2019,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,6.2371
Turkey,2019,Iraq,All Products,Export,Partner share(%)-Top 5 Export Partner,5.6534
Turkey,2019,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,5.3935
Turkey,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,4.9649
Turkey,2019,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,10.9893
Turkey,2019,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,9.1654
Turkey,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,9.0937
Turkey,2019,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,7.2019
Turkey,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,5.6325
Turkey,2019,World,Animal,Export,Export Product share(%),1.3311
Turkey,2019,World,Vegetable,Export,Export Product share(%),5.2031
Turkey,2019,World,Food Products,Export,Export Product share(%),4.3778
Turkey,2019,World,Minerals,Export,Export Product share(%),2.22
Turkey,2019,World,Fuels,Export,Export Product share(%),4.6713
Turkey,2019,World,Chemicals,Export,Export Product share(%),3.9448
Turkey,2019,World,Plastic or Rubber,Export,Export Product share(%),5.3701
Turkey,2019,World,Hides and Skins,Export,Export Product share(%),0.413
Turkey,2019,World,Wood,Export,Export Product share(%),1.9755
Turkey,2019,World,Textiles and Clothing,Export,Export Product share(%),15.8049
Turkey,2019,World,Footwear,Export,Export Product share(%),0.5594
Turkey,2019,World,Stone and Glass,Export,Export Product share(%),6.093
Turkey,2019,World,Metals,Export,Export Product share(%),12.6042
Turkey,2019,World,Mach and Elec,Export,Export Product share(%),15.2124
Turkey,2019,World,Transportation,Export,Export Product share(%),16.2947
Turkey,2019,World,Miscellaneous,Export,Export Product share(%),3.9245
Turkey,2019,World,Raw materials,Export,Export Product share(%),6.8068
Turkey,2019,World,Intermediate goods,Export,Export Product share(%),23.2345
Turkey,2019,World,Consumer goods,Export,Export Product share(%),47.4594
Turkey,2019,World,Capital goods,Export,Export Product share(%),20.9887
Turkey,2019,World,Raw materials,Import,Import Product share(%),10.7361
Turkey,2019,World,Intermediate goods,Import,Import Product share(%),33.2339
Turkey,2019,World,Consumer goods,Import,Import Product share(%),19.4216
Turkey,2019,World,Capital goods,Import,Import Product share(%),23.3085
Turkey,2019,World,Raw materials,Tariff,Weighted Average (%),4.41523461303405
Turkey,2019,World,Intermediate goods,Tariff,Weighted Average (%),2.09858499122319
Turkey,2019,World,Consumer goods,Tariff,Weighted Average (%),3.85647906520186
Turkey,2019,World,Capital goods,Tariff,Weighted Average (%),0.683711005136831
Turkey,2019,World,All Products,Trade Indicator,World Growth (%),-1.13475826045476
Turkey,2019,World,All Products,Trade Indicator,Country Growth (%),-0.824299992048572
Turkey,2019,World,All Products,Tariff,Simple Average (%),3.67489872720639
Turkey,2019,World,All Products,Tariff,Weighted Average (%),3.12645352421734
Turkey,2019,World,All Products,Tariff,Maximum Rate (%),225
Turkey,2019,World,All Products,Tariff,Duty Free Tariff Lines Share (%),69.36407863967
Turkey,2019,...,...,Trade Indicator,Index of export market penetration,23.7895695194055
Turkey,2019,...,...,Trade Indicator,HH Market concentration index,0.0332245105944711
Turkey,2019,...,...,Development,Trade Balance (% of GDP),2.79994511
Turkey,2019,...,...,Development,Trade in services (% of GDP),12.03689659
Turkey,2019,...,...,Development,Trade (% of GDP),62.68286374
Turkey,2019,...,...,Development,"GNI per capita, Atlas method (current US$)",9690
