Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Tanzania,2018,Rwanda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,685.629218381744
Tanzania,2018,Kenya,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,338.826549352245
Tanzania,2018,"Congo, Dem. Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,310.996039316857
Tanzania,2018,Zambia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,266.894431991003
Tanzania,2018,Uganda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,194.424687180401
Tanzania,2018,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1770.51649112025
Tanzania,2018,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1223.1695738108
Tanzania,2018,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,875.816342620532
Tanzania,2018,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,570.798479628321
Tanzania,2018,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,439.336858694693
Tanzania,2018,World,Animal,Export,Export(US$ Mil),141.115841906878
Tanzania,2018,World,Vegetable,Export,Export(US$ Mil),303.591790272985
Tanzania,2018,World,Food Products,Export,Export(US$ Mil),404.632156086064
Tanzania,2018,World,Minerals,Export,Export(US$ Mil),156.398064113132
Tanzania,2018,World,Fuels,Export,Export(US$ Mil),32.5406285324928
Tanzania,2018,World,Chemicals,Export,Export(US$ Mil),242.968962379031
Tanzania,2018,World,Plastic or Rubber,Export,Export(US$ Mil),169.610820089614
Tanzania,2018,World,Hides and Skins,Export,Export(US$ Mil),7.16854222687701
Tanzania,2018,World,Wood,Export,Export(US$ Mil),135.249412950049
Tanzania,2018,World,Textiles and Clothing,Export,Export(US$ Mil),26.0400145048598
Tanzania,2018,World,Footwear,Export,Export(US$ Mil),0.875668425965528
Tanzania,2018,World,Stone and Glass,Export,Export(US$ Mil),54.7967699204501
Tanzania,2018,World,Metals,Export,Export(US$ Mil),488.694408850292
Tanzania,2018,World,Mach and Elec,Export,Export(US$ Mil),675.951704623061
Tanzania,2018,World,Transportation,Export,Export(US$ Mil),178.085645777242
Tanzania,2018,World,Miscellaneous,Export,Export(US$ Mil),651.492007878089
Tanzania,2018,World,Raw materials,Export,Export(US$ Mil),399.01103461336
Tanzania,2018,World,Intermediate goods,Export,Export(US$ Mil),936.612132864398
Tanzania,2018,World,Consumer goods,Export,Export(US$ Mil),1570.0368183494
Tanzania,2018,World,Capital goods,Export,Export(US$ Mil),742.932200624251
Tanzania,2018,World,Raw materials,Import,Import(US$ Mil),104.363605301488
Tanzania,2018,World,Intermediate goods,Import,Import(US$ Mil),2431.15686586578
Tanzania,2018,World,Consumer goods,Import,Import(US$ Mil),3694.06173040135
Tanzania,2018,World,Capital goods,Import,Import(US$ Mil),2322.15769608129
Tanzania,2018,World,All Products,Export,Exports (in US$ Mil),3669.21243853708
Tanzania,2018,World,All Products,Import,Imports (in US$ Mil),8553.6770241393
Tanzania,2018,World,All Products,Tariff,Duty Free Imports (US$ Thousand),3429748.575
Tanzania,2019,...,...,Development,Trade Balance (current US$ Mil),
Tanzania,2019,...,...,Development,GDP (current US$ Mil),63177.068175
Tanzania,2018,...,...,Tariff,No. Of Tariff Agreement,4
Tanzania,2018,...,...,Import,No. Of Import partners,176
Tanzania,2018,...,...,Import,No. Of Import products,3891
Tanzania,2018,...,...,Export,No. Of Export partners,147
