Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Ukraine,2018,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3652.42849564
Ukraine,2018,Poland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3257.23660637
Ukraine,2018,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2628.75712682
Ukraine,2018,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2352.35260529
Ukraine,2018,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2208.34712469
Ukraine,2018,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8090.39128112
Ukraine,2018,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7608.35553761
Ukraine,2018,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5983.33178143
Ukraine,2018,Belarus,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3786.92898082
Ukraine,2018,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3641.87616965
Ukraine,2018,World,Animal,Export,Export(US$ Mil),1210.59278366
Ukraine,2018,World,Vegetable,Export,Export(US$ Mil),14402.86481316
Ukraine,2018,World,Food Products,Export,Export(US$ Mil),3018.35885651
Ukraine,2018,World,Minerals,Export,Export(US$ Mil),3478.3079631
Ukraine,2018,World,Fuels,Export,Export(US$ Mil),861.3124529
Ukraine,2018,World,Chemicals,Export,Export(US$ Mil),1850.93389756
Ukraine,2018,World,Plastic or Rubber,Export,Export(US$ Mil),694.36621597
Ukraine,2018,World,Hides and Skins,Export,Export(US$ Mil),165.35399862
Ukraine,2018,World,Wood,Export,Export(US$ Mil),2123.2876982
Ukraine,2018,World,Textiles and Clothing,Export,Export(US$ Mil),846.56623494
Ukraine,2018,World,Footwear,Export,Export(US$ Mil),208.24574787
Ukraine,2018,World,Stone and Glass,Export,Export(US$ Mil),464.436137
Ukraine,2018,World,Metals,Export,Export(US$ Mil),11632.69174529
Ukraine,2018,World,Mach and Elec,Export,Export(US$ Mil),4654.55063777
Ukraine,2018,World,Transportation,Export,Export(US$ Mil),669.33035498
Ukraine,2018,World,Miscellaneous,Export,Export(US$ Mil),1053.48031624
Ukraine,2018,World,Raw materials,Export,Export(US$ Mil),14517.48058798
Ukraine,2018,World,Intermediate goods,Export,Export(US$ Mil),21151.11403519
Ukraine,2018,World,Consumer goods,Export,Export(US$ Mil),8155.81188541
Ukraine,2018,World,Capital goods,Export,Export(US$ Mil),3352.50241028
Ukraine,2018,World,Raw materials,Import,Import(US$ Mil),6821.22773207
Ukraine,2018,World,Intermediate goods,Import,Import(US$ Mil),12301.48342267
Ukraine,2018,World,Consumer goods,Import,Import(US$ Mil),24079.73121626
Ukraine,2018,World,Capital goods,Import,Import(US$ Mil),13445.43225964
Ukraine,2018,World,All Products,Export,Exports (in US$ Mil),47334.67985377
Ukraine,2018,World,All Products,Import,Imports (in US$ Mil),57187.09342957
Ukraine,2018,World,All Products,Tariff,Duty Free Imports (US$ Thousand),36498343.08489
Ukraine,2019,...,...,Development,Trade Balance (current US$ Mil),-12040.076454
