Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Uruguay,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2147.30328386
Uruguay,2019,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1116.24588304
Uruguay,2019,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,630.10520787
Uruguay,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,458.63953035
Uruguay,2019,Free Zones,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,443.75024658
Uruguay,2019,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1651.56041064
Uruguay,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1309.55546156
Uruguay,2019,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1026.85296591
Uruguay,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,877.55765177
Uruguay,2019,Angola,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,366.14505737
Uruguay,2019,World,Animal,Export,Export(US$ Mil),3048.08773898
Uruguay,2019,World,Vegetable,Export,Export(US$ Mil),1951.47043688
Uruguay,2019,World,Food Products,Export,Export(US$ Mil),196.19861971
Uruguay,2019,World,Minerals,Export,Export(US$ Mil),30.15366037
Uruguay,2019,World,Fuels,Export,Export(US$ Mil),92.99444232
Uruguay,2019,World,Chemicals,Export,Export(US$ Mil),349.46573131
Uruguay,2019,World,Plastic or Rubber,Export,Export(US$ Mil),289.76377283
Uruguay,2019,World,Hides and Skins,Export,Export(US$ Mil),166.88250343
Uruguay,2019,World,Wood,Export,Export(US$ Mil),998.74821395
Uruguay,2019,World,Textiles and Clothing,Export,Export(US$ Mil),216.5502043
Uruguay,2019,World,Footwear,Export,Export(US$ Mil),0.3472562
Uruguay,2019,World,Stone and Glass,Export,Export(US$ Mil),36.21228809
Uruguay,2019,World,Metals,Export,Export(US$ Mil),77.62167747
Uruguay,2019,World,Mach and Elec,Export,Export(US$ Mil),80.25488439
Uruguay,2019,World,Transportation,Export,Export(US$ Mil),162.80967108
Uruguay,2019,World,Miscellaneous,Export,Export(US$ Mil),118.46732839
Uruguay,2019,World,Raw materials,Export,Export(US$ Mil),4611.09078872
Uruguay,2019,World,Intermediate goods,Export,Export(US$ Mil),1752.26023533
Uruguay,2019,World,Consumer goods,Export,Export(US$ Mil),1237.54215385
Uruguay,2019,World,Capital goods,Export,Export(US$ Mil),215.12665181
Uruguay,2019,World,Raw materials,Import,Import(US$ Mil),1606.10135692
Uruguay,2019,World,Intermediate goods,Import,Import(US$ Mil),1866.18270718
Uruguay,2019,World,Consumer goods,Import,Import(US$ Mil),2941.41038929
Uruguay,2019,World,Capital goods,Import,Import(US$ Mil),1899.44478215
Uruguay,2019,World,All Products,Export,Exports (in US$ Mil),7816.0284297
Uruguay,2019,World,All Products,Import,Imports (in US$ Mil),8313.64700588
Uruguay,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),4748380.51374
Uruguay,2019,...,...,Development,Trade Balance (current US$ Mil),1354.973504
Uruguay,2019,...,...,Development,GDP (current US$ Mil),56045.912953
Uruguay,2019,...,...,Tariff,No. Of Tariff Agreement,57
Uruguay,2019,...,...,Import,No. Of Import partners,141
Uruguay,2019,...,...,Import,No. Of Import products,3835
