Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
United States,2019,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,292338.433401
United States,2019,Mexico,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,256371.086497
United States,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,106626.645076
United States,2019,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,74650.662375
United States,2019,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,69100.919866
United States,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,472464.913744
United States,2019,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,361320.937424
United States,2019,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,326628.559104
United States,2019,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,146974.311374
United States,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,129857.182082
United States,2019,World,Animal,Export,Export(US$ Mil),29616.617812
United States,2019,World,Vegetable,Export,Export(US$ Mil),67237.203179
United States,2019,World,Food Products,Export,Export(US$ Mil),45277.801828
United States,2019,World,Minerals,Export,Export(US$ Mil),10706.740143
United States,2019,World,Fuels,Export,Export(US$ Mil),199735.686233
United States,2019,World,Chemicals,Export,Export(US$ Mil),174570.414389
United States,2019,World,Plastic or Rubber,Export,Export(US$ Mil),78596.954622
United States,2019,World,Hides and Skins,Export,Export(US$ Mil),3511.320921
United States,2019,World,Wood,Export,Export(US$ Mil),36896.635235
United States,2019,World,Textiles and Clothing,Export,Export(US$ Mil),26158.592419
United States,2019,World,Footwear,Export,Export(US$ Mil),2157.248058
United States,2019,World,Stone and Glass,Export,Export(US$ Mil),69637.146791
United States,2019,World,Metals,Export,Export(US$ Mil),68078.843976
United States,2019,World,Mach and Elec,Export,Export(US$ Mil),368129.936518
United States,2019,World,Transportation,Export,Export(US$ Mil),274899.754908
United States,2019,World,Miscellaneous,Export,Export(US$ Mil),189065.323751
United States,2019,World,Raw materials,Export,Export(US$ Mil),200924.176144
United States,2019,World,Intermediate goods,Export,Export(US$ Mil),310285.929575
United States,2019,World,Consumer goods,Export,Export(US$ Mil),430333.566603
United States,2019,World,Capital goods,Export,Export(US$ Mil),528561.015561
United States,2019,World,Raw materials,Import,Import(US$ Mil),223795.765954
United States,2019,World,Intermediate goods,Import,Import(US$ Mil),391246.817706
United States,2019,World,Consumer goods,Import,Import(US$ Mil),949394.017060998
United States,2019,World,Capital goods,Import,Import(US$ Mil),889468.662772
United States,2019,World,All Products,Export,Exports (in US$ Mil),1644276.220783
United States,2019,World,All Products,Import,Imports (in US$ Mil),2567492.197103
