Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
St. Vincent and the Grenadines,2019,Barbados,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6.93429011
St. Vincent and the Grenadines,2019,Dominica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5.57563793
St. Vincent and the Grenadines,2019,St. Lucia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4.65580117
St. Vincent and the Grenadines,2019,Antigua and Barbuda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4.34811709
St. Vincent and the Grenadines,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4.07279048
St. Vincent and the Grenadines,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,136.40671604
St. Vincent and the Grenadines,2019,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,51.02123568
St. Vincent and the Grenadines,2019,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,22.69554267
St. Vincent and the Grenadines,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,20.87657408
St. Vincent and the Grenadines,2019,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,8.03835517
St. Vincent and the Grenadines,2019,World,Animal,Export,Export(US$ Mil),2.84701588
St. Vincent and the Grenadines,2019,World,Vegetable,Export,Export(US$ Mil),14.22807474
St. Vincent and the Grenadines,2019,World,Food Products,Export,Export(US$ Mil),9.56582953
St. Vincent and the Grenadines,2019,World,Minerals,Export,Export(US$ Mil),0.0207902
St. Vincent and the Grenadines,2019,World,Fuels,Export,Export(US$ Mil),0.01355045
St. Vincent and the Grenadines,2019,World,Chemicals,Export,Export(US$ Mil),0.11396139
St. Vincent and the Grenadines,2019,World,Plastic or Rubber,Export,Export(US$ Mil),0.7692914
St. Vincent and the Grenadines,2019,World,Hides and Skins,Export,Export(US$ Mil),0.001684
St. Vincent and the Grenadines,2019,World,Wood,Export,Export(US$ Mil),0.73051052
St. Vincent and the Grenadines,2019,World,Textiles and Clothing,Export,Export(US$ Mil),0.21529554
St. Vincent and the Grenadines,2019,World,Footwear,Export,Export(US$ Mil),0.00803656
St. Vincent and the Grenadines,2019,World,Stone and Glass,Export,Export(US$ Mil),0.01994793
St. Vincent and the Grenadines,2019,World,Metals,Export,Export(US$ Mil),4.59958628
St. Vincent and the Grenadines,2019,World,Mach and Elec,Export,Export(US$ Mil),2.70108524
St. Vincent and the Grenadines,2019,World,Transportation,Export,Export(US$ Mil),1.32603891
St. Vincent and the Grenadines,2019,World,Miscellaneous,Export,Export(US$ Mil),0.99632557
St. Vincent and the Grenadines,2019,World,Raw materials,Export,Export(US$ Mil),7.0547837
St. Vincent and the Grenadines,2019,World,Intermediate goods,Export,Export(US$ Mil),14.27139284
St. Vincent and the Grenadines,2019,World,Consumer goods,Export,Export(US$ Mil),13.79751933
St. Vincent and the Grenadines,2019,World,Capital goods,Export,Export(US$ Mil),3.03332827
St. Vincent and the Grenadines,2019,World,Raw materials,Import,Import(US$ Mil),36.9710741
St. Vincent and the Grenadines,2019,World,Intermediate goods,Import,Import(US$ Mil),48.94260974
St. Vincent and the Grenadines,2019,World,Consumer goods,Import,Import(US$ Mil),192.16456849
St. Vincent and the Grenadines,2019,World,Capital goods,Import,Import(US$ Mil),57.15264332
St. Vincent and the Grenadines,2019,World,All Products,Export,Exports (in US$ Mil),38.15702414
St. Vincent and the Grenadines,2019,World,All Products,Import,Imports (in US$ Mil),335.23089565
St. Vincent and the Grenadines,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),117824.757382532
St. Vincent and the Grenadines,2019,...,...,Development,Trade Balance (current US$ Mil),
St. Vincent and the Grenadines,2019,...,...,Development,GDP (current US$ Mil),824.7185185
St. Vincent and the Grenadines,2019,...,...,Tariff,No. Of Tariff Agreement,5
St. Vincent and the Grenadines,2019,...,...,Import,No. Of Import partners,143
St. Vincent and the Grenadines,2019,...,...,Import,No. Of Import products,2927
St. Vincent and the Grenadines,2019,...,...,Export,No. Of Export partners,46
St. Vincent and the Grenadines,2019,...,...,Export,No. Of Export products,667
St. Vincent and the Grenadines,2019,...,...,Others,Population,110589
St. Vincent and the Grenadines,2019,...,...,Others,Ease of Doing Business Rank,130
St. Vincent and the Grenadines,2019,...,...,Others,Trading Across Borders Rank,81
St. Vincent and the Grenadines,2019,...,...,Others,CPIA Trade Ratings,4
St. Vincent and the Grenadines,2019,Barbados,All Products,Export,Partner share(%)-Top 5 Export Partner,18.173
St. Vincent and the Grenadines,2019,Dominica,All Products,Export,Partner share(%)-Top 5 Export Partner,14.6124
St. Vincent and the Grenadines,2019,St. Lucia,All Products,Export,Partner share(%)-Top 5 Export Partner,12.2017
St. Vincent and the Grenadines,2019,Antigua and Barbuda,All Products,Export,Partner share(%)-Top 5 Export Partner,11.3953
