Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Vietnam,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,61403.96639311
Vietnam,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,41434.2380209
Vietnam,2019,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,20426.60160817
Vietnam,2019,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,19729.24545974
Vietnam,2019,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7161.56121498
Vietnam,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,75586.13781367
Vietnam,2019,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,46941.92949891
Vietnam,2019,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,19532.76315532
Vietnam,2019,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15180.87160203
Vietnam,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,14376.81072946
Vietnam,2019,World,Animal,Export,Export(US$ Mil),6288.79080083
Vietnam,2019,World,Vegetable,Export,Export(US$ Mil),13487.23478363
Vietnam,2019,World,Food Products,Export,Export(US$ Mil),6314.96017545
Vietnam,2019,World,Minerals,Export,Export(US$ Mil),1854.70559767
Vietnam,2019,World,Fuels,Export,Export(US$ Mil),3648.47070131
Vietnam,2019,World,Chemicals,Export,Export(US$ Mil),4239.66958074
Vietnam,2019,World,Plastic or Rubber,Export,Export(US$ Mil),9133.73495057
Vietnam,2019,World,Hides and Skins,Export,Export(US$ Mil),3986.01743949
Vietnam,2019,World,Wood,Export,Export(US$ Mil),5073.65139898
Vietnam,2019,World,Textiles and Clothing,Export,Export(US$ Mil),39428.37427954
Vietnam,2019,World,Footwear,Export,Export(US$ Mil),19530.84351845
Vietnam,2019,World,Stone and Glass,Export,Export(US$ Mil),4126.35883285
Vietnam,2019,World,Metals,Export,Export(US$ Mil),11414.66542965
Vietnam,2019,World,Mach and Elec,Export,Export(US$ Mil),110195.18363713
Vietnam,2019,World,Transportation,Export,Export(US$ Mil),4163.91634438
Vietnam,2019,World,Miscellaneous,Export,Export(US$ Mil),21723.74517916
Vietnam,2019,World,Raw materials,Export,Export(US$ Mil),20125.45183597
Vietnam,2019,World,Intermediate goods,Export,Export(US$ Mil),33652.01758295
Vietnam,2019,World,Consumer goods,Export,Export(US$ Mil),99337.80765611
Vietnam,2019,World,Capital goods,Export,Export(US$ Mil),107022.9566944
Vietnam,2019,World,Raw materials,Import,Import(US$ Mil),26300.30659742
Vietnam,2019,World,Intermediate goods,Import,Import(US$ Mil),76102.89707051
Vietnam,2019,World,Consumer goods,Import,Import(US$ Mil),39694.71858226
Vietnam,2019,World,Capital goods,Import,Import(US$ Mil),107742.28684536
Vietnam,2019,World,All Products,Export,Exports (in US$ Mil),264610.32264983
Vietnam,2019,World,All Products,Import,Imports (in US$ Mil),253442.01585449
Vietnam,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),190711168.67871
Vietnam,2019,...,...,Development,Trade Balance (current US$ Mil),8357
Vietnam,2019,...,...,Development,GDP (current US$ Mil),261921
Vietnam,2019,...,...,Tariff,No. Of Tariff Agreement,18
Vietnam,2019,...,...,Import,No. Of Import partners,97
Vietnam,2019,...,...,Import,No. Of Import products,4359
Vietnam,2019,...,...,Export,No. Of Export partners,97
Vietnam,2019,...,...,Export,No. Of Export products,3784
Vietnam,2019,...,...,Others,Population,96462106
Vietnam,2019,...,...,Others,Ease of Doing Business Rank,70
Vietnam,2019,...,...,Others,Trading Across Borders Rank,104
Vietnam,2019,...,...,Others,CPIA Trade Ratings,
Vietnam,2018,...,...,Others,LPI Rank,39
Vietnam,2018,...,...,Others,LPI Score,3.27
Vietnam,2015,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5204
