Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Samoa,2019,American Samoa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,15.31173228
Samoa,2019,New Zealand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7.86478591
Samoa,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6.30883465
Samoa,2019,Tokelau,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4.28059567
Samoa,2019,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4.03921213
Samoa,2019,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,103.08064391
Samoa,2019,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,65.7816803
Samoa,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,47.68195561
Samoa,2019,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,35.5841164
Samoa,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,34.42431708
Samoa,2019,World,Animal,Export,Export(US$ Mil),17.92159596
Samoa,2019,World,Vegetable,Export,Export(US$ Mil),6.12498798
Samoa,2019,World,Food Products,Export,Export(US$ Mil),8.03974008
Samoa,2019,World,Minerals,Export,Export(US$ Mil),0.12300425
Samoa,2019,World,Fuels,Export,Export(US$ Mil),12.18407358
Samoa,2019,World,Chemicals,Export,Export(US$ Mil),0.7350878
Samoa,2019,World,Plastic or Rubber,Export,Export(US$ Mil),0.38360694
Samoa,2019,World,Hides and Skins,Export,Export(US$ Mil),0.01888009
Samoa,2019,World,Wood,Export,Export(US$ Mil),0.21423288
Samoa,2019,World,Textiles and Clothing,Export,Export(US$ Mil),0.25624018
Samoa,2019,World,Footwear,Export,Export(US$ Mil),0.08261193
Samoa,2019,World,Stone and Glass,Export,Export(US$ Mil),0.10414036
Samoa,2019,World,Metals,Export,Export(US$ Mil),0.41337474
Samoa,2019,World,Mach and Elec,Export,Export(US$ Mil),2.15297432
Samoa,2019,World,Transportation,Export,Export(US$ Mil),0.26319517
Samoa,2019,World,Miscellaneous,Export,Export(US$ Mil),0.25473588
Samoa,2019,World,Raw materials,Export,Export(US$ Mil),19.6299249
Samoa,2019,World,Intermediate goods,Export,Export(US$ Mil),4.59129789
Samoa,2019,World,Consumer goods,Export,Export(US$ Mil),23.09253447
Samoa,2019,World,Capital goods,Export,Export(US$ Mil),0.71384895
Samoa,2019,World,Raw materials,Import,Import(US$ Mil),43.78881663
Samoa,2019,World,Intermediate goods,Import,Import(US$ Mil),61.71109222
Samoa,2019,World,Consumer goods,Import,Import(US$ Mil),212.78859378
Samoa,2019,World,Capital goods,Import,Import(US$ Mil),69.5802909
Samoa,2019,World,All Products,Export,Exports (in US$ Mil),49.27248214
Samoa,2019,World,All Products,Import,Imports (in US$ Mil),390.68150603
Samoa,2018,World,All Products,Tariff,Duty Free Imports (US$ Thousand),53076.4564431273
Samoa,2019,...,...,Development,Trade Balance (current US$ Mil),-124.5207029
Samoa,2019,...,...,Development,GDP (current US$ Mil),852.250191
Samoa,2018,...,...,Tariff,No. Of Tariff Agreement,1
Samoa,2019,...,...,Import,No. Of Import partners,70
Samoa,2019,...,...,Import,No. Of Import products,2772
Samoa,2019,...,...,Export,No. Of Export partners,50
Samoa,2019,...,...,Export,No. Of Export products,727
Samoa,2019,...,...,Others,Population,197097
Samoa,2019,...,...,Others,Ease of Doing Business Rank,98
Samoa,2019,...,...,Others,Trading Across Borders Rank,154
Samoa,2019,...,...,Others,CPIA Trade Ratings,4
Samoa,2019,American Samoa,All Products,Export,Partner share(%)-Top 5 Export Partner,31.0756
Samoa,2019,New Zealand,All Products,Export,Partner share(%)-Top 5 Export Partner,15.9618
Samoa,2019,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,12.804
Samoa,2019,Tokelau,All Products,Export,Partner share(%)-Top 5 Export Partner,8.6876
Samoa,2019,Australia,All Products,Export,Partner share(%)-Top 5 Export Partner,8.1977
Samoa,2019,New Zealand,All Products,Import,Partner share(%)-Top 5 Import Partner,26.3848
Samoa,2019,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,16.8377
Samoa,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,12.2048
Samoa,2019,Australia,All Products,Import,Partner share(%)-Top 5 Import Partner,9.1082
Samoa,2019,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,8.8114
Samoa,2019,World,Animal,Export,Export Product share(%),36.3724
Samoa,2019,World,Vegetable,Export,Export Product share(%),12.4308
Samoa,2019,World,Food Products,Export,Export Product share(%),16.3169
Samoa,2019,World,Minerals,Export,Export Product share(%),0.2496
Samoa,2019,World,Fuels,Export,Export Product share(%),24.7279
Samoa,2019,World,Chemicals,Export,Export Product share(%),1.4919
Samoa,2019,World,Plastic or Rubber,Export,Export Product share(%),0.7785
Samoa,2019,World,Hides and Skins,Export,Export Product share(%),0.0383
Samoa,2019,World,Wood,Export,Export Product share(%),0.4348
Samoa,2019,World,Textiles and Clothing,Export,Export Product share(%),0.52
Samoa,2019,World,Footwear,Export,Export Product share(%),0.1677
Samoa,2019,World,Stone and Glass,Export,Export Product share(%),0.2114
Samoa,2019,World,Metals,Export,Export Product share(%),0.839
Samoa,2019,World,Mach and Elec,Export,Export Product share(%),4.3695
Samoa,2019,World,Transportation,Export,Export Product share(%),0.5342
Samoa,2019,World,Miscellaneous,Export,Export Product share(%),0.517
Samoa,2019,World,Raw materials,Export,Export Product share(%),39.8395
Samoa,2019,World,Intermediate goods,Export,Export Product share(%),9.3182
Samoa,2019,World,Consumer goods,Export,Export Product share(%),46.867
Samoa,2019,World,Capital goods,Export,Export Product share(%),1.4488
Samoa,2019,World,Raw materials,Import,Import Product share(%),11.2083
Samoa,2019,World,Intermediate goods,Import,Import Product share(%),15.7958
Samoa,2019,World,Consumer goods,Import,Import Product share(%),54.466
Samoa,2019,World,Capital goods,Import,Import Product share(%),17.81
Samoa,2018,World,Raw materials,Tariff,Weighted Average (%),14.4893279001383
Samoa,2018,World,Intermediate goods,Tariff,Weighted Average (%),7.07137002814092
Samoa,2018,World,Consumer goods,Tariff,Weighted Average (%),11.6598388947519
Samoa,2018,World,Capital goods,Tariff,Weighted Average (%),8.15934360101121
Samoa,2019,World,All Products,Trade Indicator,World Growth (%),-1.13475826045476
Samoa,2019,World,All Products,Trade Indicator,Country Growth (%),5.3739248313958
Samoa,2018,World,All Products,Tariff,Simple Average (%),12.9291574282322
Samoa,2018,World,All Products,Tariff,Weighted Average (%),10.8539456273869
Samoa,2018,World,All Products,Tariff,Maximum Rate (%),1054.92199707031
Samoa,2018,World,All Products,Tariff,Duty Free Tariff Lines Share (%),5.37893251431892
Samoa,2019,...,...,Trade Indicator,Index of export market penetration,1.23187912611448
Samoa,2019,...,...,Trade Indicator,HH Market concentration index,0.0905373995740051
Samoa,2019,...,...,Development,Trade Balance (% of GDP),-14.61081548
Samoa,2019,...,...,Development,Trade in services (% of GDP),
Samoa,2019,...,...,Development,Trade (% of GDP),88.86457502
