Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
 World,2019,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2364008.57415979
 World,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1655913.10511412
 World,2019,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1159058.9813962
 World,2019,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,669328.796056237
 World,2019,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,634331.647894399
 World,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2561034.3366288
 World,2019,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1559126.64545768
 World,2019,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1365367.11702922
 World,2019,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,790031.280077639
 World,2019,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,590456.028754977
 World,2019,World,Animal,Export,Export(US$ Mil),404408.172354514
 World,2019,World,Vegetable,Export,Export(US$ Mil),610614.484411973
 World,2019,World,Food Products,Export,Export(US$ Mil),700397.358873862
 World,2019,World,Minerals,Export,Export(US$ Mil),277312.535928721
 World,2019,World,Fuels,Export,Export(US$ Mil),2162703.98892894
 World,2019,World,Chemicals,Export,Export(US$ Mil),2105782.62407716
 World,2019,World,Plastic or Rubber,Export,Export(US$ Mil),887714.227248674
 World,2019,World,Hides and Skins,Export,Export(US$ Mil),138007.543115412
 World,2019,World,Wood,Export,Export(US$ Mil),454809.539169843
 World,2019,World,Textiles and Clothing,Export,Export(US$ Mil),824905.913674711
 World,2019,World,Footwear,Export,Export(US$ Mil),183091.556815908
 World,2019,World,Stone and Glass,Export,Export(US$ Mil),908452.324991891
 World,2019,World,Metals,Export,Export(US$ Mil),1309813.68735689
 World,2019,World,Mach and Elec,Export,Export(US$ Mil),5414843.9165763
