Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Zambia,2019,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2905.423346
Zambia,2019,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1502.702229
Zambia,2019,"Congo, Dem. Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,901.419506
Zambia,2019,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,579.415682
Zambia,2019,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,296.870217
Zambia,2019,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2222.664604
Zambia,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1020.901408
Zambia,2019,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,740.22793
Zambia,2019,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,351.871976
Zambia,2019,"Congo, Dem. Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,232.209537
Zambia,2019,World,Animal,Export,Export(US$ Mil),39.9193
Zambia,2019,World,Vegetable,Export,Export(US$ Mil),100.806601
Zambia,2019,World,Food Products,Export,Export(US$ Mil),388.914774
Zambia,2019,World,Minerals,Export,Export(US$ Mil),267.364786
Zambia,2019,World,Fuels,Export,Export(US$ Mil),76.230023
Zambia,2019,World,Chemicals,Export,Export(US$ Mil),343.3501
Zambia,2019,World,Plastic or Rubber,Export,Export(US$ Mil),32.009547
Zambia,2019,World,Hides and Skins,Export,Export(US$ Mil),4.914135
Zambia,2019,World,Wood,Export,Export(US$ Mil),27.509041
Zambia,2019,World,Textiles and Clothing,Export,Export(US$ Mil),60.067161
Zambia,2019,World,Footwear,Export,Export(US$ Mil),1.274558
Zambia,2019,World,Stone and Glass,Export,Export(US$ Mil),232.858855
Zambia,2019,World,Metals,Export,Export(US$ Mil),5226.722712
Zambia,2019,World,Mach and Elec,Export,Export(US$ Mil),181.67015
Zambia,2019,World,Transportation,Export,Export(US$ Mil),37.656259
Zambia,2019,World,Miscellaneous,Export,Export(US$ Mil),7.827022
Zambia,2019,World,Raw materials,Export,Export(US$ Mil),345.030366
Zambia,2019,World,Intermediate goods,Export,Export(US$ Mil),6049.222007
Zambia,2019,World,Consumer goods,Export,Export(US$ Mil),435.97279
Zambia,2019,World,Capital goods,Export,Export(US$ Mil),194.256966
Zambia,2019,World,Raw materials,Import,Import(US$ Mil),1061.197003
Zambia,2019,World,Intermediate goods,Import,Import(US$ Mil),1833.895107
Zambia,2019,World,Consumer goods,Import,Import(US$ Mil),2248.563808
Zambia,2019,World,Capital goods,Import,Import(US$ Mil),2061.279812
Zambia,2019,World,All Products,Export,Exports (in US$ Mil),7029.095024
Zambia,2019,World,All Products,Import,Imports (in US$ Mil),7221.084744
Zambia,2018,World,All Products,Tariff,Duty Free Imports (US$ Thousand),6685656.04172
Zambia,2019,...,...,Development,Trade Balance (current US$ Mil),112.185206
Zambia,2019,...,...,Development,GDP (current US$ Mil),23309.773923
Zambia,2018,...,...,Tariff,No. Of Tariff Agreement,6
Zambia,2019,...,...,Import,No. Of Import partners,189
Zambia,2019,...,...,Import,No. Of Import products,3916
Zambia,2019,...,...,Export,No. Of Export partners,121
Zambia,2019,...,...,Export,No. Of Export products,1888
Zambia,2019,...,...,Others,Population,17861030
Zambia,2019,...,...,Others,Ease of Doing Business Rank,85
Zambia,2019,...,...,Others,Trading Across Borders Rank,155
Zambia,2019,...,...,Others,CPIA Trade Ratings,4
Zambia,2018,...,...,Others,LPI Rank,111
Zambia,2018,...,...,Others,LPI Score,2.53
Zambia,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0455071
