Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Zimbabwe,2019,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2104.51603552
Zimbabwe,2019,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,832.89632026
Zimbabwe,2019,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,712.58717397
Zimbabwe,2019,Mozambique,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,354.33219014
Zimbabwe,2019,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,61.94231916
Zimbabwe,2019,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1852.44436384
Zimbabwe,2019,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1208.7161388
Zimbabwe,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,411.77357762
Zimbabwe,2019,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,141.48284068
Zimbabwe,2019,Mauritius,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,132.69829262
Zimbabwe,2019,World,Animal,Export,Export(US$ Mil),15.01516977
Zimbabwe,2019,World,Vegetable,Export,Export(US$ Mil),82.04002353
Zimbabwe,2019,World,Food Products,Export,Export(US$ Mil),916.78260445
Zimbabwe,2019,World,Minerals,Export,Export(US$ Mil),837.76054505
Zimbabwe,2019,World,Fuels,Export,Export(US$ Mil),48.19371432
Zimbabwe,2019,World,Chemicals,Export,Export(US$ Mil),13.73558949
Zimbabwe,2019,World,Plastic or Rubber,Export,Export(US$ Mil),7.44527127
Zimbabwe,2019,World,Hides and Skins,Export,Export(US$ Mil),32.73550392
Zimbabwe,2019,World,Wood,Export,Export(US$ Mil),31.17502974
Zimbabwe,2019,World,Textiles and Clothing,Export,Export(US$ Mil),58.1473136
Zimbabwe,2019,World,Footwear,Export,Export(US$ Mil),4.11239723
Zimbabwe,2019,World,Stone and Glass,Export,Export(US$ Mil),1410.68247852
Zimbabwe,2019,World,Metals,Export,Export(US$ Mil),737.08392595
Zimbabwe,2019,World,Mach and Elec,Export,Export(US$ Mil),41.16632842
Zimbabwe,2019,World,Transportation,Export,Export(US$ Mil),26.49281196
Zimbabwe,2019,World,Miscellaneous,Export,Export(US$ Mil),16.81483046
Zimbabwe,2019,World,Raw materials,Export,Export(US$ Mil),1882.61608979
Zimbabwe,2019,World,Intermediate goods,Export,Export(US$ Mil),2008.34158899
Zimbabwe,2019,World,Consumer goods,Export,Export(US$ Mil),332.05338022
Zimbabwe,2019,World,Capital goods,Export,Export(US$ Mil),54.76018825
Zimbabwe,2019,World,Raw materials,Import,Import(US$ Mil),147.83451711
Zimbabwe,2019,World,Intermediate goods,Import,Import(US$ Mil),1215.14980097
Zimbabwe,2019,World,Consumer goods,Import,Import(US$ Mil),2228.12674959
Zimbabwe,2019,World,Capital goods,Import,Import(US$ Mil),1152.63331068
Zimbabwe,2019,World,All Products,Export,Exports (in US$ Mil),4279.38353768
Zimbabwe,2019,World,All Products,Import,Imports (in US$ Mil),4787.4467905
Zimbabwe,2016,World,All Products,Tariff,Duty Free Imports (US$ Thousand),2906201.721
Zimbabwe,2019,...,...,Development,Trade Balance (current US$ Mil),
Zimbabwe,2019,...,...,Development,GDP (current US$ Mil),21440.7588
Zimbabwe,2016,...,...,Tariff,No. Of Tariff Agreement,5
Zimbabwe,2019,...,...,Import,No. Of Import partners,145
Zimbabwe,2019,...,...,Import,No. Of Import products,3751
Zimbabwe,2019,...,...,Export,No. Of Export partners,85
Zimbabwe,2019,...,...,Export,No. Of Export products,1353
Zimbabwe,2019,...,...,Others,Population,14645468
Zimbabwe,2019,...,...,Others,Ease of Doing Business Rank,140
Zimbabwe,2019,...,...,Others,Trading Across Borders Rank,159
Zimbabwe,2019,...,...,Others,CPIA Trade Ratings,3
Zimbabwe,2018,...,...,Others,LPI Rank,152
Zimbabwe,2018,...,...,Others,LPI Score,2.12
Zimbabwe,,...,...,Others,Services Trade Restrictions Index - Over All,64.2
Zimbabwe,2019,South Africa,All Products,Export,Partner share(%)-Top 5 Export Partner,49.178
Zimbabwe,2019,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,19.463
Zimbabwe,2019,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,16.6516
Zimbabwe,2019,Mozambique,All Products,Export,Partner share(%)-Top 5 Export Partner,8.28
Zimbabwe,2019,Belgium,All Products,Export,Partner share(%)-Top 5 Export Partner,1.4475
Zimbabwe,2019,South Africa,All Products,Import,Partner share(%)-Top 5 Import Partner,38.6938
Zimbabwe,2019,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,25.2476
Zimbabwe,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,8.6011
Zimbabwe,2019,India,All Products,Import,Partner share(%)-Top 5 Import Partner,2.9553
Zimbabwe,2019,Mauritius,All Products,Import,Partner share(%)-Top 5 Import Partner,2.7718
Zimbabwe,2019,World,Animal,Export,Export Product share(%),0.3509
Zimbabwe,2019,World,Vegetable,Export,Export Product share(%),1.9171
Zimbabwe,2019,World,Food Products,Export,Export Product share(%),21.4232
Zimbabwe,2019,World,Minerals,Export,Export Product share(%),19.5767
Zimbabwe,2019,World,Fuels,Export,Export Product share(%),1.1262
Zimbabwe,2019,World,Chemicals,Export,Export Product share(%),0.321
Zimbabwe,2019,World,Plastic or Rubber,Export,Export Product share(%),0.174
Zimbabwe,2019,World,Hides and Skins,Export,Export Product share(%),0.765
Zimbabwe,2019,World,Wood,Export,Export Product share(%),0.7285
Zimbabwe,2019,World,Textiles and Clothing,Export,Export Product share(%),1.3588
Zimbabwe,2019,World,Footwear,Export,Export Product share(%),0.0961
Zimbabwe,2019,World,Stone and Glass,Export,Export Product share(%),32.9646
Zimbabwe,2019,World,Metals,Export,Export Product share(%),17.2241
Zimbabwe,2019,World,Mach and Elec,Export,Export Product share(%),0.962
Zimbabwe,2019,World,Transportation,Export,Export Product share(%),0.6191
Zimbabwe,2019,World,Miscellaneous,Export,Export Product share(%),0.3929
Zimbabwe,2019,World,Raw materials,Export,Export Product share(%),43.9927
Zimbabwe,2019,World,Intermediate goods,Export,Export Product share(%),46.9306
Zimbabwe,2019,World,Consumer goods,Export,Export Product share(%),7.7594
Zimbabwe,2019,World,Capital goods,Export,Export Product share(%),1.2796
Zimbabwe,2019,World,Raw materials,Import,Import Product share(%),3.088
Zimbabwe,2019,World,Intermediate goods,Import,Import Product share(%),25.382
Zimbabwe,2019,World,Consumer goods,Import,Import Product share(%),46.541
Zimbabwe,2019,World,Capital goods,Import,Import Product share(%),24.0762
